Name,Broad Category Group,Global Category,Morningstar Institutional Category,Morningstar Category,Morningstar Rating Overall,Equity Style Box (Long),Inception Date,Fund Size Base Currency,Manager Tenure (Average),Total Ret 1 Yr (Daily) Base Currency,Total Ret Annlzd 2 Yr (Daily) Base Currency,Total Ret Annlzd 3 Yr (Daily) Base Currency,Total Ret Annlzd 5 Yr (Daily) Base Currency,Management Fee,Annual Report Net Expense Ratio,Annual Report Gross Expense Ratio,Turnover Ratio %,Prospectus Objective,Tax Cost Ratio 1 Yr,Tax Cost Ratio 3 Yr,Tax Cost Ratio 5 Yr,Post-tax Return 1 Yr (Daily) Base Currency,Post-tax Return 3 Yr (Daily) Base Currency,Post-tax Return 5 Yr (Daily) Base Currency,Alpha 2009-06-01 to 2012-05-31 Base Currency,Appraisal Ratio 2009-06-01 to 2012-05-31 Base Currency,Beta 2009-06-01 to 2012-05-31 Base Currency,Correlation 2009-06-01 to 2012-05-31 Base Currency,Excess Return 2009-06-01 to 2012-05-31 Base Currency,Excess Return (geo) 2009-06-01 to 2012-05-31 Base Currency,Information Ratio (arith) 2009-06-01 to 2012-05-31 Base Currency,M-Squared 2009-06-01 to 2012-05-31 Base Currency,Morningstar Risk 2009-06-01 to 2012-05-31,R2 2009-06-01 to 2012-05-31 Base Currency,Residual Std Dev 2009-06-01 to 2012-05-31 Base Currency,Sharpe Ratio 2009-06-01 to 2012-05-31 Base Currency,Std Dev 2009-06-01 to 2012-05-31 Base Currency,Tracking Error 2009-06-01 to 2012-05-31 Base Currency,Treynor Ratio (arith) 2009-06-01 to 2012-05-31 Base Currency
Fidelity Real Estate Income,Equity,Real Estate Sector Equity,Domestic Real Estate,US OE Real Estate,3,Small Value,37656,2434223069,9.33,8.64822,11.59341,18.27494,4.83768,0.56,0.92,0.92,25,Specialty - Real Estate,1.9,1.82,2.04,,,,11.93452347923892,0.8442306732645424,0.3534211110688713,0.8154764837586999,3.6457020916567764,3.1724699599056105,0.32783715206496294,39.97312836123563,0.5447885164898025,66.5001895563453,4.080875382520822,2.4866515924440478,6.955455087637124,11.12046657522927,52.23706764407871
Fidelity Advisor Real Estate Income Inst,Equity,Real Estate Sector Equity,Domestic Real Estate,US OE Real Estate,3,Small Value,40298,2434223069,9.33,8.66512,11.61723,,,0.56,0.89,0.89,25,Specialty - Real Estate,1.93,,,,,,11.909273363129262,0.8438361442428394,0.35641994063646526,0.8182217198977354,3.6664631088020094,3.190536083130824,0.33111012712144294,39.81691598145563,0.5502895565025376,66.94867829124081,4.074145335540876,2.476909350735899,6.990877114256224,11.073243638534928,51.85580657998792
Fidelity Advisor Real Estate Income A LW,Equity,Real Estate Sector Equity,Domestic Real Estate,US OE Real Estate,3,Small Value,40298,2434223069,9.33,8.38431,11.38991,,,0.56,1.12,1.13,25,Specialty - Real Estate,1.85,,,,,,11.666419383600779,0.8263695698975677,0.35456026422595127,0.8167180433808536,3.3517600486666623,2.916683206656212,0.3019197372220474,39.32765594497186,0.5457385218509785,66.70283623838499,4.0754225572681095,2.446396471153145,6.967243716674409,11.1014936602227,51.240204489418424
Fidelity Advisor Real Estate Income A,Equity,Real Estate Sector Equity,Domestic Real Estate,US OE Real Estate,3,Small Value,40298,2434223069,9.33,8.38431,11.38991,,,0.56,1.12,1.13,25,Specialty - Real Estate,1.85,,,,,,11.666419383600779,0.8263695698975677,0.35456026422595127,0.8167180433808536,3.3517600486666623,2.916683206656212,0.3019197372220474,39.32765594497186,0.5383627728061882,66.70283623838499,4.0754225572681095,2.446396471153145,6.967243716674409,11.1014936602227,51.240204489418424
Fidelity Advisor Real Estate Income T,Equity,Real Estate Sector Equity,Domestic Real Estate,US OE Real Estate,3,Small Value,40298,2434223069,9.33,8.37331,11.35727,,,0.56,1.16,1.16,25,Specialty - Real Estate,1.84,,,,,,11.68719165473004,0.8193785311970287,0.35353780846699767,0.8131149620313727,3.3571936625898644,2.92141150768348,0.3015849083291939,39.27975174701542,0.5396529645133512,66.11559414792806,4.117512841147771,2.4434089084773576,6.9778605103624844,11.1318357446631,51.40376395804812
Forward Select Income Institutional,Equity,Real Estate Sector Equity,Domestic Real Estate,US OE Real Estate,5,Small Value,38835,1488026126,4.95,8.76406,14.28069,26.06789,2.72661,1,1.19,1.52,73,Specialty - Real Estate,2.98,3.32,3.63,,,,18.517636862911942,0.6577049928326257,0.4185482998360032,0.6421963363334333,12.446343470972465,10.830739808030598,1.012550305785859,38.22702569370104,1.2667843981015707,41.24161344000842,8.127627693316493,2.377755266440165,10.456858882845086,12.29207418125525,65.13543090665468
Forward Select Income M,Equity,Real Estate Sector Equity,Domestic Real Estate,US OE Real Estate,4,Small Value,40211,1488026126,4.95,8.81285,14.28022,,,1,1.2,1.53,73,Specialty - Real Estate,2.98,,,,,,18.461262064518667,0.6577274355838472,0.41818941073952,0.6430358254689782,12.371942154085104,10.765996190239457,1.0074552616565287,38.214594563491936,1.2608744840081556,41.34950728365702,8.102607589319055,2.3769799944971024,10.434263227362326,12.280388643503919,65.01341700666138
Forward Select Income A,Equity,Real Estate Sector Equity,Domestic Real Estate,US OE Real Estate,4,Small Value,36980,1488026126,4.95,8.47843,13.98063,25.72835,2.43647,1,1.44,1.77,73,Specialty - Real Estate,2.89,3.21,3.53,,,,18.28437906128913,0.6492478769002628,0.4167825342013475,0.6404999986455717,12.124190601924532,10.55040414870978,0.9845102228429732,37.88790817309226,1.2351971550859773,41.02402482649774,8.129784900800004,2.35660607930217,10.440327541210527,12.314946377005075,64.6384355996143
Forward Select Income A Load Waived,Equity,Real Estate Sector Equity,Domestic Real Estate,US OE Real Estate,4,Small Value,36980,1488026126,4.95,8.47843,13.98063,25.72835,2.43647,1,1.44,1.77,73,Specialty - Real Estate,2.89,3.21,3.53,,,,18.28437906128913,0.6492478769002628,0.4167825342013475,0.6404999986455717,12.124190601924532,10.55040414870978,0.9845102228429732,37.88790817309226,1.2598219275544515,41.02402482649774,8.129784900800004,2.35660607930217,10.440327541210527,12.314946377005075,64.6384355996143
Forward Select Income Inv,Equity,Real Estate Sector Equity,Domestic Real Estate,US OE Real Estate,4,Small Value,40842,1488026126,4.95,,,,,1,,,73,Specialty - Real Estate,,,,,,,18.237298789290097,0.6478826680109298,0.41724158701607356,0.6410944764246507,12.074002743432466,10.506730949579634,0.9810766523166926,37.81969759753464,1.2596853171683584,41.1002127702197,8.125938449329412,2.35235210202412,10.442153155042854,12.30689030762396,64.44703494162935
