Industry,Number of firms,Interest Coverage Ratio,Fixed Charge Coverage ratio
"ABRASIVE,ASBESTOS,MISC MINRL",11,3.9784481832441605,2.9568818968404362
ACCIDENT & HEALTH INSURANCE,13,3.4395525435830954,4.243907828665032
"ACCOUNT,AUDIT,BOOKKEEP SVCS",12,3.2524125273814457,2.3325653838665716
ADHESIVES AND SEALANTS,3,4.031424766977363,3.65133190064471
ADVERTISING,18,0.7588046289281891,1.7608371546680521
ADVERTISING AGENCIES,10,6.0363621456535554,2.1651687374261575
"AGRIC PROD-LVSTK,ANIMAL SPEC",3,Negative EBIT,EBITDA Negative
AGRICULTURAL SERVICES,3,1.9274558846176313,1.4209107968025394
AGRICULTURE CHEMICALS,19,2.1897083564024564,3.1866419197199036
AGRICULTURE PRODUCTION-CROPS,18,1.394271580279744,1.356906934512578
"AIR COND,HEATING,REFRIG EQ",13,3.3742662639195706,2.7209269378668286
AIR COURIER SERVICES,4,5.623744125485286,1.3065990779536214
"AIR TRANSPORT, NONSCHEDULED",6,1.4304860547825544,0.9462558003289611
"AIR TRANSPORT, SCHEDULED",22,Negative EBIT,EBITDA Negative
AIRCRAFT,5,6.376887098675998,6.0933880618412015
"AIRCRAFT ENGINE,ENGINE PARTS",7,7.4510154473773325,6.119907265021508
"AIRCRAFT PARTS, AUX EQ, NEC",10,7.027763246870893,5.180002801500926
AIRPORTS & TERMINAL SERVICES,3,Negative EBIT,EBITDA Negative
AMUSEMENT & RECREATION SVCS,10,4.742922809574527,6.82610972895116
AMUSEMENT PARKS,3,0.9630499953158669,1.829365257289752
APPAREL & OTHER FINISHED PDS,18,5.687248621639237,2.841260319049688
APPAREL AND ACCESSORY STORES,9,9.646587035604822,0.9590177709882148
"APPAREL,PIECE GDS,NOTNS-WHSL",3,15.674617737003057,9.31659267480577
"ARRANGE TRANS-FREIGHT, CARGO",9,7.421513614618179,2.096514595699563
"ASPHALT PAVING,ROOFING MATLS",2,1.3327777777777776,2.23025641025641
AUTO AND HOME SUPPLY STORES,6,3.3724077727534616,1.784688500174935
"AUTO DEALERS, GAS STATIONS",18,3.1024849839587674,2.1275878968770834
"AUTO RENT & LEASE,NO DRIVERS",7,0.707334825951118,1.8253541608534203
"AUTO REPAIR,SERVICES,PARKING",5,2.0555071784223102,0.40271139693833946
AUTOMATIC REGULATNG CONTROLS,1,Negative EBIT,EBITDA Negative
BAKERY PRODUCTS,4,1.4059088500264971,1.9488973737315083
BALL AND ROLLER BEARINGS,4,2.348328051942296,4.323469862171363
"BEER,WINE,ALCOHOLIC BEV-WHSL",2,2.23117960877297,1.2837656529516994
BEVERAGES,3,19.493400251287504,21.208211517775876
"BIOLOGICAL PDS,EX DIAGNSTICS",125,1.2493546570008063,2.848303248076624
"BITMNS COAL,LIGNITE SURF MNG",1,1.1196866771402652,1.689005793515672
"BITUMINOUS COAL, LIGNITE MNG",6,1.6018375585509603,3.4938380036247043
"BLANKBOOKS,BINDERS,BOOKBIND",3,15.834471822395706,7.3796493318580305
BLAST FURNACES & STEEL WORKS,6,2.4376344086021504,3.8301938731369694
"BLDG MATL,HARDWR,GARDEN-RETL",4,10.68641381027471,3.0263083994738325
"BOLT,NUT,SCREW,RIVETS,WASHRS",5,1.4363259361654857,1.9589954947133705
BOOK PRINTING,2,2.6123038651836277,4.549636777969166
"BOOKS: PUBG, PUBG & PRINTING",9,3.458208764741182,2.7844318399082275
"BRDWOVEN FABRIC MILL, COTTON",5,0.42536153191090414,1.0516403287574754
"BRDWOVN FABRIC MAN MADE,SILK",3,3.1901282876814108,2.9523633568831475
"BTLD & CAN SOFT DRINKS,WATER",15,1.6657498393466657,3.0741794636241146
"BUSINESS SERVICES, NEC",87,Negative EBIT,0.7013934810806504
CABLE AND OTHER PAY TV SVCS,24,Negative EBIT,0.6790070083321827
"CALCULATE,ACCT MACH,EX COMP",16,6.541993205744846,4.88471458090848
"CAN FRUIT,VEG,PRESRV,JAM,JEL",5,1.5788252384141566,1.4934040604969847
"CAN,FROZNPRESRV FRUIT & VEG",8,5.884835994338639,6.557084261103949
CARPETS AND RUGS,4,2.613835578520022,2.4006465128038426
"CATALOG, MAIL-ORDER HOUSES",49,Negative EBIT,0.8132280721790772
"CEMENT, HYDRAULIC",2,3.9522791325870164,4.3288089318172105
CHEMICALS & ALLIED PDS-WHSL,8,0.49860667618726706,1.1460642370824872
CHEMICALS & ALLIED PRODS,10,3.8060115967434727,6.1725554473257995
CHILD DAY CARE SERVICES,4,5.278833967046895,0.7627672748286963
CIGARETTES,7,8.016192296087699,7.515038365411114
CMP AND CMP SOFTWARE STORES,1,2.217391304347827,0.7225130890052357
