Country,Tax Rate,Looked up for 2025,Country,2023,Region,Average Tax Rate,Country,2025 tax rate %
Afghanistan,0.09,0.09,Afghanistan,0.2,Europe average,0.1952,Afghanistan,0.2
Aland Islands,0.15,0.15,Aland Islands,0.15,Africa average,0.2686,Aland Islands,0.2
Albania,0.1,0.1,Albania,0.26,Latin America average,0.2853,Albania,0.15
Algeria,0.25,0.25,Algeria,0.1,North America average,0.2575,Algeria,0.26
American Samoa,0.35,0.35,American Samoa,0.25,Oceania average,0.2974,American Samoa,0.34
Andorra,0.18,0.18,Andorra,0,OECD average,0.2281,Andorra,0.1
Angola,0.22,0.22,Angola,0.25,,,Angola,0.25
Anguilla,0.3,0.3,Anguilla,0.35,,,Anguilla,0
Antigua and Barbuda,0.23,0.23,Antigua and Barbuda,0.18,,,Antigua and Barbuda,0.25
Argentina,0.2,0.2,Argentina,0.25,,,Argentina,0.35
Armenia,0,0,Armenia,0.3,,,Armenia,0.18
Aruba,0,0,Aruba,0.24,,,Aruba,0.22
Australia,0.275,0.275,Australia,0.2,,,Australia,0.3
Austria,0.09,0.09,Austria,0,,,Austria,0.23
Azerbaijan,0.25,0.25,Azerbaijan,0,,,Azerbaijan,0.2
Bahamas,0.25,0.25,Bahamas,0.3,,,Bahamas,0
Bahrain,0,0,Bahrain,0.055,,,Bahrain,0
Bangladesh,0.3,0.3,Bangladesh,0.18,,,Bangladesh,0.275
Barbados,0,0,Barbados,0.25,,,Barbados,0.09
Belarus,0.25,0.25,Belarus,0.3,,,Belarus,0.25
Belgium,0.1,0.1,Belgium,0,,,Belgium,0.25
Belize,0.22,0.22,Belize,0.25,,,Belize,0
Benin,0.34,0.34,Benin,0.25,,,Benin,0.3
Bermuda,0.1,0.1,Bermuda,0.1,,,Bermuda,0
Bhutan,0.275,0.275,Bhutan,0.22,,,Bhutan,0.25
Bolivia,0.2,0.2,Bolivia,0.34,,,Bolivia,0.25
"Bonaire, Sint Eustatius and Saba",0.33,0.33,"Bonaire, Sint Eustatius and Saba",0.185,,,"Bonaire, Sint Eustatius and Saba",0.258
Bosnia and Herzegovina,0.2614,0.2614,Bosnia and Herzegovina,0.1,,,Bosnia and Herzegovina,0.1
