Country,GDP (in millions) in 2023,Country Name,GDP in 2023,Country,GDP (in millions) in 2022
Abu Dhabi,310000,Afghanistan,14502.158192090395,Abu Dhabi,299500
Albania,22977.677860797856,Albania,22977.677860797856,Albania,22977.677860797856
Andorra (Principality of),3352,Algeria,239899.49112774237,Andorra (Principality of),3330
Angola,84722.95764237565,American Samoa,871,Angola,84722.95764237565
Argentina,640591.4106638834,Andorra,3727.673593019216,Argentina,640591.4106638834
Armenia,24212.134631064004,Angola,84722.95764237565,Armenia,24212.134631064004
Aruba,3544.7077880566426,Antigua and Barbuda,2033.0851851851849,Aruba,3544.7077880566426
Australia,1723827.2153347062,Argentina,640591.4106638834,Australia,1723827.2153347062
Austria,516034.14411595033,Armenia,24212.134631064004,Austria,516034.14411595033
Azerbaijan,72356.17647058824,Aruba,3544.7077880566426,Azerbaijan,72356.17647058824
Bahamas,11210,Australia,1723827.2153347062,Bahamas,11210
Bahrain,43205,Austria,516034.14411595033,Bahrain,43205
Bangladesh,437415.3310409943,Azerbaijan,72356.17647058824,Bangladesh,437415.3310409943
Barbados,6393.56418961345,"Bahamas, The",14338.5,Barbados,6393.56418961345
Belarus,71857.38274560659,Bahrain,43205,Belarus,71857.38274560659
Belgium,632216.5770751092,Bangladesh,437415.3310409943,Belgium,632216.5770751092
Belize,3281.5,Barbados,6393.56418961345,Belize,3281.5
Benin,19673.28468600226,Belarus,71857.38274560659,Benin,19673.28468600226
Bermuda,7827.98,Belgium,632216.5770751092,Bermuda,7827.98
Bolivia,45849.832906413896,Belize,3281.5,Bolivia,45849.832906413896
Bosnia and Herzegovina,27054.889362885206,Benin,19673.28468600226,Bosnia and Herzegovina,27054.889362885206
Botswana,19395.765126312748,Bermuda,7827.98,Botswana,19395.765126312748
Brazil,2173665.6559372735,Bhutan,2898.227713223154,Brazil,2173665.6559372735
Bulgaria,101584.38467278588,Bolivia,45849.832906413896,Bulgaria,101584.38467278588
Burkina Faso,20324.617838967646,Bosnia and Herzegovina,27054.889362885206,Burkina Faso,20324.617838967646
Cambodia,31772.759998857127,Botswana,19395.765126312748,Cambodia,31772.759998857127
Cameroon,47945.510090052856,Brazil,2173665.6559372735,Cameroon,47945.510090052856
Canada,2140085.5677914512,British Virgin Islands,0,Canada,2140085.5677914512
Cape Verde,1936,Brunei Darussalam,15128.292953509841,Cape Verde,1936
Cayman Islands,6600.844001537205,Bulgaria,101584.38467278588,Cayman Islands,6600.844001537205
Chile,335533.33166921913,Burkina Faso,20324.617838967646,Chile,335533.33166921913
China,17794781.98610446,Burundi,2642.1616689275384,China,17794781.98610446
Colombia,363540.15623486834,Cabo Verde,2587.252076305599,Colombia,363540.15623486834
Congo (Democratic Republic of),66383.28700299689,Cambodia,31772.759998857127,Congo (Democratic Republic of),0
Congo (Republic of),15321.055818326313,Cameroon,47945.510090052856,Congo (Republic of),14616
Cook Islands,1414,Canada,2140085.5677914512,Cook Islands,1414
Costa Rica,86497.94143901744,Cayman Islands,6600.844001537205,Costa Rica,86497.94143901744
Côte d'Ivoire,78788.82890686345,Central African Republic,2555.4920852483065,Côte d'Ivoire,70019
Croatia,82688.84271739259,Chad,13149.32535873826,Croatia,82688.84271739259
Cuba,107351,Channel Islands,11228.317318765241,Cuba,0
Curacao,3073.8403254328496,Chile,335533.33166921913,Curacao,3073.8403254328496
Cyprus,32229.622669195112,China,17794781.98610446,Cyprus,32229.622669195112
Czech Republic,330858.33987168607,Colombia,363540.15623486834,Czech Republic,0
Denmark,404198.75753797416,Comoros,1352.3809721566217,Denmark,404198.75753797416
Dominican Republic,121444.27931393079,"Congo, Dem. Rep.",66383.28700299689,Dominican Republic,121444.27931393079
Ecuador,118844.826,"Congo, Rep.",15321.055818326313,Ecuador,118844.826
Egypt,395926.0751630058,Costa Rica,86497.94143901744,Egypt,0
El Salvador,34015.62,Cote d'Ivoire,78788.82890686345,El Salvador,34015.62
Estonia,40744.84882795366,Croatia,82688.84271739259,Estonia,40744.84882795366
Ethiopia,163697.92759398237,Cuba,0,Ethiopia,163697.92759398237
Fiji,5494.797540733647,Curacao,3073.8403254328496,Fiji,5494.797540733647
Finland,300187.20269608375,Cyprus,32229.622669195112,Finland,300187.20269608375
France,3030904.0896078963,Czechia,330858.33987168607,France,3030904.0896078963
Gabon,20516.134388660783,Denmark,404198.75753797416,Gabon,20516.134388660783
Georgia,30535.530479022662,Djibouti,4098.530513557767,Georgia,30535.530479022662
Germany,4456081.016705961,Dominica,653.9925925925926,Germany,4456081.016705961
Ghana,76370.39441241627,Dominican Republic,121444.27931393079,Ghana,76370.39441241627
Greece,238206.31263252773,Ecuador,118844.826,Greece,238206.31263252773
Guatemala,102050.47386363636,"Egypt, Arab Rep.",395926.0751630058,Guatemala,102050.47386363636
Guernsey (States of),3446,El Salvador,34015.62,Guernsey (States of),3446
Honduras,34400.50985204365,Equatorial Guinea,12116.922539411173,Honduras,34400.50985204365
Hong Kong,382054.57429852907,Eritrea,0,Hong Kong,0
Hungary,212388.90645872394,Estonia,40744.84882795366,Hungary,212388.90645872394
Iceland,31020.032583197215,Eswatini,4597.855845042758,Iceland,31020.032583197215
India,3549918.918777532,Ethiopia,163697.92759398237,India,3549918.918777532
Indonesia,1371171.152331155,Faroe Islands,3555.9298330505053,Indonesia,1371171.152331155
Iraq,250842.78213946417,Fiji,5494.797540733647,Iraq,250842.78213946417
Ireland,545629.4504037352,Finland,300187.20269608375,Ireland,545629.4504037352
Isle of Man,0,France,3030904.0896078963,Isle of Man,0
Israel,509901.49570210325,French Polynesia,5814.661208905444,Israel,509901.49570210325
Italy,2254851.2127318047,Gabon,20516.134388660783,Italy,2254851.2127318047
Jamaica,19423.355367237178,"Gambia, The",2339.904156792144,Jamaica,19423.355367237178
Japan,4212945.159781403,Georgia,30535.530479022662,Japan,4212945.159781403
Jersey (States of),4890,Germany,4456081.016705961,Jersey (States of),4890
Jordan,50813.64234867464,Ghana,76370.39441241627,Jordan,50813.64234867464
Kazakhstan,261421.1210855721,Gibraltar,0,Kazakhstan,261421.1210855721
Kenya,107440.57583804752,Greece,238206.31263252773,Kenya,107440.57583804752
Korea,1712792.8542023688,Greenland,0,Korea,0
Kuwait,11000,Grenada,1320.334235588974,Kuwait,161772.22195094163
Kyrgyzstan,13987.627908838138,Guam,6910,Kyrgyzstan,0
Laos,15843.15573125518,Guatemala,102050.47386363636,Laos,0
