Country,GDP (in millions) in 2024,Country Name,GDP in 2024,Country,GDP (in millions) in 2022,GDP (in millions) in 2023
Abu Dhabi,310000,Afghanistan,17152.234636871508,Abu Dhabi,299500,310000
Albania,27046.429296667295,Africa Eastern and Southern,1242693.54292985,Albania,27046.429296667295,27046.429296667295
Andorra (Principality of),4039.842405481172,Africa Western and Central,736384.9610615232,Andorra (Principality of),3330,3352
Angola,100998.91678107891,Albania,27046.429296667295,Angola,100998.91678107891,100998.91678107891
Argentina,638365.4553400404,Algeria,269322.2816647731,Argentina,638365.4553400404,638365.4553400404
Armenia,25955.275380032082,American Samoa,871,Armenia,25955.275380032082,25955.275380032082
Aruba,4265.6506730023575,Andorra,4039.842405481172,Aruba,4265.6506730023575,4265.6506730023575
Australia,1757022.4516528314,Angola,100998.91678107891,Australia,1757022.4516528314,1757022.4516528314
Austria,534790.7204668218,Antigua and Barbuda,2207.622874074074,Austria,534790.7204668218,534790.7204668218
Azerbaijan,74315.88235294117,Arab World,3735881.442514345,Azerbaijan,74315.88235294117,74315.88235294117
Bahamas,15832.8,Argentina,638365.4553400404,Bahamas,11210,11210
Bahrain,47109.73430851063,Armenia,25955.275380032082,Bahrain,47109.73430851063,47109.73430851063
Bangladesh,450119.43206885224,Aruba,4265.6506730023575,Bangladesh,450119.43206885224,450119.43206885224
Barbados,7498.05,Australia,1757022.4516528314,Barbados,7498.05,7498.05
Belarus,75961.86547191293,Austria,534790.7204668218,Belarus,75961.86547191293,75961.86547191293
Belgium,671370.0816364061,Azerbaijan,74315.88235294117,Belgium,671370.0816364061,671370.0816364061
Belize,3203.6318,"Bahamas, The",15832.8,Belize,3203.6318,3203.6318
Benin,21482.64370642485,Bahrain,47109.73430851063,Benin,21482.64370642485,21482.64370642485
Bermuda,9233.6,Bangladesh,450119.43206885224,Bermuda,9233.6,9233.6
Bolivia,54881.32745296671,Barbados,7498.05,Bolivia,54881.32745296671,54881.32745296671
Bosnia and Herzegovina,29613.57202289933,Belarus,75961.86547191293,Bosnia and Herzegovina,29613.57202289933,29613.57202289933
Botswana,19402.06351290664,Belgium,671370.0816364061,Botswana,19402.06351290664,19402.06351290664
Brazil,2185821.6489438605,Belize,3203.6318,Brazil,2185821.6489438605,2185821.6489438605
Bulgaria,113343.3557799852,Benin,21482.64370642485,Bulgaria,113343.3557799852,113343.3557799852
Burkina Faso,23124.7298530218,Bermuda,9233.6,Burkina Faso,23124.7298530218,23124.7298530218
Cambodia,46352.64703724056,Bhutan,3012.8967892492788,Cambodia,46352.64703724056,46352.64703724056
Cameroon,53296.69432020565,Bolivia,54881.32745296671,Cameroon,53296.69432020565,53296.69432020565
Canada,2243636.8266337616,Bosnia and Herzegovina,29613.57202289933,Canada,2243636.8266337616,2243636.8266337616
Cape Verde,2725.4141507273494,Botswana,19402.06351290664,Cape Verde,1936,1936
Cayman Islands,7241.244269459721,Brazil,2185821.6489438605,Cayman Islands,7241.244269459721,7241.244269459721
Chile,330267.1373715923,British Virgin Islands,0,Chile,330267.1373715923,330267.1373715923
China,18743803.170827165,Brunei Darussalam,15340.808592479976,China,18743803.170827165,18743803.170827165
Colombia,418818.1548792711,Bulgaria,113343.3557799852,Colombia,418818.1548792711,418818.1548792711
Congo (Democratic Republic of),70962.18579070935,Burkina Faso,23124.7298530218,Congo (Democratic Republic of),0,12507.320838393167
Congo (Republic of),15719.98607664638,Burundi,3082.433067326336,Congo (Republic of),14616,330267.1373715923
Cook Islands,1414,Cabo Verde,2725.4141507273494,Cook Islands,1414,1414
Costa Rica,95350.42317659622,Cambodia,46352.64703724056,Costa Rica,95350.42317659622,95350.42317659622
Côte d'Ivoire,87113.17914928401,Cameroon,53296.69432020565,Côte d'Ivoire,70019,418818.1548792711
Croatia,92983.81032890885,Canada,2243636.8266337616,Croatia,92983.81032890885,92983.81032890885
Cuba,107352,Caribbean small states,90344.59340704873,Cuba,107352,107351
