Company Name/ Symbol,Company Details,Market Data,Ownership Details,Beta Estimates,Shares outstanding & Trading data,Estimates for future earnings/growth,Historic (Past) Growth,Income Statement numbers (last twelve months),Balance Sheet- Most recent quarter,Balance Sheet - Four quarters prior,R&D Expenses (Current & last 5 years),Per Share numbers,Operating Lease expenses: Current year & Future commitments,Statement of Cash Flow numbers: Last twelve months,Last fiscal year numbers,Corporate governance measures
Company Name,Year Founded,"Market Capitalization [Latest] ($USDmm, Historical rate)",Institutions - % Owned [Latest] (%),2 Year Beta [Latest],Shares Outstanding [Latest] (mm),Forward Revenues (Expected revenues in next 4 quarters),"Net Income, 10 Yr CAGR % [LTM] (%)","Total Revenue [LTM] ($USDmm, Historical rate)","Cash And Equivalents [Latest Quarter] ($USDmm, Historical rate)","Total Debt [Latest Quarter - 4] ($USDmm, Historical rate)","R&D Exp. [LTM] ($USDmm, Historical rate)","Basic EPS  [LTM] ($USD, Historical rate)","Operating Lease Commitment Due, After 5 Yrs [Latest Annual] ($USDmm, Historical rate)","Change in Net Working Capital [LTM] ($USDmm, Historical rate)","Total Revenue [Latest Annual] ($USDmm, Historical rate)",% of Directors that are Internal
Royal Dutch Shell plc (LSE:RDSA),-,208619.7,72.19,0.752,6309.7,464653.6,10.6,467153,18550,37175,1314,4.25,12200,-5500,467153,29.41
Wal-Mart Stores Inc. (NYSE:WMT),1945,256119.1,31.43,0.38,3292.4,490935.8,7.89,469162,7781,53537,-,5.04,9373,560,469162,4.76
Exxon Mobil Corporation (NYSE:XOM),1870,399745.7,50.78,0.991,4480.5,478650.3,14.6,428376,9582,17033,-,9.7,1467,3887,428376,7.69
China Petroleum & Chemical Corp. (SEHK:386),2000,103606.5,15.11,0.499,89665.5,451153.1,14.6,446879.8,1677.4,37250.4,-,0.118,52337.3,524.4,446879.8,33.33
BP plc (LSE:BP.),1889,132993.3,43.46,0.827,19121.7,338442.4,5.48,375580,19548,44213,-,0.609,4195,15603,375580,21.43
PetroChina Co. Ltd. (SEHK:857),1988,252561.9,6.96,0.746,183021,354462.2,9.41,352188.4,6961.8,50502.5,-,0.101,-,7348.4,352188.4,40
Volkswagen AG (DB:VOW),1937,90228.7,16.03,1.21,465.2,266322,23.7,254039.2,20386.3,91254.3,-,61.2,2851.9,1187.9,254039.2,-
Toyota Motor Corporation (TSE:7203),1933,179380.4,30.97,0.614,3167.2,240189.1,-0.659,253536.4,14353.4,152035,-,2.81,250.6,5700.5,225502.4,40.63
Total SA (ENXTPA:FP),1924,111092.5,38.83,0.872,2257.5,244295.2,6.05,240357.3,20395.5,41925.3,-,6.25,1280.2,874.2,240357.3,17.65
