Company Name/ Symbol,Company Details,Market Data,Ownership Details,Risk Measures,Shares Outstanding & Trading Data,Estimates for future earnings & growth,Historical/Past growth,Income Statement/ Flow Numbers (Last Twelve Months),Balance Sheet (Most recent quarter),Capital Invested (Four quarters prior),R&D Expenses (Current & Last 5 years),Earnings & Dividends Per Share,Lease Commitments (Current year & Expected Future commitments),Cash Flow Numbers (Last Twelve Months),Last fiscal year numbers,Corporate Governance
Company Name,Year Founded,"Market Capitalization [Latest] ($USDmm, Historical rate)",Institutions - % Owned [Latest] (%),2 Year Beta [Latest],Shares Outstanding [Latest] (mm),Forward Revenues (Expected revenues in next 4 quarters),"Net Income, 10 Yr CAGR % [LTM] (%)","Total Revenue [LTM] ($USDmm, Historical rate)","Cash And Equivalents [Latest Quarter] ($USDmm, Historical rate)","Total Debt [Latest Quarter - 4] ($USDmm, Historical rate)","R&D Exp. [LTM] ($USDmm, Historical rate)","Basic EPS  [LTM] ($USD, Historical rate)","Operating Lease Commitment Due, After 5 Yrs [Latest Annual] ($USDmm, Historical rate)","Change in Net Working Capital [LTM] ($USDmm, Historical rate)","Total Revenue [Latest Annual] ($USDmm, Historical rate)",% of Directors that are Internal
Apple Inc. (NasdaqGS:AAPL),1977,467198.5,0.6197,0.933,892.6,183123.7,0.747,173992,16154,0,4795,40.5,1855,163,170910,0.125
Exxon Mobil Corporation (NYSE:XOM),1870,421104.7,0.517,0.899,4321.2,429840.1,0.0424,393716,9582,11581,1044,7.37,1517,4356,393716,0.07139999999999999
Google Inc. (NasdaqGS:GOOGL),1998,374486.8,0.7212000000000001,1,673.3,66289.5,0.617,59825,13849,7210,7952,19.4,1845,648,59825,0.3
Microsoft Corporation (NasdaqGS:MSFT),1975,330534.8,0.7501000000000001,0.849,8300.7,88535.9,0.114,83433,6017,14218,10938,2.74,605,1318,77849,0.2
Johnson & Johnson (NYSE:JNJ),1885,277345.5,0.6692,0.693,2828.3,74151.7,0.0728,71312,14911,16165,8183,4.92,87,937,71312,0.0667
General Electric Company (NYSE:GE),1892,258143.8,0.5598,1.1,10025,146719.1,-0.0174,145715,15415,413799,5461,1.28,1039,-10143,145715,0.1429
Wal-Mart Stores Inc. (NYSE:WMT),1945,252456.9,0.3059,0.513,3229.2,488764.2,0.0587,476294,7781,54227,0,4.9,9836,3610,476294,0.1
Nestlé S.A. (SWX:NESN),1866,246906.9,0.2561,0.426,3190,105053.6,0.0489,103731.6,6240,30225.9,1687.8,3.52,695.1,-2986,103731.6,0.0667
Roche Holding AG (SWX:ROG),1896,246861.8,0.3214,0.644,849.1,54160.8,0.138,54589.6,4947.9,26858.5,10409.9,14.8,203.3,-168.4,54589.6,0.0833
Royal Dutch Shell plc (ENXTAM:RDSA),1940,238780.4,0.9048999999999999,0.602,6311.9,440793.2,0.0288,451235,18550,37754,1318,2.6,11700,1695,451235,0.1875
Chevron Corporation (NYSE:CVX),1879,224895.5,0.652,0.996,1909.1,244865.4,0.115,211665,20939,12192,750,11.2,806,1368,211665,0.23079999999999998
PetroChina Co. Ltd. (SEHK:857),1988,223901.2,0.057,0.902,183021,387743.5,0.0638,372997,6961.8,71394.1,2338.5,0.117,12267.9,-343.2,372997,0.3333
The Procter & Gamble Company (NYSE:PG),1837,220573,0.6108,0.546,2711.4,86118,0.065,84738,6643,33426,2023,3.89,519,104,84167,0.0909
