Company Name/ Symbol,Company Details,Market Data,Ownership Details,Risk Measures,Shares Outstanding & Trading Data,Estimates for future earnings & growth,Historical/Past growth,Income Statement/ Flow Numbers (Last Twelve Months),Balance Sheet (Most recent quarter),Capital Invested (Four quarters prior),R&D Expenses (Current & Last 5 years),Earnings & Dividends Per Share,Lease Commitments (Current year & Expected Future commitments),Cash Flow Numbers (Last Twelve Months) - Signs indicate cash flow effects,Last fiscal year numbers,Corporate Governance
Company Name,Year Founded,"Market Capitalization [My Setting] [Latest] ($USDmm, Historical rate)",Institutions - % Owned [Latest] (%),2 Year Beta [Latest],Shares Outstanding [My Setting] [Latest] (mm),Forward Revenue (next 12 months),"Net Income, 10 Yr CAGR % [LTM] (%)","Total Revenue [LTM] ($USDmm, Historical rate)","Cash And Equivalents [Latest Quarter] ($USDmm, Historical rate)","Total Debt [Latest Quarter - 4] ($USDmm, Historical rate)","R&D Expense [LTM] ($USDmm, Historical rate)","Basic EPS [LTM] ($USD, Historical rate)","Operating Lease Commitment Due, After 5 Yrs [Latest Annual] ($USDmm, Historical rate)","Change in Net Working Capital [LTM] ($USDmm, Historical rate)","Total Revenue [Latest Annual] ($USDmm, Historical rate)",% of Directors that are Internal
Apple Inc. (NasdaqGS:AAPL),1977,756131.3,0.601,1.32,5246.5,232520.8,34,218118,16371,62993,10512,8.37,3139,1358,215639,12.5
AT&T Inc. (NYSE:T),1983,254568.1,0.5639,0.529,6141.6,165298.5,5.84,163786,5788,129617,1649,2.1,14621,901,163786,7.69
Verizon Communications Inc. (NYSE:VZ),1983,200289.8,0.6531999999999999,0.622,4076.7,125190.3,7.8,125980,2880,109772,,3.22,6724,7098,125980,8.33
Samsung Electronics Co. Ltd. (KOSE:A005930),1938,260600.6,0.40840000000000004,0.676,143.4,201053,11,167678.8,26673.1,10940.3,12716.5,131.1,,-1383.3,167678.8,50
PetroChina Company Limited (SEHK:857),1988,200377.3,0.049800000000000004,1.41,183021,275939.3,-25.2,232869.1,14104.2,84983.6,,0.006,,812.7,232869.1,29.17
China Mobile Limited (SEHK:941),1997,225862.5,0.10490000000000001,0.625,20475.5,107784.3,5.12,102028,13021.4,769.3,,0.765,,3608.2,102028,55.56
"Wal-Mart Stores, Inc. (NYSE:WMT)",1945,217397.5,0.2974,0.533,3073.2,490864.5,1.92,485873,6867,50772,,4.4,,-5105,485873,15.38
Toyota Motor Corporation (TSE:7203),1933,163856,0.30510000000000004,1,2974.6,103722,1.46,232346.6,31600.4,165560.8,9042.2,5.25,220.4,-11940,252786.7,35.71
Alphabet Inc. (NasdaqGS:GOOGL),1998,581212.5,0.7151000000000001,1.39,691.4,106122.9,20.3,90272,12918,7648,13948,28.3,3694,-2212,90272,33.33
CITIC Limited (SEHK:267),1987,41562.3,0.0649,1.05,29090.3,52212.4,18.2,65415.2,119582.3,101800.8,,0.191,,24766.7,65415.2,26.32
Microsoft Corporation (NasdaqGS:MSFT),1975,505921.4,0.7529,1.22,7727.5,100294.1,3.48,85688,8468,44868,12294,2.14,2118,-7087,85320,16.67
Royal Dutch Shell plc (ENXTAM:RDSA),1907,221783.7,0.7289,1.11,8193.2,282353.6,-15.8,233591,19130,58379,1014,0.584,7200,6910,233591,23.08
Nippon Telegraph and Telephone Corporation (TSE:9432),1952,87784.5,0.20170000000000002,0.649,2021.3,104271.7,6.41,97697.1,5694.5,36521.8,2701.8,3.33,200.6,623,102714.5,52.94
Comcast Corporation (NasdaqGS:CMCS.A),1963,176503,0.8554,0.811,4742.2,83885.9,13.1,80403,3301,52621,,1.8,1873,-203,80403,6.67
China Petroleum & Chemical Corporation (SEHK:386),2000,99530.6,0.1216,1.45,121071.2,348072.6,-1.38,278093,17926.1,39305.7,855.6,0.055,39688,-8290.6,278093,31.25
Volkswagen Aktiengesellschaft (XTRA:VOW3),,75151.1,0.1024,1.86,501.3,238569.9,6.92,229354,15340.4,158137.4,12149.3,10.8,2386.8,-21615.1,229354,4.35
Johnson & Johnson (NYSE:JNJ),1885,338644.4,0.6783,0.708,2710.9,75002.4,4.11,71890,18972,20102,9095,6.04,100,429,71890,10
Public Joint Stock Company Gazprom (MISX:GAZP),1993,50314.2,0.10830000000000001,0.622,22127,106853,4.67,98240.1,12503.3,47949.7,519.7,0.573,,-2235,84463.4,35
Exxon Mobil Corporation (NYSE:XOM),1870,340097.1,0.5315,0.739,4146.5,308410.4,-14.9,197518,3657,38687,1058,1.88,1014,247,197518,7.69
Intel Corporation (NasdaqGS:INTC),1968,168175,0.6884,1.31,4728,60015.7,7.42,59387,5560,22670,12740,2.18,422,2746,59387,15.38
SoftBank Group Corp. (TSE:9984),1981,77869,0.3295,1.79,1089.1,83631.1,30.8,76443.8,21402.5,102375,76,6.86,10746.8,527.2,81466.3,16.67
Deutsche Telekom AG (DB:DTE),1995,82003.1,0.4269,0.905,4651.7,82256,-1.69,79428.9,8178,67749.1,88.8,0.61,3957.6,-3379.1,79428.9,9.52
Roche Holding AG (SWX:ROG),1896,218461.7,0.31329999999999997,0.615,852,53158.1,1.97,51818.3,4098.3,23229.9,11352.9,11.1,185.1,930.3,51818.3,14.29
TOTAL S.A. (ENXTPA:FP),1924,122545.2,0.4789,1.11,2443.3,153358.8,-6.72,127925,24597,57079,1050,2.6,1943,223,127925,12.5
Pfizer Inc. (NYSE:PFE),1849,204439.5,0.7376,0.749,5955.1,53347.4,-9.39,52824,2595,39038,7872,1.19,967,-631,52824,7.69
General Motors Company (NYSE:GM),1897,53237.5,0.8164,1.37,1498,155422.8,,166380,9760,63111,8100,6.12,482,-8119,166380,9.09
Taiwan Semiconductor Manufacturing Company Limited (TSEC:2330),1987,164229.5,0.5671,0.711,25930.4,33886.5,10.2,29251.9,16702.3,7732.8,2197.4,0.398,204.4,-1471.4,29251.9,13.33
International Business Machines Corporation (NYSE:IBM),1910,164062.4,0.5254,1.05,943.2,78669.4,2.26,79919,7826,39892,5751,12.4,1111,98,79919,9.09
Public Joint Stock Company Rosneft Oil Company (LSE:ROSN),1993,59242.8,0.028300000000000002,1.46,10598,105550,-1.76,77846.5,12906.3,46213.9,,0.279,,-3545.2,77846.5,7.14
Daimler AG (XTRA:DAI),1886,83294,0.3274,1.4,1069.8,169840.8,8.58,161787.2,9237.8,109847.4,6862.7,8.41,630.2,-54.9,161787.2,3.45
The Procter & Gamble Company (NYSE:PG),1837,231616.8,0.617,0.553,2556.5,65560.5,4.69,65231,6051,31526,1879,5.66,502,-7714,65299,10
"Telefónica, S.A. (BME:TEF)",1924,55705.4,0.3447,1.38,4968.6,57200.1,-9.22,55846.1,3943.8,65258.8,956.4,0.441,3767.5,718.9,55846.1,10
General Electric Company (NYSE:GE),1892,258474.5,0.5658,1.12,8708.7,125331.4,-8.19,120273,10525,197602,5466,0.907,1647,-83260,120273,10.53
