Company Name/ Symbol,Company Details,Market Data,Ownership Details,Risk measures (market-based),Shares Outstanding & Trading Data,Estimates for future earnings & growth,Historical/Past growth,Income Statement/ Flow Numbers (Last Twelve Months),Balance Sheet (Most recent quarter),Capital Invested (Four quarters prior),R&D Expenses (Current & Last 5 years),Earnings & Dividends Per Share,Lease Commitments (Current year & Expected Future commitments),Cash Flow Numbers (Last Twelve Months),Last fiscal year numbers,Corporate Governance
Company Name,Year Founded,"Market Capitalization [Latest] ($USDmm, Historical rate)",Institutions - % Owned [Latest] (%),2 Year Beta [Latest],Shares Outstanding [Latest] (mm),Forward Revenues (Expected revenues in next 4 quarters),"Net Income, 10 Yr CAGR % [LTM] (%)","Total Revenue [LTM] ($USDmm, Historical rate)","Cash And Equivalents [Latest Quarter] ($USDmm, Historical rate)","Total Debt [Latest Quarter - 4] ($USDmm, Historical rate)","R&D Exp. [LTM] ($USDmm, Historical rate)","Basic EPS  [LTM] ($USD, Historical rate)","Operating Lease Commitment Due, After 5 Yrs [Latest Annual] ($USDmm, Historical rate)","Change in Net Working Capital [LTM] ($USDmm, Historical rate)","Total Revenue [Latest Annual] ($USDmm, Historical rate)",% of Directors that are Internal
Wal-Mart Stores Inc. (NYSE:WMT),1945,249987.7,0.3038,0.442,3244.1,487892.5,0.071,473002,9016,55347,0,5.15,9373,2021,469162,5.56
China Petroleum & Chemical Corp. (SEHK:386),2000,87614.8,0.1389,0.508,116565.3,507733.4,0.124,464439.1,1821.8,47785.1,1020.6,0.099,52337.3,-2029.6,446879.8,33.33
Exxon Mobil Corporation (NYSE:XOM),1870,391437.1,0.6479,0.935,4401.6,441618,0.0718,399712,4609,15581,1042,7.95,1467,5845,428376,7.14
BP plc (LSE:BP.),1889,143484.5,0.7418,0.669,18740.1,347643.7,0.109,374545,28313,47662,674,1.38,4195,-1456,375580,21.43
PetroChina Co. Ltd. (SEHK:857),1988,231299.3,0.057300000000000004,0.785,183021,388567.6,0.059800000000000006,366274.5,25730.5,68450.1,2677.9,0.106,12367.9,274.8,352188.4,35.71
Toyota Motor Corporation (TSE:7203),1933,205438,0.2672,0.85,3169,261615.7,0.054299999999999994,229915.2,16362.4,146711.2,8136,3.93,228.2,10236.3,234239.5,40
Samsung Electronics Co. Ltd. (KOSE:A005930),1938,184931.6,0.6124,0.816,130.9,230033,0.09449999999999999,209641.3,48985.1,13785.7,12535.6,190.6,0,9306.4,189082.6,40
Chevron Corporation (NYSE:CVX),1879,234740.9,0.6406000000000001,1.17,1932,261404.1,0.212,213082,20630,10231,648,12.4,617,60,222580,25
Phillips 66 (NYSE:PSX),1875,39191.5,0.6915,1.24,611,185966.5,0,171757,0,7978,76,5.81,381,0,166169,12.5
Apple Inc. (NasdaqGS:AAPL),1977,464603.6,0.6108,0.938,899.2,184316.7,0,169404,11248,0,4213,40.4,1801,-2004,156508,12.5
Eni SpA (BIT:ENI),1953,90165.5,0.314,0.985,3622.8,162915.6,0.0060999999999999995,160508.3,10204.7,40507.1,282.1,2.07,738.3,-15860.9,168473.9,15
Daimler AG (XTRA:DAI),1886,87858.2,0.3179,1.38,1069.6,169422.5,0,156625.8,13347.8,97846.3,6809.2,9.3,1011.3,1131.5,150698.1,3.45
General Motors Company (NYSE:GM),1908,49915.3,0.7767000000000001,1.42,1384.2,161659.5,0,152842,17940,14793,7368,3.09,595,11896,152256,14.29
Ford Motor Co. (NYSE:F),1903,69377.6,0.528,1.52,3939.7,144678,0.17300000000000001,146352,0,100971,5500,1.46,196,0,134252,25
General Electric Company (NYSE:GE),1892,266916.9,0.5504,1.16,10183.8,149957.9,0.00232,144912,10300,431475,5200,1.35,929,147356,146785,10
Valero Energy Corporation (NYSE:VLO),1955,21799.6,0.8315,1.42,542.1,123621.2,0.21,135965,2398,7042,0,5.11,350,116,138286,8.33
"AT&T, Inc. (NYSE:T)",1983,191505.6,0.5384,0.696,5280,130344.4,-0.0282,128167,1371,63747,1278,1.37,11755,-611,127434,7.14
McKesson Corporation (NYSE:MCK),1833,35805.1,0.8617,0.67,229.7,142494.9,0.0828,127163,2960,3581,546,6,202,541,122455,11.11
"Hon Hai Precision Industry Co., Ltd. (TSEC:2317)",1974,33464.7,0.2324,0.738,13127.3,130050.7,0.174,123745.6,20059,20531.7,1530.1,0.257,8.81,-160.1,134326,57.14
CVS Caremark Corporation (NYSE:CVS),1892,76748.9,0.857,0.678,1227,128936.5,0.187,123632,1174,9413,0,3.39,17436,1478,123133,10
UnitedHealth Group Incorporated (NYSE:UNH),1974,69216.9,0.8748,0.723,1016.7,132241.6,0.124,120141,8286,12998,0,5.39,556,1259,110618,25
Verizon Communications Inc. (NYSE:VZ),1983,146206.9,0.5571,0.687,2861.8,124464.7,-0.107,119530,56710,52802,0,0.768,4119,-644,115846,7.69
"JX Holdings, Inc. (TSE:5020)",1888,12450.4,0.3171,0.899,2486.6,121512.2,0,115293,2323.4,0,233.3,0.924,382.1,2396.7,119109,25
Fiat S.p.A. (BIT:F),1899,9743.4,0.1937,1.58,1216.1,124167.8,0,109579.5,22940.5,36647,2573.9,0.364,292.7,-811.2,110695.5,11.76
Nippon Telegraph and Telephone Corporation (TSE:9432),1952,60831.1,0.1417,0.249,1165.2,109742.8,0.0336,108155.8,8773.5,55152.9,3931.6,4.48,180.6,2642.2,113602,52.94
Express Scripts Holding Company (NasdaqGS:ESRX),1986,49862.9,0.866,1.18,805.8,102289.4,0.22699999999999998,105826.3,1722.3,17124.9,137.6,2.27,29.1,-462.5,93858.1,8.33
Costco Wholesale Corporation (NasdaqGS:COST),1976,51884.5,0.7552,0.823,436.9,113982.1,0.11,105156,4644,1381,0,4.68,1753,51,105156,35.71
"Honda Motor Co., Ltd. (TSE:7267)",1946,72725.9,0.40369999999999995,1.07,1802.3,125036.6,-0.0161,103543.1,11478.7,49907.3,5803.1,2,0,5078.5,104867,75
International Business Machines Corporation (NYSE:IBM),1910,197755.7,0.5916,0.855,1085.9,100734.1,0.106,101356,10072,33667,6241,14.6,747,110,104507,4.55
Siemens Aktiengesellschaft (DB:SIE),1847,108811,0.3004,0.804,842.7,106747.4,0.10300000000000001,100044.2,7892.1,25949.2,5489.8,7.21,988.9,1306.5,100553.5,8.33
BASF SE (DB:BAS),1865,95931.3,0.30870000000000003,1.18,918.5,97938.2,0.172,99891.7,0,16374.5,2420,6.9,382.4,0,95100.5,6.67
Nestlé S.A. (SWX:NESN),1866,233611.2,0.2492,0.305,3190,106920.6,0.087,99988.4,4090.2,26203.9,1661,3.57,728.5,-1602.9,100841,6.67
Electricite de France SA (ENXTPA:EDF),1946,66255.9,0.047599999999999996,1.09,1857.8,104390.3,0,99542.4,7884.3,76123.5,685.1,2.41,2461.6,-5898,95891.6,5.56
Carrefour SA (ENXTPA:CA),1959,26887.4,0.3874,1.29,717.8,105703.1,0.041100000000000005,99313.6,4984.1,21645.4,0,3.99,995.5,137.8,101031.1,6.67
Bayerische Motoren Werke Aktiengesellschaft (DB:BMW),1916,72585.5,0.2687,1.27,656,110391.9,0.109,99383.8,8700.7,88030.7,5128.4,10.2,771.3,-700.7,101322.4,9.52
The Kroger Co. (NYSE:KR),1883,22534,0.8018000000000001,0.802,520.4,101173.8,0.0296,98725,440,8165,0,3.03,2025,-553,96751,14.29
Nissan Motor Co. Ltd. (TSE:7201),1933,43295.8,0.203,0.8,4191.4,106375.9,-0.028300000000000002,98001.4,6137.7,49944,4734.9,0.847,522.3,11119.4,102230.2,50
China Mobile Limited (SEHK:941),1997,211558,0.10779999999999999,0.308,20102.1,105162.8,0.142,95902.1,10747.5,4512.9,0,1.05,896.6,-2721.7,89906.3,63.64
Hitachi Ltd. (TSE:6501),1910,32936.9,0.2724,1.01,4830.5,94182,0.205,93306.7,6612.2,30231.5,3478.1,0,532,3638.3,95982.5,45
PTT Public Company Limited (SET:PTT),1978,28604.4,0.34,0.47,2856.3,93533.5,0.13699999999999998,89588.8,3546.3,13935.4,0,1.2,149.7,-354.1,91286.8,6.67
The Boeing Company (NYSE:BA),1916,97433.5,0.7576,1.11,751.5,91264,0.37799999999999995,85140,10041,11186,2976,5.69,644,-1748,81698,18.18
The Procter & Gamble Company (NYSE:PG),1837,224145.3,0.5949,0.555,2718.2,86684.9,0.0771,84633,6122,31877,2023,4.12,519,-535,84167,9.09
China Railway Group Limited (SHSE:601390),1950,10402.9,0.13119999999999998,0.432,21299.9,98269.7,0,83833.3,13403.7,23696.6,1161.6,0.065,4.01,2120,74699.6,44.44
Microsoft Corporation (NasdaqGS:MSFT),1975,296519.8,0.7358,0.87,8348,86463.6,0.10800000000000001,80370,4023,12374,10718,2.71,605,-451,77849,22.22
