Company Name/ Symbol,Company Details,Market Data,Ownership Details,Risk Measures,Shares Outstanding & Trading Data,Estimates for future earnings & growth,Historical/Past growth,Income Statement/ Flow Numbers (Last Twelve Months),Balance Sheet (Most recent quarter),Capital Invested (Four quarters prior),R&D Expenses (Current & Last 5 years),Earnings & Dividends Per Share,Lease Commitments (Current year & Expected Future commitments),Cash Flow Numbers (Last Twelve Months) - Signs indicate cash flow effects,Last fiscal year numbers,Corporate Governance
Company Name,Year Founded,"Day Close Price [Latest] ($USD, Historical rate)",Corporations - % Owned [Latest] (%),5 Year Beta [Latest],Total Options Out. at the End of Year [Latest Annual] (mm),Expected EBITDA in next 4  quarters,"EBIT, 10 Yr CAGR % [LTM] (%)","EBITDA [LTM] ($USDmm, Historical rate)","Net Property, Plant & Equipment [Latest Quarter] ($USDmm, Historical rate)","Total Minority Interest [Latest Quarter - 4] ($USDmm, Historical rate)","R&D Expense [LTM - 1] ($USDmm, Historical rate)","Basic EPS Excl. Extra Items [LTM] ($USD, Historical rate)","Operating Lease Commitment Due +5 [Latest Annual] ($USDmm, Historical rate)","Pref. Dividends Paid [LTM] ($USDmm, Historical rate)","EBITDA [Latest Annual] ($USDmm, Historical rate)",Corporate Governance - Board Member Term Length (Years)
3M Company (NYSE:MMM),1902,166.48,0,0.995,38.6,9076.3,0.0346,8659,8671,38,1749,8.11,72,0,8495,1
ABB Ltd. (SWX:ABBN),1883,20.56,0,0.683,3.7,4882.9,0.0344,4352,4861,480,1649,0.768,180,0,4552,1
Abbott Laboratories (NYSE:ABT),1888,39.09,0,0.845,34.6,5437,-0.0364,4512,NA,108,1474,0.659,66,0,4455,1
AbbVie Inc. (NYSE:ABBV),2012,56.04,0,1.51,23.6,12359.6,NA,11257,NA,0,4563,3.73,78,0,9736,3
Accenture plc (NYSE:ACN),1989,117.23,0,1.22,0.023,5938.5,0.10400000000000001,5539.5,956.5,513.8,625.5,6.58,257.9,0,5539.5,1
"Activision Blizzard, Inc. (NasdaqGS:ATVI)",NA,41.7,0.0676,1.08,24.3,2471,NA,1440,258,0,776,1.18,19,0,1419,1
Adidas AG (DB:ADS),1920,147.31,0.0279,0.564,0,2252.9,0.055099999999999996,2009.8,1927.7,-8.93,154.4,5.56,310.3,0,1509.6,5
Adobe Systems Incorporated (NasdaqGS:ADBE),1982,106.2,0,1.27,1.33,2662.2,0.08130000000000001,1647.1,811.5,0,908.9,1.99,21.4,0,1244.1,1
Aetna Inc. (NYSE:AET),1853,106.1,0,0.525,7.4,5736.9,0.0659,5972,597,63.7,0,6.99,50.1,0,5434.2,1
Air Liquide SA (ENXTPA:AI),1902,101.12,0,0.588,4.66,5598.5,0.060700000000000004,4689.9,21704,398.3,321.1,5.56,114.6,0,4582.4,4
"Air Products and Chemicals, Inc. (NYSE:APD)",1940,133.37,0,1.23,0,2856.7,0.0785,3124.4,8852.7,132.1,139.4,7,0,0,3124.4,NA
