Company Name,Exchange:Ticker,Industry Group,Primary Sector,SIC Code,Country,Broad Group,Sub Group
"&Do Holdings Co.,Ltd. (TSE:3457)",TSE:3457,Homebuilding,Consumer Discretionary,1500,Japan,Japan,Japan
01 Quantum Inc. (TSXV:ONE),TSXV:ONE,Software (System & Application),Information Technology,7372,Canada,"Australia, NZ and Canada",Canada
029 Group SE (DB:Z29),DB:Z29,Diversified,Financials,6799,Germany,Developed Europe,EU & Environs
"09WOMEN Co., Ltd. (KOSDAQ:A366030)",KOSDAQ:A366030,Retail (Special Lines),Consumer Discretionary,5960,South Korea,Emerging Markets,Small Asia
1 Production Film Co. (TPEX:8458),TPEX:8458,Entertainment,Communication Services,7812,Taiwan,Emerging Markets,Small Asia
"1-800-FLOWERS.COM, Inc. (NasdaqGS:FLWS)",NasdaqGS:FLWS,Retail (Special Lines),Consumer Discretionary,5961,United States,United States,United States
1&1 AG (XTRA:1U1),XTRA:1U1,Telecom (Wireless),Communication Services,4813,Germany,Developed Europe,EU & Environs
1000 Yatirimlar Holding Anonim Sirketi (IBSE:BINHO),IBSE:BINHO,Investments & Asset Management,Financials,6799,Turkey,Developed Europe,EU & Environs
104 Corporation (TWSE:3130),TWSE:3130,Business & Consumer Services,Industrials,7310,Taiwan,Emerging Markets,Small Asia
"10x Genomics, Inc. (NasdaqGS:TXG)",NasdaqGS:TXG,Heathcare Information and Technology,Health Care,2835,United States,United States,United States
11 bit studios S.A. (WSE:11B),WSE:11B,Entertainment,Communication Services,7372,Poland,Developed Europe,EU & Environs
11880 Solutions AG (XTRA:TGT),XTRA:TGT,Business & Consumer Services,Industrials,7389,Germany,Developed Europe,EU & Environs
123fahrschule SE (DB:123F),DB:123F,Education,Consumer Discretionary,8200,Germany,Developed Europe,EU & Environs
1369 Construction Joint Stock Company (HNX:C69),HNX:C69,Engineering/Construction,Industrials,1500,Vietnam,Emerging Markets,Small Asia
138 Student Living Jamaica Limited (JMSE:138SL),JMSE:138SL,Hotel/Gaming,Consumer Discretionary,7000,Jamaica,Emerging Markets,Latin America & Caribbean
1414 Degrees Limited (ASX:14D),ASX:14D,Electrical Equipment,Industrials,3690,Australia,"Australia, NZ and Canada",Australia & NZ
160 Health International Limited (SEHK:2656),SEHK:2656,Healthcare Support Services,Health Care,5122,China,Emerging Markets,China
1606 Corp. (OTCPK:CBDW),OTCPK:CBDW,Tobacco,Consumer Staples,5961,United States,United States,United States
17LIVE Group Limited (SGX:LVR),SGX:LVR,Entertainment,Communication Services,7900,Japan,Japan,Japan
1812 Brewing Company Inc. (OTCPK:KEGS),OTCPK:KEGS,Investments & Asset Management,Financials,5047,United States,United States,United States
1844 Resources Inc. (TSXV:EFF),TSXV:EFF,Metals & Mining,Materials,1000,Canada,"Australia, NZ and Canada",Canada
1847 Holdings LLC (OTCPK:LBRA),OTCPK:LBRA,Diversified,Industrials,5712,United States,United States,United States
"1895 Bancorp of Wisconsin, Inc. (OTCPK:BCOW)",OTCPK:BCOW,Banks (Regional),Financials,6035,United States,United States,United States
1911 Gold Corporation (TSXV:AUMB),TSXV:AUMB,Precious Metals,Materials,1000,Canada,"Australia, NZ and Canada",Canada
1933 Industries Inc. (CNSX:TGIF),CNSX:TGIF,Drugs (Pharmaceutical),Health Care,2834,Canada,"Australia, NZ and Canada",Canada
1957 & Co. (Hospitality) Limited (SEHK:8495),SEHK:8495,Restaurant/Dining,Consumer Discretionary,5812,Hong Kong,Emerging Markets,China
1CM Inc. (CNSX:EPIC),CNSX:EPIC,Drugs (Pharmaceutical),Health Care,2834,Canada,"Australia, NZ and Canada",Canada
1RT Acquisition Corp. (NasdaqGM:ONCH),NasdaqGM:ONCH,Investments & Asset Management,Financials,9995,United States,United States,United States
1Spatial Plc (AIM:SPA),AIM:SPA,Computer Services,Information Technology,7370,United Kingdom,Developed Europe,UK
"1st Colonial Bancorp, Inc. (OTCPK:FCOB)",OTCPK:FCOB,Banks (Regional),Financials,6020,United States,United States,United States
"1st Federal Savings Bank of SC, Inc. (OTCPK:FSGB)",OTCPK:FSGB,Banks (Regional),Financials,6030,United States,United States,United States
1st Source Corporation (NasdaqGS:SRCE),NasdaqGS:SRCE,Banks (Regional),Financials,6020,United States,United States,United States
"1ST SUMMIT BANCORP of Johnstown, Inc. (OTCPK:FSMK)",OTCPK:FSMK,Banks (Regional),Financials,6020,United States,United States,United States
"1stdibs.Com, Inc. (NasdaqGM:DIBS)",NasdaqGM:DIBS,Retail (General),Consumer Discretionary,5961,United States,United States,United States
2 Cheap Cars Group Limited (NZSE:2CC),NZSE:2CC,Retail (Automotive),Consumer Discretionary,5500,New Zealand,"Australia, NZ and Canada",Australia & NZ
20 Microns Limited (NSEI:20MICRONS),NSEI:20MICRONS,Chemical (Specialty),Materials,1400,India,Emerging Markets,India
2020 Bulkers Ltd. (OB:2020),OB:2020,Shipbuilding & Marine,Industrials,4400,Bermuda,Emerging Markets,Latin America & Caribbean
"22nd Century Group, Inc. (NasdaqCM:XXII)",NasdaqCM:XXII,Tobacco,Consumer Staples,2111,United States,United States,United States
29Metals Limited (ASX:29M),ASX:29M,Metals & Mining,Materials,1000,Australia,"Australia, NZ and Canada",Australia & NZ
2B Intelligent Soft S.A. (BVB:BENTO),BVB:BENTO,Computer Services,Information Technology,7370,Romania,Emerging Markets,Eastern Europe & Russia
2CRSI S.A. (ENXTPA:AL2SI),ENXTPA:AL2SI,Computers/Peripherals,Information Technology,3571,France,Developed Europe,EU & Environs
2cureX AB (publ) (OM:2CUREX),OM:2CUREX,Healthcare Products,Health Care,3845,Denmark,Developed Europe,EU & Environs
2G Energy AG (XTRA:2GB),XTRA:2GB,Electrical Equipment,Industrials,3612,Germany,Developed Europe,EU & Environs
2invest AG (XTRA:2INV),XTRA:2INV,Drugs (Biotechnology),Health Care,2836,Germany,Developed Europe,EU & Environs
2performant Network S.A. (BVB:2P),BVB:2P,Advertising,Communication Services,7379,Romania,Emerging Markets,Eastern Europe & Russia
2S Metal Public Company Limited (SET:2S),SET:2S,Steel,Materials,3310,Thailand,Emerging Markets,Small Asia
3 E Network Technology Group Limited (NasdaqCM:MASK),NasdaqCM:MASK,Computer Services,Information Technology,7371,Hong Kong,Emerging Markets,China
3-2 Investment And Construction Joint Stock Company (HOSE:C32),HOSE:C32,Engineering/Construction,Industrials,8711,Vietnam,Emerging Markets,Small Asia
"3-D Matrix, Ltd. (TSE:7777)",TSE:7777,Drugs (Biotechnology),Health Care,3845,Japan,Japan,Japan
333D Limited (ASX:T3D),ASX:T3D,Publishing & Newspapers,Industrials,2750,Australia,"Australia, NZ and Canada",Australia & NZ
360 Capital REIT (ASX:TOT),ASX:TOT,R.E.I.T.,Real Estate,6798,Australia,"Australia, NZ and Canada",Australia & NZ
360 Ludashi Holdings Limited (SEHK:3601),SEHK:3601,Software (Entertainment),Communication Services,7370,China,Emerging Markets,China
360 One Wam Limited (NSEI:360ONE),NSEI:360ONE,Investments & Asset Management,Financials,6200,India,Emerging Markets,India
360 Security Technology Inc. (SHSE:601360),SHSE:601360,Software (System & Application),Information Technology,7372,China,Emerging Markets,China
361 Degrees International Limited (SEHK:1361),SEHK:1361,Apparel,Consumer Discretionary,2300,China,Emerging Markets,China
37 Capital Inc. (CNSX:JJJ),CNSX:JJJ,Metals & Mining,Materials,1000,Canada,"Australia, NZ and Canada",Canada
"37 Interactive Entertainment Network Technology Group Co., Ltd. (SZSE:002555)",SZSE:002555,Entertainment,Communication Services,3714,China,Emerging Markets,China
374Water Inc. (NasdaqCM:SCWO),NasdaqCM:SCWO,Machinery,Industrials,3580,United States,United States,United States
3A Logics Inc. (KOSDAQ:A177900),KOSDAQ:A177900,Semiconductor,Information Technology,3674,South Korea,Emerging Markets,Small Asia
3B Blackbio Dx Limited (BSE:532067),BSE:532067,Chemical (Specialty),Materials,2870,India,Emerging Markets,India
3B Films Limited (BSE:544412),BSE:544412,Packaging & Container,Materials,3081,India,Emerging Markets,India
"3billion, Inc. (KOSDAQ:A394800)",KOSDAQ:A394800,Drugs (Biotechnology),Health Care,2835,South Korea,Emerging Markets,Small Asia
3C IT Solutions & Telecoms (India) Limited (BSE:544190),BSE:544190,Software (Internet),Information Technology,7374,India,Emerging Markets,India
3D Energi Limited (ASX:TDO),ASX:TDO,Oil/Gas (Production and Exploration),Energy,1311,Australia,"Australia, NZ and Canada",Australia & NZ
3D Global Biotech Inc. (TPEX:6808),TPEX:6808,Drugs (Biotechnology),Health Care,2836,Taiwan,Emerging Markets,Small Asia
3D Medicines Inc. (SEHK:1244),SEHK:1244,Drugs (Biotechnology),Health Care,2836,China,Emerging Markets,China
3D Systems Corporation (NYSE:DDD),NYSE:DDD,Machinery,Industrials,3559,United States,United States,United States
3DG Holdings (International) Limited (SEHK:2882),SEHK:2882,Retail (Special Lines),Consumer Discretionary,5160,Hong Kong,Emerging Markets,China
"3DX Industries, Inc. (OTCPK:DDDX)",OTCPK:DDDX,Machinery,Industrials,1000,United States,United States,United States
3i Group plc (LSE:III),LSE:III,Investments & Asset Management,Financials,6799,United Kingdom,Developed Europe,UK
3i Infotech Limited (NSEI:3IINFOLTD),NSEI:3IINFOLTD,Software (System & Application),Information Technology,7371,India,Emerging Markets,India
3M Company (NYSE:MMM),NYSE:MMM,Diversified,Industrials,9997,United States,United States,United States
3M India Limited (BSE:523395),BSE:523395,Diversified,Industrials,2670,India,Emerging Markets,India
"3onedata Co., Ltd. (SHSE:688618)",SHSE:688618,Telecom. Equipment,Information Technology,3661,China,Emerging Markets,China
3P Land Holdings Limited (BSE:516092),BSE:516092,Real Estate (Operations & Services),Real Estate,0700,India,Emerging Markets,India
3P Learning Limited (ASX:3PL),ASX:3PL,Education,Consumer Discretionary,8200,Australia,"Australia, NZ and Canada",Australia & NZ
3Peak Incorporated (SHSE:688536),SHSE:688536,Semiconductor,Information Technology,3674,China,Emerging Markets,China
"3Power Energy Group, Inc. (OTCPK:PSPW)",OTCPK:PSPW,Green & Renewable Energy,Utilities,4991,United Arab Emirates,Emerging Markets,Africa and Middle East
3R Games S.A. (WSE:3RG),WSE:3RG,Entertainment,Communication Services,7370,Poland,Developed Europe,EU & Environs
3REN Berhad (KLSE:3REN),KLSE:3REN,Semiconductor Equip,Information Technology,3559,Malaysia,Emerging Markets,Small Asia
"3S KOREA Co., Ltd. (KOSDAQ:A060310)",KOSDAQ:A060310,Electronics (General),Information Technology,3823,South Korea,Emerging Markets,Small Asia
"3s Silicon Tech., Inc. (TPEX:5297)",TPEX:5297,Semiconductor Equip,Information Technology,3559,Taiwan,Emerging Markets,Small Asia
3SBio Inc. (SEHK:1530),SEHK:1530,Drugs (Biotechnology),Health Care,2836,China,Emerging Markets,China
3U Holding AG (XTRA:UUU),XTRA:UUU,Diversified,Industrials,9997,Germany,Developed Europe,EU & Environs
40 Investment and Construction Joint Stock Company (HNX:L40),HNX:L40,Engineering/Construction,Industrials,1600,Vietnam,Emerging Markets,Small Asia
49 North Resources Inc. (TSXV:FNR),TSXV:FNR,Investments & Asset Management,Financials,6799,Canada,"Australia, NZ and Canada",Canada
4AIM SICAF S.p.A. (BIT:AIM),BIT:AIM,Investments & Asset Management,Financials,6799,Italy,Developed Europe,EU & Environs
4basebio PLC (AIM:4BB),AIM:4BB,Drugs (Biotechnology),Health Care,2836,United Kingdom,Developed Europe,UK
4by4 Inc (KOSDAQ:A389140),KOSDAQ:A389140,Software (Entertainment),Communication Services,7370,South Korea,Emerging Markets,Small Asia
4C Group AB (publ) (OM:4C),OM:4C,Software (System & Application),Information Technology,7372,Sweden,Developed Europe,EU & Environs
"4Cs HD Co., Ltd. (TSE:3726)",TSE:3726,Retail (Special Lines),Consumer Discretionary,5961,Japan,Japan,Japan
"4D Molecular Therapeutics, Inc. (NasdaqGS:FDMT)",NasdaqGS:FDMT,Drugs (Biotechnology),Health Care,2836,United States,United States,United States
4DMedical Limited (ASX:4DX),ASX:4DX,Heathcare Information and Technology,Health Care,7372,Australia,"Australia, NZ and Canada",Australia & NZ
