Company Name,Exchange:Ticker,Industry Group,Primary Sector,SIC Code,Country,Broad Group,Sub Group
Ambitions Enterprise Management Co. L.L.C (NasdaqCM:AHMA),NasdaqCM:AHMA,Advertising,Communication Services,7900,United Arab Emirates,Emerging Markets,Africa and Middle East
Arabian Contracting Services Company (SASE:4071),SASE:4071,Advertising,Communication Services,7310,Saudi Arabia,Emerging Markets,Africa and Middle East
Gix Internet Ltd (TASE:GIX),TASE:GIX,Advertising,Communication Services,7374,Israel,Emerging Markets,Africa and Middle East
Goto Ltd (TASE:GOTO),TASE:GOTO,Advertising,Communication Services,7372,Israel,Emerging Markets,Africa and Middle East
Mufeed Company (SASE:9615),SASE:9615,Advertising,Communication Services,7310,Saudi Arabia,Emerging Markets,Africa and Middle East
Nexxen International Ltd. (NasdaqGM:NEXN),NasdaqGM:NEXN,Advertising,Communication Services,7310,Israel,Emerging Markets,Africa and Middle East
Perion Network Ltd. (NasdaqGS:PERI),NasdaqGS:PERI,Advertising,Communication Services,7370,Israel,Emerging Markets,Africa and Middle East
"Tihama for Advertising, Public Relations and Marketing Company (SASE:4070)",SASE:4070,Advertising,Communication Services,7310,Saudi Arabia,Emerging Markets,Africa and Middle East
Time Entertainment Company (SASE:9642),SASE:9642,Advertising,Communication Services,7311,Saudi Arabia,Emerging Markets,Africa and Middle East
Viewbix Inc. (NasdaqCM:VBIX),NasdaqCM:VBIX,Advertising,Communication Services,7370,Israel,Emerging Markets,Africa and Middle East
WPP Scangroup Plc (NASE:SCAN),NASE:SCAN,Advertising,Communication Services,7310,Kenya,Emerging Markets,Africa and Middle East
Abu Dhabi Ship Building PJSC (ADX:ADSB),ADX:ADSB,Aerospace/Defense,Industrials,3730,United Arab Emirates,Emerging Markets,Africa and Middle East
Aerodrome Group Ltd (TASE:ARDM),TASE:ARDM,Aerospace/Defense,Industrials,3720,Israel,Emerging Markets,Africa and Middle East
Al Seer Marine Supplies and Equipment Company PJSC (ADX:ASM),ADX:ASM,Aerospace/Defense,Industrials,3730,United Arab Emirates,Emerging Markets,Africa and Middle East
Aryt Industries Ltd. (TASE:ARYT),TASE:ARYT,Aerospace/Defense,Industrials,3480,Israel,Emerging Markets,Africa and Middle East
Ashot Ashkelon Industries Ltd. (TASE:ASHO),TASE:ASHO,Aerospace/Defense,Industrials,3728,Israel,Emerging Markets,Africa and Middle East
Axon Vision Ltd (TASE:AXN),TASE:AXN,Aerospace/Defense,Industrials,7372,Israel,Emerging Markets,Africa and Middle East
Bet Shemesh Engines Holdings (1997) Ltd (TASE:BSEN),TASE:BSEN,Aerospace/Defense,Industrials,3724,Israel,Emerging Markets,Africa and Middle East
DUKE Robotics Corp. (OTCPK:DUKR),OTCPK:DUKR,Aerospace/Defense,Industrials,3812,Israel,Emerging Markets,Africa and Middle East
Elbit Systems Ltd. (TASE:ESLT),TASE:ESLT,Aerospace/Defense,Industrials,7373,Israel,Emerging Markets,Africa and Middle East
FMS Enterprises Migun Ltd (TASE:FBRT),TASE:FBRT,Aerospace/Defense,Industrials,3990,Israel,Emerging Markets,Africa and Middle East
