Company Name,Exchange:Ticker,Industry Group,Primary Sector,SIC Code,Country,Broad Group,Sub Group
2performant Network S.A. (BVB:2P),BVB:2P,Advertising,Communication Services,7379,Romania,Emerging Markets,Eastern Europe & Russia
4imprint Group plc (LSE:FOUR),LSE:FOUR,Advertising,Communication Services,7330,United Kingdom,Developed Europe,UK
Able View Global Inc. (NasdaqCM:ABLV),NasdaqCM:ABLV,Advertising,Communication Services,8742,China,Emerging Markets,China
"Access Group Holdings Co., Ltd. (TSE:7042)",TSE:7042,Advertising,Communication Services,8742,Japan,Japan,Japan
Activation Group Holdings Limited (SEHK:9919),SEHK:9919,Advertising,Communication Services,7310,China,Emerging Markets,China
ad pepper media International N.V. (XTRA:APM),XTRA:APM,Advertising,Communication Services,7310,Germany,Developed Europe,EU & Environs
Adcounty Media India Limited (BSE:544435),BSE:544435,Advertising,Communication Services,7310,India,Emerging Markets,India
"ADforus Co., Ltd. (KOSDAQ:A397810)",KOSDAQ:A397810,Advertising,Communication Services,9995,South Korea,Emerging Markets,Small Asia
ADLPartner SA (ENXTPA:DKUPL),ENXTPA:DKUPL,Advertising,Communication Services,7389,France,Developed Europe,EU & Environs
Adtiger Corporations Limited (SEHK:1163),SEHK:1163,Advertising,Communication Services,7311,China,Emerging Markets,China
Adtraction Group AB (OM:ADTR),OM:ADTR,Advertising,Communication Services,7370,Sweden,Developed Europe,EU & Environs
AdUX SA (ENXTPA:ALDUX),ENXTPA:ALDUX,Advertising,Communication Services,7310,France,Developed Europe,EU & Environs
Advantage Solutions Inc. (NasdaqGS:ADV),NasdaqGS:ADV,Advertising,Communication Services,8742,United States,United States,United States
Advantex Marketing International Inc. (CNSX:ADX),CNSX:ADX,Advertising,Communication Services,8742,Canada,"Australia, NZ and Canada",Canada
Adverty AB (publ) (NGM:ADVT),NGM:ADVT,Advertising,Communication Services,7372,Sweden,Developed Europe,EU & Environs
Adways Inc. (TSE:2489),TSE:2489,Advertising,Communication Services,7311,Japan,Japan,Japan
Affle 3i Limited (NSEI:AFFLE),NSEI:AFFLE,Advertising,Communication Services,7310,India,Emerging Markets,India
AGEHA Inc. (TSE:9330),TSE:9330,Advertising,Communication Services,7311,Japan,Japan,Japan
Ai Robotics Inc. (TSE:247A),TSE:247A,Advertising,Communication Services,7310,Japan,Japan,Japan
AI X Tech Inc. (SEHK:1490),SEHK:1490,Advertising,Communication Services,7311,China,Emerging Markets,China
Aidma Marketing Communication Corporation (TSE:9466),TSE:9466,Advertising,Communication Services,7311,Japan,Japan,Japan
"All About, Inc. (TSE:2454)",TSE:2454,Advertising,Communication Services,7310,Japan,Japan,Japan
Allegro Culture Limited (SEHK:550),SEHK:550,Advertising,Communication Services,7310,Hong Kong,Emerging Markets,China
"Allied Architects, Inc. (TSE:6081)",TSE:6081,Advertising,Communication Services,7310,Japan,Japan,Japan
"Alpha Co., Ltd. (TSE:4760)",TSE:4760,Advertising,Communication Services,7310,Japan,Japan,Japan
Ambitions Enterprise Management Co. L.L.C (NasdaqCM:AHMA),NasdaqCM:AHMA,Advertising,Communication Services,7900,United Arab Emirates,Emerging Markets,Africa and Middle East
Antiaging Quantum Living Inc. (OTCPK:AAQL),OTCPK:AAQL,Advertising,Communication Services,7310,United States,United States,United States
APG|SGA SA (SWX:APGN),SWX:APGN,Advertising,Communication Services,7310,Switzerland,Developed Europe,EU & Environs
AppBank Inc. (TSE:6177),TSE:6177,Advertising,Communication Services,7310,Japan,Japan,Japan
Aqua Corporation Public Company Limited (SET:AQUA),SET:AQUA,Advertising,Communication Services,5731,Thailand,Emerging Markets,Small Asia
Arabian Contracting Services Company (SASE:4071),SASE:4071,Advertising,Communication Services,7310,Saudi Arabia,Emerging Markets,Africa and Middle East
ARIP Public Company Limited (SET:ARIP),SET:ARIP,Advertising,Communication Services,2700,Thailand,Emerging Markets,Small Asia
