Name,Beta,Correlation with S&P 500,R squared,Standard deviation,Tracking Error
American Beacon Balanced Y,0.67187457167799,0.9787224149755366,0.9578975655755464,0.1101089508568205,0.057256414009943024
American Beacon Balanced A,0.6735146825828807,0.9785078855537721,0.9574776820909139,0.11040181633744808,0.05708350052921137
American Beacon Balanced C,0.6751144856176131,0.9788108553430294,0.9580706905373527,0.11062969144300665,0.05680336307820665
American Beacon Balanced A Load Waived,0.6735146825828807,0.9785078855537721,0.9574776820909139,0.11040181633744808,0.05708350052921137
American Beacon Balanced Instl,0.6757272432108098,0.979037993052112,0.9585153918395073,0.11070398966705632,0.05667134526945945
American Beacon Balanced Inv,0.6750644953813042,0.9795231165523065,0.9594655358603432,0.11054071658208592,0.05665335383474957
American Beacon Balanced AMR,0.673784118730181,0.9791546877878237,0.9587439026168704,0.11037279495944986,0.05690622784342592
American AAdvantage Balanced Milg,,,0,0,0
American Beacon Balanced Adv,0.6752568870585622,0.9795242966530133,0.9594678477335805,0.11057252893316243,0.05662721605056723
Vanguard Tax-Managed Balanced Adm,0.4828054904975046,0.9637561274524447,0.9288258732021327,0.08035299869809938,0.08565391112243613
UBS Global Allocation Y,0.8540960504689356,0.953592320183208,0.909338313112394,0.14365838370897882,0.04916558924561442
UBS Global Balanced,,,0,0,0
UBS Global Allocation A,0.8535262917381249,0.9528335940156726,0.9078918578848235,0.14367729845636681,0.04951626684932269
UBS Global Allocation C,0.8494225365942196,0.9523890584755442,0.9070449187039337,0.1430532745883661,0.04984026973943191
UBS Global Allocation B,,,0,0,0
UBS Global Allocation A Load Waived,0.8535262917381249,0.9528335940156726,0.9078918578848235,0.14367729845636681,0.04951626684932269
MainStay Balanced A Load Waived,0.6336403218099862,0.9788316617249461,0.9581114219952193,0.10383737092662139,0.06246744891176448
MainStay Balanced R3,0.6338465850139751,0.9788532455333537,0.9581536762911802,0.10386884301342268,0.06243489380322895
MainStay Balanced Inv,0.6355703228032464,0.9790658910060093,0.9585700189313908,0.10412844885740973,0.06215695255763582
MainStay Balanced I,0.6340251835229744,0.9783708072335165,0.9572094364467628,0.10394927921009454,0.06249519170759268
MainStay Balanced S,,,0,0,0
MainStay Balanced C,0.632897513815398,0.9785316808801234,0.9575242504860797,0.10374737129966048,0.06262366801037693
MainStay Balanced A,0.6336403218099862,0.9788316617249461,0.9581114219952193,0.10383737092662139,0.06246744891176448
MainStay Balanced B,0.6335344739992013,0.9790023086895614,0.9584455204194912,0.10380181726162738,0.062452152023796816
MainStay Balanced R1,0.6342396305757785,0.9784728490801301,0.957409116386987,0.10397361573493079,0.062447367020445226
MainStay Balanced R2,0.6338109130934598,0.978632043996411,0.9577206775365934,0.10388644135404727,0.06247887963994294
Fidelity Advisor Global Balanced A,0.7565988626415332,0.9539788755494903,0.91007569499467,0.12721461436744227,0.05456621153729965
Fidelity Advisor Global Balanced B,0.7576490471212566,0.9536545407299185,0.9094569830547917,0.12743425781702913,0.05458413902049533
Fidelity Advisor Global Balanced C,0.7574883599732688,0.9533748878213999,0.9089236767284669,0.12744485034754632,0.05468387235554312
Fidelity Advisor Global Balanced T,0.7568229829792047,0.9534001948065844,0.9089719314572331,0.12732950275715774,0.054728226350155944
Fidelity Advisor Global Balanced I,0.7568080725803519,0.9533147181648932,0.9088089518698097,0.12733836940153995,0.05475593509043998
Fidelity Advisor Global Balanced A LW,0.7565988626415332,0.9539788755494903,0.91007569499467,0.12721461436744227,0.05456621153729965
Fidelity Global Balanced,0.7559090122830039,0.9532317649569131,0.9086507977228716,0.1271981682376852,0.05485235766718735
Schwab MarketTrack Growth Investor,0.8884018145319,0.9929530838352063,0.9859558266978463,0.1434991584657203,0.024683049476684923
Greenspring,0.4900660462140773,0.9301514557892828,0.8651817307069222,0.08450953513698012,0.08745173040671501
JHancock Balanced B,0.7195600316616233,0.966757800922739,0.9346206456449703,0.11937833574199777,0.05434404324702544
JHancock Balanced A,0.7203631407827461,0.9673175047056691,0.9357031549100021,0.11944249996734312,0.05410430047172555
JHancock Balanced R6,0.7208999255509867,0.9674698455682318,0.9359979020838182,0.11951225612928534,0.05400402024212289
JHancock Balanced R2,0.7203338573134298,0.9673167449137536,0.93570168499054,0.11943774010345186,0.05410771007605372
JHancock Balanced I,0.7187345610673714,0.9660621391584296,0.9332760567153611,0.11932756039752052,0.05462174093770634
JHancock Balanced C,0.7178399267408637,0.966311354790098,0.9337576343962746,0.11914826567457114,0.054651720246036595
JHancock Balanced A Load Waived,0.7203631407827461,0.9673175047056691,0.9357031549100021,0.11944249996734312,0.05410430047172555
JHancock Balanced R,,,0,0,0
JHancock Balanced R1,0.7197700613719396,0.9663352964400158,0.9338039051458131,0.11946545486137902,0.05443579850600329
JHancock Balanced R2(obs),,,0,0,0
JHancock Balanced R3,0.7182403606925537,0.9666914994247108,0.9344924550599956,0.11916789293721532,0.054505819513074975
JHancock Balanced R4,0.719540595892152,0.9660830761433474,0.9333165100105929,0.1194585219111937,0.054528949634839445
JHancock Balanced R5,0.7185487270149488,0.9667587470732085,0.9346224750425598,0.11921047205447616,0.05445403028502288
DWS Lifecycle Long Range S,0.6899333878017967,0.9841541959344463,0.9685594813753765,0.11244720999551575,0.05356426299549158
DWS Lifecycle Long Range Inst,0.6872144036846338,0.9838147964612475,0.9678915537360857,0.11204295264601749,0.05402034769010919
Columbia Strategic Allocation A LW,0.7755173206157356,0.9840940595345249,0.968441118011141,0.12639207734376243,0.042420791087806616
Columbia Strategic Allocation I,0.7789782747304809,0.9846616153074658,0.9695584966599078,0.1268826329239908,0.04178304322614162
Columbia Strategic Allocation R,0.7772152070762394,0.9841910847111098,0.9686320912248312,0.12665596123810435,0.042178734529616985
