Name,Turnover Ratio,Tax Cost Ratio - 1 yr,Tax Cost Ratio - 3 yr,Tax Cost Ratio - 5 yr
American Beacon Balanced Y,0.47,0.0083,NA,NA
American Beacon Balanced A,0.47,0.0109,NA,NA
American Beacon Balanced C,0.47,0.0045000000000000005,NA,NA
American Beacon Balanced A Load Waived,0.47,0.0109,NA,NA
American Beacon Balanced Instl,0.47,0.0089,0.0105,0.013500000000000002
American Beacon Balanced Inv,0.47,0.0088,0.01,0.013600000000000001
American Beacon Balanced AMR,0.47,0.0105,0.012,0.0151
American AAdvantage Balanced Milg,0.47,NA,NA,NA
American Beacon Balanced Adv,0.47,0.0075,0.0092,0.0097
Vanguard Tax-Managed Balanced Adm,0.12,0.0044,0.005,0.005
UBS Global Allocation Y,0.68,0.0175,0.018799999999999997,0.0231
UBS Global Balanced,0.68,NA,NA,NA
UBS Global Allocation A,0.68,0.016399999999999998,0.0179,0.022400000000000003
UBS Global Allocation C,0.68,0.0132,0.015,0.0199
UBS Global Allocation B,0.68,0.006500000000000001,0.0102,0.017
UBS Global Allocation A Load Waived,0.68,0.016399999999999998,0.0179,0.022400000000000003
MainStay Balanced A Load Waived,2.21,0.0039000000000000003,0.0045000000000000005,0.0076
MainStay Balanced R3,2.21,0.0027,0.0033,0.006500000000000001
MainStay Balanced Inv,2.21,0.0032,0.0038,NA
MainStay Balanced I,2.21,0.0048,0.0054,0.0086
MainStay Balanced S,2.21,0.0074,NA,NA
MainStay Balanced C,2.21,0.0006,0.0012,0.0044
MainStay Balanced A,2.21,0.0039000000000000003,0.0045000000000000005,0.0076
MainStay Balanced B,2.21,0.0006,0.0012,0.0045000000000000005
MainStay Balanced R1,2.21,0.0044,0.005,0.0083
MainStay Balanced R2,2.21,0.0036,0.0042,0.0074
Fidelity Advisor Global Balanced A,1.97,0.0045000000000000005,0.004699999999999999,NA
Fidelity Advisor Global Balanced B,1.97,0.0014000000000000002,0.0026,NA
Fidelity Advisor Global Balanced C,1.97,0.0022,0.0033,NA
Fidelity Advisor Global Balanced T,1.97,0.0040999999999999995,0.0044,NA
Fidelity Advisor Global Balanced I,1.97,0.0055000000000000005,0.0053,NA
Fidelity Advisor Global Balanced A LW,1.97,0.0045000000000000005,0.004699999999999999,NA
Fidelity Global Balanced,1.97,0.0052,0.0051,0.0098
Schwab MarketTrack Growth Investor,0.17,0.0087,0.0068000000000000005,0.0092
Greenspring,0.5832,0.0158,0.0137,0.0121
JHancock Balanced B,0.67,0.0017000000000000001,0.0028000000000000004,0.005
JHancock Balanced A,0.67,0.0039000000000000003,0.0051,0.0072
JHancock Balanced R6,0.67,NA,NA,NA
JHancock Balanced R2,0.67,NA,NA,NA
JHancock Balanced I,0.67,0.0055000000000000005,0.0066,0.0087
JHancock Balanced C,0.67,0.0017000000000000001,0.0028000000000000004,0.0049
JHancock Balanced A Load Waived,0.67,0.0039000000000000003,0.0051,0.0072
JHancock Balanced R,0.67,NA,NA,NA
JHancock Balanced R1,0.67,0.0031,0.0039000000000000003,NA
JHancock Balanced R2(obs),0.67,NA,NA,NA
JHancock Balanced R3,0.67,0.0034999999999999996,0.0044,NA
JHancock Balanced R4,0.67,0.0044,0.0052,NA
JHancock Balanced R5,0.67,0.0054,0.0063,NA
DWS Lifecycle Long Range S,2.22,0.0055000000000000005,0.0075,0.016200000000000003
DWS Lifecycle Long Range Inst,2.22,0.006500000000000001,0.0084,0.0169
Columbia Strategic Allocation A LW,1.42,0.008199999999999999,0.008,0.0105
Columbia Strategic Allocation I,1.42,0.0097,0.0095,0.012
Columbia Strategic Allocation R,1.42,0.0074,0.006999999999999999,0.0097
RiverSource Strategic Allocation R3,1.42,0.006,0.011699999999999999,NA
RiverSource Strategic Allocation R5,1.42,0.0077,0.0129,NA
Columbia Strategic Allocation C,1.42,0.005699999999999999,0.0054,0.008100000000000001
Strategist Total Return,1.42,0.0206,0.0233,NA
Columbia Strategic Allocation R4,1.42,0.0087,0.008199999999999999,0.011000000000000001
Columbia Strategic Allocation B,1.42,0.0058,0.0053,0.008
Columbia Strategic Allocation A,1.42,0.008199999999999999,0.008,0.0105
Columbia Strategic Allocation Z,1.42,0.009300000000000001,NA,NA
