Name,Total Ret 1 Yr (Daily) Base Currency,Total Ret Annlzd 2 Yr (Daily) Base Currency,Total Ret Annlzd 3 Yr (Daily) Base Currency,Total Ret Annlzd 5 Yr (Daily) Base Currency,Alpha 2009-06-01 to 2012-05-31 Base Currency,Appraisal Ratio 2009-06-01 to 2012-05-31 Base Currency,Excess Return 2009-06-01 to 2012-05-31 Base Currency,Excess Return (geo) 2009-06-01 to 2012-05-31 Base Currency,Information Ratio (arith) 2009-06-01 to 2012-05-31 Base Currency,M-Squared 2009-06-01 to 2012-05-31 Base Currency,Sharpe Ratio 2009-06-01 to 2012-05-31 Base Currency,Treynor Ratio (arith) 2009-06-01 to 2012-05-31 Base Currency
American Beacon Balanced Y,6.6094,8.74012,,,1.4255155412730214,0.1795758569101505,-3.229895979496721,-2.8106377622085565,-0.5641107700066275,16.98146079917327,1.0527679080749412,17.244415703455825
American Beacon Balanced A,6.22505,8.36162,,,1.0751739887989697,0.13441440418870343,-3.5932625288578315,-3.126837340040445,-0.6294748036727441,16.463715451188968,1.0204785317115808,16.66291493779639
American Beacon Balanced C,5.49307,,,,0.302848797417119,0.038049294986389745,-4.418895383375565,-3.845298520635243,-0.7779284788634163,15.345327856946955,0.9507298838653263,15.400476855723525
American Beacon Balanced A Load Waived,6.22505,8.36162,,,1.0751739887989697,0.13441440418870343,-3.5932625288578315,-3.126837340040445,-0.6294748036727441,16.463715451188968,1.0204785317115808,16.66291493779639
American Beacon Balanced Instl,6.8106,8.85921,12.55654,1.3538,1.4453502628278825,0.18243828942993223,-3.1504299930053428,-2.741486896712686,-0.5559123359478692,17.003798292067604,1.0541609939189514,17.263697029081612
American Beacon Balanced Inv,6.35215,8.51284,12.1848,1.03675,1.1054482800654517,0.1413689062519834,-3.53583981241945,-3.076868407215727,-0.6241183571820007,16.52103076818301,1.0240530222386537,16.70972278774989
American Beacon Balanced AMR,7.08986,9.17528,12.85139,1.61918,1.7231385138010737,0.21875849148179452,-2.871075449509952,-2.4983941054968484,-0.5045274582967517,17.41553962883789,1.0798393916855151,17.728089179505776
American AAdvantage Balanced Milg,,,,,,,,,,,,
American Beacon Balanced Adv,6.22151,8.35617,12.00213,0.85771,0.9738015084320799,0.12450163818416396,-3.678034161762934,-3.20060514993884,-0.6495170376164185,16.329627385809996,1.012116080893408,16.49438376089369
Vanguard Tax-Managed Balanced Adm,7.74045,9.39537,11.33706,3.71869,3.043289785730836,0.40405031677089237,-4.297682831013528,-3.739820022539586,-0.5017497478743613,20.753415147324937,1.2880072087215897,21.78578696824937
UBS Global Allocation Y,-3.85148,5.10119,9.73799,-1.23903,-3.781582280296757,-0.24881465295681923,-6.3596797421889395,-5.534158422567604,-1.2935225306500775,10.302679815631977,0.6362433102864591,9.900877831318263
UBS Global Balanced,,,,,,,,,,,,
UBS Global Allocation A,-4.13209,4.80089,9.38535,-1.50469,-4.0772741439200395,-0.2661211087144873,-6.687501496323577,-5.81942711459148,-1.3505665757625773,9.96165108388552,0.6149749297728505,9.523407745550356
UBS Global Allocation C,-4.91158,3.96984,8.51109,-2.29101,-4.819997656505302,-0.31452787634797746,-7.541600812239024,-6.5626596537280975,-1.5131540923969697,9.10231469513952,0.5613821042902508,8.563911679364061
UBS Global Allocation B,-1.51215,5.95197,21.26957,-0.4564,,,,,,,,
UBS Global Allocation A Load Waived,-4.13209,4.80089,9.38535,-1.50469,-4.0772741439200395,-0.2661211087144873,-6.687501496323577,-5.81942711459148,-1.3505665757625773,9.96165108388552,0.6149749297728505,9.523407745550356
MainStay Balanced A Load Waived,3.74895,7.95033,12.15873,1.70732,1.7687111773881208,0.2368822827643956,-3.4193201230167567,-2.975473612722357,-0.5473763027919645,17.638819609058583,1.0937643286141,17.986008590050147
MainStay Balanced R3,3.35284,7.56452,11.76388,1.38622,1.4221312525403849,0.1905033954544127,-3.798751593853101,-3.3056527970901084,-0.608434060258887,17.103091648542748,1.0603534600996507,17.381538468014778
MainStay Balanced Inv,3.55093,7.74316,11.94205,,1.5473480981641323,0.2077960241322357,-3.6347295207974426,-3.1629216889391354,-0.5847663650220132,17.293718165495513,1.0722419519512683,17.592468484022103
MainStay Balanced I,3.96733,8.20805,12.44234,1.99627,2.0199064488758354,0.2673698885194713,-3.1361680274595294,-2.729076212535597,-0.5018254911727088,18.016526625490304,1.1173201636517824,18.421685242429415
MainStay Balanced S,24.02228,,,,,,,,,,,
MainStay Balanced C,2.76912,6.9324,11.10177,0.78466,0.8300968465457874,0.11049891275502499,-4.463779681740387,-3.8843565908378674,-0.7127943513306704,16.18544581505986,1.0031241449528212,16.356835801021056
MainStay Balanced A,3.74895,7.95033,12.15873,1.70732,1.7687111773881208,0.2368822827643956,-3.4193201230167567,-2.975473612722357,-0.5473763027919645,17.638819609058583,1.0937643286141,17.986008590050147
MainStay Balanced B,2.76807,6.92961,11.09677,0.7843,0.8166755583565228,0.10985311167946477,-4.468515873095846,-3.888477998572726,-0.7155103112208462,16.17115083702248,1.0022326334641098,16.332914696305078
MainStay Balanced R1,3.90542,8.10848,12.32688,1.89184,1.9292527356219393,0.25590835693081804,-3.2331809090340826,-2.8134962898709093,-0.5177449527976963,17.877485227458326,1.1086487964466087,18.26249721188831
MainStay Balanced R2,3.64464,7.84385,12.04346,1.63641,1.6794274905364461,0.2237768894664892,-3.5157077347861545,-3.05934958370343,-0.5627033895368623,17.496649801960945,1.084897857043174,17.82909133601625
Fidelity Advisor Global Balanced A,-0.52339,7.73603,10.06984,,-2.07421566705074,-0.15475571789625425,-5.876578263479072,-5.113766166080024,-1.0769628489714809,11.915304290361085,0.736815220396356,11.815246588402038
Fidelity Advisor Global Balanced B,-1.31148,6.90846,9.2137,,-2.8634273611466354,-0.21253964678564455,-6.714237712652915,-5.842692823366901,-1.2300711952481,10.921528975666524,0.6748380625489377,10.693265849437232
Fidelity Advisor Global Balanced C,-1.28905,6.93508,9.24465,,-2.8362901503207305,-0.2098910506944933,-6.687754073721663,-5.8196469060576845,-1.2229847276065753,10.951746425368178,0.676722584756537,10.730496664870843
Fidelity Advisor Global Balanced T,-0.73015,7.4916,9.81775,,-2.291172364497806,-0.16974980641327514,-6.109229369105517,-5.316217881876517,-1.1162849185022252,11.635602637215353,0.7193715253771003,11.50434278662363
Fidelity Advisor Global Balanced I,-0.24007,8.04723,10.39389,,-1.7726168306993801,-0.13120415003632188,-5.547602190274592,-4.827492991934146,-1.0131508449470652,12.287711088982638,0.7600405054284295,12.246669320291472
Fidelity Advisor Global Balanced A LW,-0.52339,7.73603,10.06984,,-2.07421566705074,-0.15475571789625425,-5.876578263479072,-5.113766166080024,-1.0769628489714809,11.915304290361085,0.736815220396356,11.815246588402038
Fidelity Global Balanced,-0.17704,8.07494,10.41853,2.93144,-1.7562710319186494,-0.13002486348473755,-5.542710525518736,-4.823236292099164,-1.0104780835764116,12.30460784711697,0.7610942778763021,12.267706453938619
Schwab MarketTrack Growth Investor,2.24792,8.4074,12.14556,-0.11621,-2.080675875833984,-0.3482041148079198,-3.938175917050856,-3.4269790782575527,-1.5954981254527614,12.794619251115627,0.7916540167665703,12.24423937356992
Greenspring,1.49403,4.10099,7.2474,2.4586,-0.3487229444046971,-0.031986260543621,-7.878215848953807,-6.855580212013446,-0.9008644897378583,13.508344621988137,0.8361657583204127,14.156794984545519
JHancock Balanced B,3.84726,6.11071,9.13044,2.94008,-2.1996518653118122,-0.20508908881740173,-6.513346324431302,-5.667878239422874,-1.1985391471194615,11.768609869611879,0.7276665696544089,11.538486998074905
JHancock Balanced A,4.58714,6.82401,9.89524,3.66174,-1.5040063123580358,-0.14132879506287863,-5.749138879392834,-5.002869113178276,-1.062602940850753,12.712787883149467,0.7865505738310133,12.586487288686717
JHancock Balanced R6,,,,,-1.3933223532220205,-0.1311520917970872,-5.620975497005842,-4.891342040927061,-1.0408438986217377,12.864819436083387,0.7960320767569234,12.754897831428805
JHancock Balanced R2,,,,,-1.502446705691498,-0.1411862562813217,-5.747866692712144,-5.001762063307935,-1.062300859643284,12.714790227934598,0.7866754507895954,12.588765069577274
JHancock Balanced I,4.99506,7.27274,10.34975,4.0971,-1.0515291799647293,-0.09709017299038353,-5.282838402740264,-4.597096996510997,-0.9671677086904106,13.300031466213573,0.8231742328254349,13.263786810523843
JHancock Balanced C,3.84508,6.10704,9.12403,2.95243,-2.1545769948200335,-0.19995940658732406,-6.4900754828190355,-5.647628080715295,-1.1875336135077474,11.816820353125674,0.7306732339400409,11.59855366234021
JHancock Balanced A Load Waived,4.58714,6.82401,9.89524,3.66174,-1.5040063123580358,-0.14132879506287863,-5.749138879392834,-5.002869113178276,-1.062602940850753,12.712787883149467,0.7865505738310133,12.586487288686717
JHancock Balanced R,,,,,,,,,,,,
JHancock Balanced R1,4.25903,6.56308,9.56034,,-1.7822020954416078,-0.1650186746685067,-6.0602345536014735,-5.273582862209536,-1.1132810980871601,12.324824480677455,0.7623550955589257,12.164643002520389
JHancock Balanced R2(obs),,,,,,,,,,,,
JHancock Balanced R3,4.37595,6.67189,9.65391,,-1.669043934747259,-0.1557393887161674,-5.959426023348335,-5.1858598322169875,-1.0933559162281332,12.476533970961967,0.7718165129309243,12.330905996712797
JHancock Balanced R4,4.70568,6.97089,9.99331,,-1.3977078810289387,-0.12895099308530442,-5.647523412973165,-4.914443891760456,-1.0356926826561992,12.837107902128235,0.7943038368935088,12.742098268621321
JHancock Balanced R5,5.01311,7.29868,10.31403,,-1.0955282652378289,-0.10228913367890344,-5.332335910980902,-4.640169456639587,-0.9792362260553403,13.249985566168888,0.8200531021223254,13.198331757555405
DWS Lifecycle Long Range S,2.03136,6.77762,10.70312,-0.18447,-0.466907694553373,-0.0666500426658912,-5.0380229963221,-4.38405997289869,-0.9405567657574496,14.321047707236547,0.8868502809209822,14.172320938003669
DWS Lifecycle Long Range Inst,2.20778,7.04877,10.98087,0.07786,-0.18199383726955132,-0.025800397576358127,-4.766866453957874,-4.148101037293117,-0.8824205429597152,14.721391560840463,0.911817870517107,14.622967572063615
Columbia Strategic Allocation A LW,3.23121,8.19796,11.41677,-0.73058,-0.8328251272610427,-0.10555927251327614,-4.200264603500269,-3.6550472153921487,-0.9901429218531449,13.929342797929326,0.862421462218433,13.68856053680981
Columbia Strategic Allocation I,1.26238,10.1251,10.9525,-0.6375,-0.42501531154343564,-0.05463758006537623,-3.7002752001512373,-3.2199591795304294,-0.8855925548850772,14.457505113158724,0.8953604965212634,14.269595898278421
Columbia Strategic Allocation R,3.09752,7.91772,11.11391,-0.93981,-1.1653472559894404,-0.1478457950346734,-4.540434124490854,-3.9510608663944735,-1.076474715310072,13.511940865751995,0.8363900393667566,13.22097943535798
RiverSource Strategic Allocation R3,4.80149,-3.55935,-5.9212,,,,,,,,,
