Company Name,Exchange:Ticker,Market Cap Class,"Market Capitalization [Latest] ($USDmm, Historical rate)",Enterprise Value,Invested Capital including capitalized R&D,Adjusted Net Income,Adjusted EBIT,Total Debt including leases,PE,Non-cash PE,EV/Sales,EV/EBIT,EV/Invested Capital,EV/EBITDA,Capitalized R&D,EV/EBITDAR&D,Only +Taxable Income,Missing Taxable Income,Only +'ve Taxes,Operating Margin,Net Margin,Pre-tax ROIC,ROE,Only +ve Net Income,Only +'ve Mkt Cap,Capitalized leases,Turnover Ratio,Coefficient of variation in operatingincome,Coefficient of variation in net income
Volkswagen AG (XTRA:VOW3),XTRA:VOW3,1,63823.9,179981.27001301653,255765.06,13269.88,15369.58,133399.3700130165,5.208413579239432,4.113591607131819,0.7606329378744037,11.710226955649832,0.7036976435053972,7.1924323746295125,38212.26,4.678678344121838,16354.2,1,4082.4,0.0649545854879799,0.05608087890984885,0.060092570892990624,0.051883083639336816,12254,63823.9,5719.070013016508,1.413263683353728,0.5863307282988421,0.8482561794502836
Toyota Motor Corporation (TSE:7203),TSE:7203,1,197069.1,337401.2520709931,312133.3,18042.5,22800.3,161349.85207099316,10.798366018443936,10.361450179506797,1.4826438247981724,14.798105817510873,1.0809524394577352,9.622193477551429,24589.3,7.796011711788782,26740.6,1,7370.8,0.10019145984506561,0.0792842381132966,0.07304667589135795,0.0578038293254837,18249.9,197069.1,539.3520709931607,0.8892819828171945,0.8179951108480625,0.8299964684453384
Daimler AG (XTRA:DAI),XTRA:DAI,1,87819.3,185391.3188421769,170369.3,8621.46,12124.66,107398.81884217692,9.778016545488962,8.864194303639216,1.1834626575290446,15.290434440403022,1.0881732732492115,11.015592418384951,19958.800000000003,7.926228701738246,13382.3,1,3992.2,0.07739889027625635,0.05503588855779321,0.07116692972266718,0.05060453966765139,8981.3,87819.3,2215.8188421769128,0.846055479831882,0.45185227181239723,0.727727450060228
General Motors Company (NYSE:GM),NYSE:GM,1,51784,91096.06204770772,95740,5640,7031,54839.06204770772,9.381159420289855,6.94179590273789,0.5963189105267452,12.956345050164659,0.9514942766629174,7.038793235026095,22080,4.478225447237622,7311,1,1812,0.04602524154905606,0.03691969312141604,0.07343847921453937,0.05890954668894924,5520,51784,1322.0620477077193,2.23138421133941,48.24452929970832,5.226885513372717
Ford Motor Co. (NYSE:F),NYSE:F,1,60459.2,178646.9955555562,164244,3996,4509,124317.7955555562,16.358008658008657,15.93699031974186,1.258493977271042,39.620092161356446,1.0876926740432296,15.227326590142875,20400,9.588181384475966,5238,1,1545,0.03176403457482406,0.02815016237768839,0.027453057645941404,0.024329655877840285,3696,60459.2,791.7955555561981,1.76441302564374,4.141570025247816,6.011217928566996
Fiat Chrysler Automobiles N.V. (BIT:FCA),BIT:FCA,2,20235.2,33751.70107904852,38508.56,1065.1799999999998,4751.780000000001,36821.40107904852,18.537193111029683,-3.8118713522910728,0.28515246717573484,7.102959539172377,0.8764726876063017,3.5856095312966527,9087.16,2.7006762215681954,2061.8,1,911.2,0.04014558517518463,0.008999211751575862,0.12339542169325472,0.02766086293540968,1091.6,20235.2,844.8010790485214,4.704673044990907,0.5007548526907084,1.0225770561211436
"Honda Motor Co., Ltd. (TSE:7267)",TSE:7267,1,60004.5,104009.58579119107,121469.3,3689.539999999999,5021.439999999999,57504.085791191086,13.36819943857773,11.027316055296042,0.9057141445681846,20.713099388062208,0.8562623295860853,11.426360137893687,15920,7.388618724954967,6959.6,1,1977.1,0.04372663538177121,0.03212846719396431,0.04133916965027376,0.030374259174952015,4488.6,60004.5,662.6857911910814,0.8011899107566932,0.4383047559723065,0.4599911992863048
Bayerische Motoren Werke Aktiengesellschaft (DB:BMW),DB:BMW,1,64463.1,159286.77158694793,150337,5961.719999999999,9883.32,100814.17158694794,9.912977287056544,9.30914474941094,1.6415427412325054,16.11672713085764,1.0595313967083813,11.223068850892561,14394.8,8.451706218433356,9741,1,3216.9,0.10185335570331468,0.06143898889882804,0.0657411016582744,0.03965570684528758,6502.9,64463.1,1819.9715869479405,0.0031723575192629584,0.5960425046003991,0.5956033393764264
Nissan Motor Co. Ltd. (TSE:7201),TSE:7201,1,42603.9,93813.94841303723,107439.5,3659.540000000001,4987.640000000001,57310.54841303722,10.457767740985297,9.600347158298923,0.971591375177742,18.809286238188243,0.8731793094070358,7.807938978380487,12833.999999999998,5.807546732845351,6165.9,1,1836.2,0.05165487742991188,0.037900307590335254,0.046422777470111094,0.034061401998333955,4073.9,42603.9,327.34841303722703,1.0069500679515255,0.440053140283463,0.664638322795724
AUDI AG (DB:NSU),DB:NSU,2,32944.5,25761.90739210313,27742.86,4785.5599999999995,5432.76,2635.3073921031296,6.624007238363325,4.793872559180797,0.4065989692485441,4.741955726390109,0.9285959483666475,3.3906615501787507,12926.960000000001,2.1691680468915777,6729,1,1676.4,0.08574499483108296,0.0755302677577948,0.19582552051230478,0.1724969956233784,4973.5,32944.5,576.8073921031295,0.00033389488381975745,0.4399401957980924,0.5110962386766308
