Company Name,Exchange:Ticker,Industry Classifications,"Market Capitalization [My Setting] [Latest] ($USDmm, Historical rate)",Price to Book,Return on Equity,Tier 1 Capital/ Risk Adjusted Assets,Tier 1 Capital / Total Assets,Change in Market Cap (from start of 2008),Change in Market Cap (from start of 2009),Change in Common Equity (from start of 2009),Change in Tier 1 Capital (from start of 2009),Dividends Paid (since 2009),Buybacks since 2009,Net Income (since 2009),Cash Return/ Net Income
JPMorgan Chase & Co. (NYSE:JPM),NYSE:JPM,Diversified Banks (Primary),240201.5,1.08,0.1082,0.135,0.9051,93579.2,122520.3,86560,64378,34916,28680,133431,0.4766
Industrial and Commercial Bank of China Limited (SEHK:1398),SEHK:1398,Diversified Banks (Primary),234037.8,0.89,0.159,0.1348,1.0415,-104907.3,60124.9,175079,199509,81257.1,0,245734.2,0.3307
Wells Fargo & Company (NYSE:WFC),NYSE:WFC,Diversified Banks (Primary),221146.3,1.28,0.1301,0.1303,0.9562,119877.7,111223.7,103839, NA ,38862,30112,127232,0.5421
China Construction Bank Corporation (SEHK:939),SEHK:939,Diversified Banks (Primary),187851.4,0.86,0.1586,0.1332,1.0095,-2604,59586.6,149562,156711,62709.3,0,201258.8,0.3116
Bank of America Corporation (NYSE:BAC),NYSE:BAC,Diversified Banks (Primary),159501,0.68,0.0623,0.1128,0.7728,-23624,88853.5,94581,59964,17829,7269,41824,0.6001
Agricultural Bank of China Limited (SEHK:1288),SEHK:1288,Diversified Banks (Primary),151326.2,0.87,0.1568,0.1096,1.0658, NA , NA ,131514,145476,39775.3,0,150747.7,0.2639
HSBC Holdings plc (LSE:HSBA),LSE:HSBA,Diversified Banks (Primary),149772.6,0.86,0.0624,0.139,0.8844,-45011.8,34841.5,81890,57967,42141,741,93231,0.46
Bank of China Limited (SEHK:3988),SEHK:3988,Diversified Banks (Primary),144771.5,0.78,0.1403,0.1207,1.0666,-52968.4,46585.9,117601,135162,49914.1,0,149369.7,0.3342
Citigroup Inc. (NYSE:C),NYSE:C,Diversified Banks (Primary),136639.6,0.67,0.0737,0.1481,0.86,-10005,100794.8,134173,57662,5696,10274,65815,0.2426
Commonwealth Bank of Australia (ASX:CBA),ASX:CBA,Diversified Banks (Primary),96540.9,2.15,0.1533,0.123,0.8064,29469.3,67059.4,19486,17364,27773.8,2034.7,46316.2,0.6436
The Toronto-Dominion Bank (TSX:TD),TSX:TD,Diversified Banks (Primary),82331.1,1.72,0.1338,0.1135,0.6922,31722.6,52370.2,23331,16107,14883.4,22139.3,38889.3,0.952
Westpac Banking Corporation (ASX:WBC),ASX:WBC,Diversified Banks (Primary),76699.5,2.05,0.1669,0.1138,0.7684,31151.6,42620.2,23474, NA ,25344,630.2,41720.7,0.6226
U.S. Bancorp (NYSE:USB),NYSE:USB,Diversified Banks (Primary),73014,1.8,0.1445,0.1469,0.9459,18209.7,29132,22261,14005,10076,9046,33607,0.569
"Mitsubishi UFJ Financial Group, Inc. (TSE:8306)",TSE:8306,Diversified Banks (Primary),69062.9,0.54,0.0547,0.1324,1.0398,-28990.3,4677.1,68462,55509,3952,3191.1,47679.4,0.1498
Itaú Unibanco Holding S.A. (BOVESPA:ITUB4),BOVESPA:ITUB4,Diversified Banks (Primary),68922,2.43,0.2858,0.1398,0.8998,9325.6,32092.2,9480,5613,16191.9,1895.2,49372,0.3663
"China Merchants Bank Co., Ltd. (SHSE:600036)",SHSE:600036,Diversified Banks (Primary),67243.2,1.21,0.1623,0.1083,0.963,-8938,40847,43920, NA ,10716.7,0,46020.8,0.2329
The Bank of Nova Scotia (TSX:BNS),TSX:BNS,Diversified Banks (Primary),63716.9,1.7,0.1424,0.1228,0.9129,13613.3,36401.1,22006,15040,17449.3,1011.2,36113.3,0.5112
BNP Paribas SA (ENXTPA:BNP),ENXTPA:BNP,Diversified Banks (Primary),63706.6,0.61,0.0729,0.1221,0.7983,-34357.2,25550.1,30178,25062,15890.2,4128.4,49484.6,0.4045
"Banco Santander, S.A. (BME:SAN)",BME:SAN,Diversified Banks (Primary),63671.2,0.67,0.0536,0.1255,0.8346,-66773.9,-9371.1,15150, NA ,21877.8,56715.4,52989,1.4832
Australia & New Zealand Banking Group Limited (ASX:ANZ),ASX:ANZ,Diversified Banks (Primary),62528.9,1.55,0.1284,0.1132,0.7945,17617.1,39570.4,20017,15214,15682.9,1052.4,36384.8,0.46
"Bank of Communications Co., Ltd. (SEHK:3328)",SEHK:3328,Diversified Banks (Primary),59495.7,0.74,0.1256,0.1146,1.0259,-28128,24848.8,58813,62795,16606.3,0,58892.5,0.282
"Shanghai Pudong Development Bank Co., Ltd. (SHSE:600000)",SHSE:600000,Diversified Banks (Primary),53451.8,1.22,0.1831,0.0945,1.1156,21975.4,42459.3,37828,43467,7926,0,36793,0.2154
Sberbank of Russia OJSC (MISX:SBER),MISX:SBER,Diversified Banks (Primary),51432.1,1.56,0.1904,0.0891,0.9392, NA , NA ,7724,6855,5728.2,2169.5,46986.3,0.1681
"Postal Savings Bank of China Co., Ltd. (SEHK:1658)",SEHK:1658,Diversified Banks (Primary),50052.2,1.2,0.1341,0.0853,0.9947, NA , NA , NA , NA ,544.1,0,25467.8,0.0214
Lloyds Banking Group plc (LSE:LLOY),LSE:LLOY,Diversified Banks (Primary),49956.1,0.73,0.0344,0.164,0.7844,-2772.9,39024,55020,33930,2606.3,0,-866.7,-3.0072
Banco Bradesco S.A. (BOVESPA:BBDC4),BOVESPA:BBDC4,Diversified Banks (Primary),49851,2.18,0.2408,0.1266,0.8537,-11766,21846.5,8125,3146,11755.8,289.14,37717.1,0.3193
HDFC Bank Limited (NSEI:HDFCBANK),NSEI:HDFCBANK,Diversified Banks (Primary),49236.3,4.39,0.1723,0.1322,0.9425,35387,40490,8234,7850,1383.4,0,8307.5,0.1665
China Minsheng Banking Corp. Ltd. (SHSE:600016),SHSE:600016,Diversified Banks (Primary),49024,1.06,0.151,0.0919,1.0204,19656.8,37797.5,38499,39913,8273.2,0,36162.5,0.2288
ING Groep N.V. (ENXTAM:INGA),ENXTAM:INGA,Diversified Banks (Primary),47256.3,0.91,0.0948,0.1445,0.9703, NA , NA ,16904,5666,2493.2,17681.7,26338.9,0.766
"Sumitomo Mitsui Financial Group, Inc. (TSE:8316)",TSE:8316,Diversified Banks (Primary),46191.1,0.58,0.0691,0.1368,1.0129,-10364.3, NA ,54396,36569,2425.1,5.36,38357.7,0.0634
"Industrial Bank Co., Ltd. (SHSE:601166)",SHSE:601166,Diversified Banks (Primary),45621.9,1.03,0.1762,0.0919,1.0945,10134.4,34924.3,37136,41736,9079.7,0,36510.7,0.2487
"Japan Post Bank Co., Ltd. (TSE:7182)",TSE:7182,Diversified Banks (Primary),44398.6,0.43,0.0298,0.2638,0.7385, NA , NA ,19754,-6747,0,0,24599,0
"The PNC Financial Services Group, Inc. (NYSE:PNC)",NYSE:PNC,Regional Banks (Primary),43932,1.06,0.0958,0.12,0.861,21577.1,26882,23754,11235,6462,4033,24407,0.43
"Mizuho Financial Group, Inc. (TSE:8411)",TSE:8411,Diversified Banks (Primary),42883.3,0.59,0.0864,0.1264,0.9675,-11458.4, NA , NA , NA ,3049.7,0.09,30009,0.1016
Bank of Montreal (TSX:BMO),TSX:BMO,Diversified Banks (Primary),42139.2,1.52,0.1244,0.123,0.813,13666.8,28379.9,14311,7017,10331.7,1063.9,22605.3,0.5041
Nordea Bank AB (publ) (OM:NDA SEK),OM:NDA SEK,Diversified Banks (Primary),40802,1.21,0.1122,0.1195,0.8545,-2454.1,22679.5,8934,6776,11693.9,203.4,26705.9,0.4455
China CITIC Bank Corporation Ltd. (SEHK:998),SEHK:998,Diversified Banks (Primary),40473.4,0.83,0.1296,0.0917,1.0008,-4462.4,21168.7,31447,35497,5565.3,0,34597.9,0.1609
"Banco Bilbao Vizcaya Argentaria, S.A. (BME:BBVA)",BME:BBVA,Diversified Banks (Primary),38255.5,0.74,0.0371,0.1209,1.0264,-54100.5,-7069.1,15512, NA ,10601.9,45446.4,27230.6,2.0583
Barclays PLC (LSE:BARC),LSE:BARC,Diversified Banks (Primary),36564.2,0.41,-0.0076,0.1469,0.88,-28996.4,17853.1,34851,23347,11903.7,7683.1,25139.1,0.7791
Intesa Sanpaolo S.p.A. (BIT:ISP),BIT:ISP,Diversified Banks (Primary),36154.1,0.7,0.0523,0.1379,0.8207,-61775.7,-8656.9,-16517, NA ,5231.7,152.58,-2653.2,-2.0294
BOC Hong Kong (Holdings) Limited (SEHK:2388),SEHK:2388,Diversified Banks (Primary),35782.1,1.44,0.2912,0.1289,0.6317,6157.6,23804.5,14175,7486,9442.1,0,18707.7,0.5047
Qatar National Bank S.A.Q. (DSM:QNBK),DSM:QNBK,Diversified Banks (Primary),35530.2,2.12,0.1952,0.163,0.8495,24643.8,24207.9,12209,10636,5998,0,15639.3,0.3835
Hang Seng Bank Limited (SEHK:11),SEHK:11,Diversified Banks (Primary),34385.4,1.88,0.1087,0.1909,0.685,-5062,9297.7,11659,9180,9479.4,0,17220.5,0.5505
