Company,Risk Characteristics,Investment Performance,Capital Structure,Dividend Policy,Valuation
,Approach,ROE - COE,Current Debt ratio,Dividends,Value/share
Abercrobie & Fitch,R,0.3978,0,223.43,54.65
Abercrombie & Fitch,B,0.264,0.1496,52.218,63.43
AirAsia,B,0.15713,0.2473,0,0.48
Allume Systems,B,0.111,0.1801,450,69.08
Altria,B,0.2807,0.1225,5697.04,117.21
Amazon,B,,0.1145,0,31.49
Amazon,B,0.13999,0.0578,0,15.78
Amazon,B,3.3666,0.0967,0,3.49
Amazon.com,B,2.7826,0.0985,0,45.06
Anheuser Busch,B,0.2354,0.1903,719.63,37.09
Apple,B,0.0503,0.0116,23.1,80.14
Apple,B,0.0717,0.0088,0,81.77
Apple,B,0.059,0.0104,26,69.89
Applebee's,R ,0.104,0.2004,68.3,31.26
Applied Material,B,-0.0401,0.0247,634,11.21
Aramark,B,0.0902,0.2769,222.11,33.65
Aramark,B,0.0857,0.3741,15.51,30.02
Aramark,B,0.16077190347938827,0.3632,25.61,25.09
Ark Restaurant Corporation,B,0.0446,0.2912,1472340,11.98
ASML Holding NV,B,0.127,0.1,0,13.15
Baidu,B,,0,0,87.99
Baidu,B,-0.1701,0.0038,0,61.89
Barnes & Noble,R,0.0251,0.3809,75.81,26.51
Barns & Noble ,B,-0.015,0.3906,75.8,42.96
Barrick Gold Corp,R,-0.0152,0.12,118,34.5
Benihana,B,0.0308,0.1716,23600000,25.89
Berry Petroleum Co.,R,0.2979,0.06,13.2,39.25
Best Buy,B,0.1742,0.1683,372.5,47.63
Best Buy,B,0.13979999999999998,0.1733,188.89,40.22
Best Buy,B,0.1183,0.1579,188.99,39.99
BHP Billiton Ltd,R,0.3415,0.12,2160,23.81
Billabong,B,0.1607,0.082,38.79,7.38
Bluefly.com,B,-0.796,0.104,0,0.47
Boston Beer,B,0.13450159292993083,0.0027,8.75,28.85
BSkyB,B,2.8268,0.1922,598,11.82
Car Parking ,B,-0.09031050503993097,0.6977680546494438,6.134,35.72192515474218
Carnival Corp.,B,0.0398,0.1775,736,27.28
Carnival Corporation & plc,B,0.012,0.14,0,45.55
Carnival Cruises,R,0.0238,0.1803,201,40.9
CCE,B,0.0071,0.4918,145,13.42
Cedar Fair,B,0.3077571254881642,0.2084,81.8,21.40903509750848
Cemex,B,0.1361604671252999,0.11512114274558263,29.907999999999994,30.069430833047413
Charter Comm.,B,-0.5705,0.92,0,-33.84
Cheesecake,R,0.05900000000000001,0.1757,4.7,25.45
