Company,Risk Characteristics,Investment Performance,Capital Structure,Dividend Policy,Valuation
,Approach,ROE - COE,Current Debt ratio,Dividends,Value/share
7 Eleven,R,0.11069999999999999,0.5066,0,27.39
Abercrombie & Fitch,B,0.1573,0.128,53,51.08
Abercrombie & Fitch,B,0.28,0.177,481,39.82
Abercrombie and Fitch,B,0.2149,0.0003,138891,60.94
Abercrombie and Fitch1,B,0.1977,0.1792,435,55.75
Activision,B,-0.0312,0,26,14.61
Activision,B,0.0718,0.0126,29.814,12
Activision,B,0.0042,0.0136,0,11.81
adidas-Salomon,B,0.1533,0.221,32.38,123.72
Alaska Air,B,-0.19289999999999996,0.7153,0,26.9
Albertsons,R,0.0233,0.5685,411.17,20.59
Albertsons,B,-0.0085,0.6097,579,19.81
Albertson's,B,0.0423,0.4234,766,17.76
Alliance Gaming,B,-0.0016,0.4251,0,10.49
Allied Domecq PLC,B,0.45669000000000004,0.2318,252.36,6.66
Allied Domecq PLC,B,0.45669000000000004,0.2318,252.36,6.66
Alltel,B,0.007971984627151874,0.2707891836907688,467.6,55.4
AMD,B,-0.1775,0.2564,0,12.79
Amdocs,B,0.0361,0.0735,146,31.32
Amerada Hess,B,0.0805,0.3547,104,131.19
Amerada Hess,B,-0.054660799999999996,0.611945511701013,182.4,74.5
American Airlines,B,not meaningful*,0.8664720955296678,0,10.06
Amgen,B,0.018,0.0627,0,56.33
Amgen,B,0.0058,0.075,1224.09,53.5
Anheuser-Busch,B,0.764,0.1855,1733,56.38
Anheuser-Busch,B,0.760428710993104,0.1955087086414997,2219.68,45
Anheuser-Busch,B,0.62,0.1906876524200744,1733,54.35
Anheuser-Busch,B,0.7493,0.22558126871766948,742.8,52.59
Ann Taylor,B,-0.046,0.3983,44.79,26.68
Apple,B,-0.1113,0.0139,0,34.9
Apple,B,-0.066,0.017,0,28.26
Apple Computer,B,-0.0754,0.0141,28.9,13.29
Apple Computer,B,0.111,0.0158,0,26.77
Applera Corporation,B,-0.0838,1e-05,118.3622,5.53
APT Sattelite,B,-0.4206,0.6002,33.99,1.5
Arden,B,0.1233,0.2885,16.17,
Arris Systems,B,-0.062400000000000004,0.1379,0,12.82
Asur,B,-0.0323,0,14.3,42.91
Atari,B,-0.0322,0.0522,4.28,2.82
Avaya,R,N/A,0.2001,0,9.29
Aztar,B,0.11109999999999999,0.399,0,30.85
BAA,B,-0.028037525008343,0.4486458776883249,145,3.43
Barnes & Noble,B,0.0021,0.5414,37.42,25.27171124917918
Barnes and Noble,B,0.0034,0.4315,106,36.56
Baxter,B,0.0214,0.1593,809,36.4
Baxter International,B,-0.0053,0.1597,686,33.02
bebe,B,0.0789,0.0874,-,14.12
bebe clothing inc.,B,0.0689,0.0875,0,16.98
"bebe stores, inc.",B,0.0736,0.1257,2.005,12.25
Bed Bath & Beyond,B,0.1414,0.1551,350,50.49
Benihana,B,0.0172,0.3813,0.01,18.6
Best Buy,B,0.11243488679736047,0.2064467911487443,125.49,55.353317131421534
Best Buy,B,0.1626,0.212,125.49,56.90195443624494
Best Buy,B,0.15266799999999997,0.204,33,54.4
Boston Beer,B,0.11573359999999999,0.0039,12.99,20.34
Boston Beer Co,B,0.12,0.007580583913340929,7.47,21.4
Boston Beer Company,B,0.0911,0.0152,0,37.28
British Airways,B,0.139,0.6423,144.9,2.92
Brown Forman Corp.,B,0.2109832,0.10120416723041536,207.4,55.83
Brown-Forman,B,0.22,0.09566131113125202,144.5,46.86
BSkyB,B,0.105,0.117,23.2,5.2
BSkyB,B,N/A,0.2045,102.6,7.54
Burberry,B,0.141,0.0083,7.43,3.81
Cablevision,B,N/A,0.4369,9.91,20.48
