Company,Power,Risk Characteristics,Investment Performance,Capital Structure,Dividend Policy,Valuation
,,Approach,ROE - COE,Current Debt ratio,Dividends,Value/share
A&F,1,B,0.0129,0.4088,264.56,74.53
Activision,0,B,-0.1396,0.0067,0,2.4
Adidas,2,B,0.1049,0.34,71.09,39.42
Aeropostale,2,B,0.3132,0.2822,91046600,37.43
Allegient,1,B,0.0715,0.08092434522509463,16.7,79.7
Amazon,0,B,0.1247,0.024,0,38.12
Amazon,1,B,0.1349,0.169,0,54.73
Amazon ,0,B,0.2348,0.0332,60,64.2
Ambassadors Group Inc.,1,B,0.169,0.001,20.82,16.39
AmBev,2,B,-0.0009736945665110297,0.13535778654107755,3545,19.88
America Service Group,1,B,0.029,0.042,0,15.14
American Apparel,0,B,-0.0458,0.6168,0,2.77
American Apparel,0,B,0.0278,0.4468,0,10.61
American Eagle,0,B,0.0111,0.3128,211.1,21.43
American Italian Pasta,7,B,0.0448,0.2896723118095823,0.047,35.545915196503216
Anadarko ,1,B,0.0599,0.4829,445.3,57.06
Ann Taylor,0,B,-0.7834,0.7283,175.65,27
"Apollo Group, Inc",0,B,0.546,0.0494,0,76.2
APP,0,B,0.1054,0.4405,0,2.85
Apple,1,B,0.1585,0.0136,96.4,138.61
Apple,1,B,0.1797,0.0127,0,145.82
Apple,1,B,0.1962,0.0128,0,146.9
Apple,1,B,0.1522,0.0135,0,135.86
Apple Inc.,0,B,0.1799,0.014,0,118.59
Ark Restaurants Corp.,1,B,2.3,0.5463,6.6602,27.53
ASH,0,R,-0.2539,0.1473,75.8,31.51
Assisted Living Concepts,0,B,-0.07339999999999999,0.5312005023823375,0,10.968960653520181
Atmos Energy,1,B,0.005,0.5335,92.1,23.12
Avon,1,B,1.1185,0.22,519,48.03
Avon,1,B,1.126,0.2096,330.3,32.25
Bang & Olufsen,2,B,-0.0542,0.5919,227.91,314.42
Barnes & Noble,1,B,-0.0373,0.45,51.581,67.53
Beacon,1,B,0.014794278554264073,0.4080532899828174,0,14.92
Berry Petroleum,1,R,0.0404,0.5437,975.6,47.52
Bharti Airtel,1,B,0.395,0.1065,0,1004
BMW,1,B,-0.11860000000000001,0.78,704,24.2
Boston Beer,0,B,0.077,0.0153,11.51,28.18
Boston Beer,0,B,0.0321,0.0178,39.233000000000004,13.73
Boston Beer,2,R,0.0889,0.0162,0,33.56
Boston Beer ,0,B,0.0907,0.15,8,49.85
Boston Beer (SAM),0,B,0.0243,0.0178,11.4,19.18
Boston Beer Company,0,R,-0.0056,0.015,11,14.65
Boston Beer Company,0,B,0.0702,0.0166,0,30.1
Boston Beer Company,0,R,0.0061,0.0177,0,18.65
Boston Beer Company,1,B,-0.0015,0.0319,0,6.06
Bowl America,0,B,0.0234,0.0136,2.96,9.81
BP,2, AA,0.1172,0.2545657845695118,15069.833333333334,7.6
British Airways,2,B,0.147,0.6907,3,5.47
British American Tobacco,1,B,0.2821,0.261,1667,23.6
British Sky,0,B,,0.3199,179000000,4.86
Burberry,0,B,0.209,0.2201,105.58,5.4
Burberry,0,B,0.2412,0.0958,47.4,5.07
Cal-Maine,0,B,0.6292738220827175,0.1439,19,40.83
Capital Senior Living,1,B,-0.16333585470659837,0.7609922488123372,0,-1.61
Carnival,1,B,0.030299999999999994,0.31,83,34.58630589346636
Carnival Corp,2,B,-0.99,0.3082,1314,28.66
Carrefour,1,B,0.025,0.4371,740,36.77
Caterpillar,2,R,0.374,0.6074,953,87.46
CBD,0,B,-0.10093206709495689,0.3804188737194026,132.449,36.89781415888424
CenturyTel,0,B,-0.038,0.5468,567.4,34.4
Chesapeake Energy,1,B,-0.0708,0.52,58,19.11
Chevron Corporation,2,B,0.2321,0.0889,8661.2,277.62
Chipotle,4,B,-0.0013999999999999985,0.2264,10.08,81.97
Chipotle,1,B,0.006458061227205575,0.2609,30.3,19.43
Churchill Downs,1,B,1.08,0.1156,6.901,32.82
Churchill Downs,1,B,0.009,0.1344,6.6479,25.02
Cisco Systems,2,B,0.108,0.0711,0,17.27
Clinica Baviera,2,B,0.256,0.1534,10.01,13.68
CNOOC Ltd,2,B,0.22599999999999998,0.032,1259.56,149.36
Coach,1,B,0.37768031826311965,0.08410462626054024,695.6229999999999,45.05
Coach,2,B,0.4089,0.1076,481000000,36.44
Coach Inc,1,B,0.3716,0.0811,352.37,30.39
Coca Cola,0,B,0.1877,0.092,4600,73.41
Coca Cola,0,B,0.1735,0.0859,1764.94,40.74
Coca Cola Enterprises (CCE),2,B,-0.0783,0.5655,138,17.71
Coca-Cola,1,B,0.188,0.0961,2937.6,47.1
Colagate-Palmolive,0,B,0.827,0.1209,643,43.95
Comcast,1,B,-0.0477,0.465,54.7,17.85
Comcast,0,B,-0.0343,0.4767,547,12.52
ConAgra Foods,2,B,0.0499,0.61,555,24.5
Concha y Toro,0,B,0.0505,0.097,16.83,1.17
Conoco Phillips,2,B,-0.027,0.334,5752.4,106.86
