Risk Characteristics,Investment Performance,Capital Structure,Dividend Policy,Valuation
Approach,ROE - COE,Current Debt ratio,Dividends,Value/share
R,0.108,0.258,2735.2,87.4
B,-0.014999999999999993,0.01,774,12.54
B,0.1251,0.024,519.2,12.78
B,0.0139,0.009,196,15.26
B,0.10930000000000001,0.10727095227475236,1094,146.13
B,0.0786,0.066,267.4,251.18
B,-0.09416671695782562,0.1278,0,255.00187949050564
B,-0.0717,0.0637,412.33,334.3
B,-0.0593,0.07218711707163654,445.67,287.27
B,0.265,0.0133,5333.7,67.31
B,-1.112,0.6247,0,0.6305516011600933
B,0.043,0.28,180.67,71.5
B,-0.0574,0.3378,218.8,82.58
B,-0.0586,0.34481165673648556,339.51,89.52
B,0.213,0.0099,251.4,579.2
R,0.38928,0.01,2382,550.39
B,0.2602,0.0106,2382,695.63
B,-0.0139,0.3847,133.33,29.26
B,-0.0011,0.0916,R 959,228.66
B,0.267,0.007,0,47.9
B,0.2138,0.7571,0,16.35
B,0.4683999999999999,0.181,157,37.84
B,0.1378,0.199,210.8,40.45
B,0.115,0.2011,123.95,46.12
B,0.1502,0.0009,28.24,20.28
B,0.7487999999999999,0.193,1273,90.83
B,0.3219,0.3704,225.33,4.71
B,0.18159999999999998,0.005,171.2,120.23026254843836
B,0.379831800069322,0.004715675776375,29.7592,109.18
B,0.287,0.0081,171.25,384.42
B,0.3066,0.0765,294.76,55.96
B,0.0908,0.1895207630367015,0,109.15
B,0.1908,0.2152,0,101.56
B,0.2472,0.1059,110,16.82
B,0.2,0.1085,170.0314,30.26
B,-0.0338,0.2589,923.2,29.26
B,-0.0528,0.2634,1162.5,20.36
B,-0.0814,0.552,1082,34.25
B,0.1,0.0638,7793.1,179.8
B,0.10519999999999999,0.0878130557427882,8210.4,143.67
B,0.036000000000000004,0.6973,654.67,3.47
B,0.161,0.1789,52.15,146.5
B,0.1295,0.161,104.3,299.95
B,0.1739,0.17,540,207.52
B,0.162,0.13,0,365.2
T,0.208,0.0002,0,376.96
B,0.1626,0.15441656214860852,0,410.55
B,0.13890000000000002,0.15,0,269.83
B,-0.0565,0.2844,828.99,33.76
B,0.1804,0.1762,7146,27.3
B,-0.0173,0.5823,0,17.11
B,0.5665,0.2133,693.13,77.96
B,0.5220407932286787,0.07430031641316269,904,63.373825858142645
B,0.3094,0.0491,1054.22,76.34
B,0.4,0.0492,786.9,26.38
R,0.4038,0.083,6982,32.88
B,0.19390000000000002,0.157,6983,33.86
B,0.9368000000000001,0.0936,2121,103.25
R,0.001770174120707109,0.3513413473000247,3014.6,44.98916853846681
B,0.018740000000000007,0.4032,846.55,26.13
B,0.0129,0.3483,94,29.85
B,0.06400000000000002,0.2957,365.33,37.04
B,0.0572,0.08181732319296527,901,101.63
B,-0.0485,0.1654,0,7.59
B,0.2394,0.1749,61.91,29.25
B,0.2581,0.587,380.1,30.42
B,0.11760699999999999,0.2655447232233743,1477.1999999999998,12.98
B,-0.21889999999999998,0.5875,0,17.96
B,0.2424,0.1715,1036,12.88
B,0.2857,0.0921,1386.2446,44.22
B,0.0975,0.3363,32.3,42.44
B,0.0549,0.27,26756,28.16
R,,0.3663,60.321,68.98
B,-0.1827,0.3777,85.4125,24.9
B,-0.0734,0.12,104,12.32
B,0.011,0.48,1455,56.85
B,0.04079999999999999,0.3406358492708152,$70.10,33.88
R,0.05650000000000001,0.34,341.54,28.91
R,0.166,0.1543,970,47.96
B,-0.0349,0.0717,891,54.53
B,0.19036529012022999,0.0535,4850,61.5
B,0.1254,0.05,891,45.5
B,0.1773,0.06,805.33,52.58
R,0.6809000000000001,0.4,38.53,9.04
B,-0.047061227827632945,0.1212,127.9,32.53662504583885
B,-0.1144,0.1219,162.8,16.62
B,-0.0698,0.221,471,17.3
B,-0.06582206218447066,0.09733217685087592,173,24.103538214341846
R,0.2050057945548847,0.1044997105830879,528.6600000000001,64.50378521208863
B,0.2414,0.0888,169.8,67.27
B,0.418,0.19983181349426882,5.266666666666667,100.84516167292071
B,0.024,0.4401,1443.6,31.71
B,0.49543034738625674,0.15808687610160857,476.366666666667,64.0928573774841
B,-0.0890117812239827,0.0456,0,32.8
B,-0.121,0.21,0,46.01
B,0.1456,0.184,66.66666666666667,43.34
B,0.020183704987193005,0.11464667100926576,1242,87.5309206639391
B,0.031700000000000006,0.1704,36.73,44.19
B,-0.0552,0.1863,3.06,0.06
B,-0.3995,0.219,102,34.73
B,0.3324,0.258,240,30.6
B,0.3049,0.28,1205,32.49
B,0.1074,0.0068,264.3,36.03
B,0.019,0.057,16.6,39
B,0.2695,0.103,2357.58,61.59
B,0.2695,0.103,2357.58,61.59
B,0.267855409128591,0.066731350148939,15.3,95.52
B,-0.0126,0.2517,344.95,52.43
B,0.151,0.2329,275.2,56.76
B,0.0580062818489023,0.0377,801,1042.96
R,0.08050000000000002,0.0466,25.49,83.52
