Risk Characteristics,Investment Performance,Capital Structure,Dividend Policy,Valuation
Approach,ROE - COE,Current Debt ratio,Dividends,Value/share
B,-0.0042,0.2559,58270,2579.8
B,0.149,0.316,22297,111.92
R,-0.08869999999999999,0.5558,0.8,44.43
B,0.08020119999999999,0.1732,0,90.29890860697544
B,0.0544,0.2001,1006.2,24.82
B,0.0456,0.2112,$1.642.5,25.05
B,-0.0596,0.0474,0,84.58586315571308
B,-0.0476,0.0538,963.8,63.5
R,0.0658,0.2904,142.5,83.99
R,-0.0558,0.4605,132,21.98
B,0.4674,0.1301,3892,35.72
B,-0.0924,0.05669,1435,47.56
B,-0.1316,0.0374,320,334.94
B,n/a,0.348,0,25.27
B,-0.0101,0.8155,0,-0.97
B,-0.008800000000000002,0.3167,128.7,NA
B,0.036,0.3814,187,10.7
B,0.2228,0.0471,92038,135.47
B,0.3573,0.0398,92038,202.32
B,0.2428,0.0388,30037,128.95
B,0.2739,0.0543,11126,222.09
B,0.2888,0.0499,16739,216.77
B,0.21783602999999999,0.06091550733318669,11126,112.36
R,0.014000000000000012,0.1483,22.68,156.03
B,-0.0053,0.0458,0,31.25
B,0.1497,0.2955,1501,44.72
B,-0.1007,0.5158,8.4,3.44
B,-0.1134,0.1203,76.8,4.69
B,0.1885,0.0011,186.3,231.48
B,0.184,0.0010987913295375088,0,133.14
B,0.0281,0.1654,2399.7,68.38
R,0.9120890100671141,0.2213517944980871,312.53999999999996,85.17
B,0.261,0.047041218547937545,2551,51.8947515601304
B,0.1381,0.1075,15.4,13.85
B,0.1192,0.1099,16.84,66.16
B,0.1282,0.1507,0,77.24
B,-0.0386,0.3181,308.6,50.36
R,0.16010000000000002,0.139,192.46,1579.12
B,0.181,0.099,1324.27,19.75
B,2.8359,0.417,733.6,84.02
B,0.0357,0.3508,656.1,39.21
B,-0.15355932282505436,0.4864708605730169,58269.234,1666.5
B,0.154,0.1169,0,357.18
B,0.1336,0,126.88,689.34
B,0.1566973184,0.02454365749,0,290.254895
B,0.1596,0.1158,634.4,795.7356603305583
B,0.1867,0.1149,634.4,579.24
B,0.1633,0.1119,0,511.77
R,0.1492,0.11,0,462.26
B,n/a,0.4241,498.38,57.78
B,0.002,0.1376,0,41.24
B,0.3005,0.19,9489,27.81
B,0.1886,0.0539,167.74,55.59
B,0.1886,0.0539,167.74,55.59
B,0.1886,0.0539,167.74,55.59
B,-0.0129,0.01855,44.16,58.49
B,0.0229,0.0035,205.44,49.88
B,0.077,0.3785345845503698,0,90.55
B,-0.005500000000000005,0.2703,383,91.39
B,0.0969,0.2565,0,1.25
B,0.0969,0.2565,0,-1.56
B,0.05470000000000001,0.5772,83,17.85
B,0.10096908801145997,0.2322227623966574,7494,132.03192153053388
B,0.2001,0.1168,304.66,124.87
B,0.0833,0.2527,"$1,451.80",$28.40
R,0.0861,0.2441,1180.9,35
B,-0.0187,0.2828,1288,66.15
B,0.0584,0.3265,227.97,40.68
B,0.0584,0.3265,227.97,40.68
R,0.0301,0.2604,406.18,42.69
B,-0.0394,0.4575308056466409,177.2,62.30168236218855
B,0.2768,0.23,236.42,178.2
B,0.168,0.211,957.4,10.75
R,0.2627,0.2187116616809136,9574,16.689933821378208
B,0.1515,0.327,261.3,58.66
B,,0.4522,22767,81.84
B,0.2141,0.34027217075999355,0,79.54
B,N/A,0.4558,0,56.69
B,0.30600000000000005,0.1774,0,54.66
B,-0.205,0.2359,105.02,66.73
B,N/A,0.2549,710.6,57.41
B,-,0.2226,47.61,73.77
B,-,0.2226,47.61,73.77
B,0.1251,0.1581,1348,69.62
B,,0.2267,273,16.72
B,-0.4233,0.3349,158.43,29.91
B,-0.101,0.03,0,23.78
B,-0.11977577774058329,0.09717399869969479,8674,57.35974339764503
B,-0.1242,0.1041,INR 2986.1,INR 6.84
B,0.2035,0.1893,1715.4,278.58
R,-0.0659,0.0373,135,59.48
B,-0.07600000000000001,0.0352,162.8,36.74
B,-0.0075,0.1199,2192.58,27.02
B,0.0662,0.18,1265.4,92.2
B,0.41270000000000007,0.1291,530.56,50.79
B,-0.004,0.1505,530.08,91.17
B,0.09271077108422893,0.1475,534.05,54.49
B,0.0977,0.0053,0,55.15
B,0.1514,0.01,0,40.21
B,0.1758,0.0226,,29.05
B,0.14936319999999997,0.004514465416369387,0,81.61
B,0.0855,0.2964,1019.5,139.15
B,-0.006899999999999995,0.0441,0,67.24
B,0.1087,0.2675,"$1,459mm",58.76
B,0.0472,0.053,548,65.28
B,0.3542,0.2612,19724,27.98
Both R and B,0.1346,6071.61,0.0965,715.79
B,0.3397,0.3215,286,51.09
B,0.014,0.2898,1796.52,41.54
Both R and B,0.0556,172.531,0.4335,-39.83
B,0.138,0.4241,$103.33,$24.39
B,0.0214,0.036,0,526.99
B,0.0645,0.034,801,483.98
B,0.02945,0.0239,0,501.85
B,0.07816463132000001,0.03297215443882561,0,475.62
B,0.1998,0.0062,39.4,59.81
R,0.3039,0,2216.84,33.07
B,0.3827,0.1216,"SEK 12,453mm",SEK 253.83
B,0.69,0.0919,368.74,94.7
B,0.69,0.0919,368.74,94.7
B,-0.0157,0.2829,0,26.33
B,-1.7466,0.292,0,17.44
B,-1.5374,0.2043,14896.5,218.4
B,-1.5374,0.2043,14896.5,218.4
B,-1.5374,0.2043,14896.5,218.4
B,0.0316,0.5179,80.71,36.77
B,0.0413,0.0111,0.61,22.02
B,0.0216,0.0104,0.31,22.99
R,0.2105,0.031,983.42,30.87
B,0.333,0.087,7732,23.6
B,-0.1088,0.4185,0,17.674452532665526
B,0.0802,0.0864,47632,31.83
B,0.13229999999999997,0.08,95690,15.12
B,0.0872,0.0813,9569,32.65
B,0.1311,0.08,9569,15.12
B,0.1323,0.08,9569,15.12
Both R and B,0.2151,7731.97,0.0351,342.29
B,0.1234,0.3131,19.8,17.79
R,0.0851,0.3357,24.4,10.39
B,0.1089,0.0675,12506.2,93.43
B,1.826,0.2138,53,20.3
B,0.1401,0.01,252.5,13.02
B,0.1608,0.0187,118,102.94
B,-0.0297,0.314,6322,41.4
B,0.14406023229222764,0.3255395557117652,6676,59.92671357312899
B,0.2007,0.1991,710.7,58.46
B,0.2606,0.2134,2133.7,36.72
B,0.11474891267481305,0.4220801931843155,0,74.93
B,-0.0943,0.0693,0,91.56
B,0.1117,0.9978,8.81,8.22
B,-0.2089,0.474,0,25.4
B,,0.3679,0,24.46
B,0.0712,0.0288,82.8,23.42
R,0.1096,0,29.4,26.19
R,0.1121,0,216,35.67
B,0.1127,0.04797979442268699,3.4331213079999996,76.87902040206151
B,0.1444,0.0374,29.48,70.4
B,0.1505,0.0384,20.6,60.23
B,0.1422,0.13524953950658794,1819,200.2
B,0.1111,0.0571,479.72,58.04
R,0.1265,0.3262,421,63.8
B,0.0728,0.3285,6708,54.37
B,-0.096,0.305,10,7.32
R,-0.023,0.4547,36.68,4.89
B,N/A,0.1521,1159.9,22.41
B,0.1626,0.2176,31.67,49.73
B,0.1627,0.2176,95,49.73
B,0.3394,0.2249,27900,80.03
B,0.2744330077,0.3498679012,6180,97.78934808
B,0.22570436295581014,0.23009409333062064,5579.639999999999,78.5678917020726
B,0.3005,0.23,3216,39.48
B,-0.007968716383687638,0.0907992507882441,0,141.34
R,0.0018,0.4797,81.88,18.67
R,0.0176,0.5922,0,19.22
R,0.2807,0.0766,2,33.61
B,0.3816,0.1235,135.23,95.62
B,0.19,0.149,88.4,34.48
B,0.43189999999999995,0.4641,264,86.62
B,0.2683,0.0228,25.72,5.85
B,0.229,0.119,14120,60.95
B,0.089,0.1477954078138043,2634,81.6
B,0.305,9.99900009999e-05,0,80.35
B,0.2315,0.0721,6009.5,88.99
B,0.0394,0.0792,7127,33.28
B,0.0257,0.2498,103.4,249.56
B,0.0721,0.03,0,271.52
B,0.0546,0.0526,1034.1,379.22
B,0.0744,0.037,0,205.57
B,0.0529,0.0299,122.38,324.75
B,0.0749,0.025,0,396
B,0.09200000000000001,0.1941,1034.1,172.71365456868645
B,0.0024,0.0359,0,231.28
B,0.11580000000000003,0.0296,0,89.31
B,0.10499163,0.04900166155059281,0,402.3
B,0.11580000000000003,0.0296,0,89.31
R,0.1727,0.0422,2857.6000000000004,53.22
R,0.1813,0.028,8237,72.71
B,0.1661,0.0812,3427,54.93
B,0.207,0.085,9583,77.4
R,0,0.2639,768.5999999999999,60.79
B,0.2242,0.267,749,NA
B,0.27709999999999996,0.2669,2510,74.41
B,0.1898,0.2883,478.19,71.02
B,0.2069,0.274,12473.873,63.13
B,-0.012497678514485716,0.2652,768.6,79.82
B,-0.012497678514485716,0.2652,768.6,79.82
B,0.0731,0.2913,"$1,446.80",$127.50
B,-0.0113,0.148,421527,374.1
B,-0.028799999999999992,0.4501,9.55,32.26
B,-0.020000000000000004,0.0976,2.092,21.34
B,-0.0258,0.3226,0,470.13
B,-0.0258,0.3226,0,470.13
B,0.2497,0.1609,97.36,60.25
B,-0.0788,0.7526,22.3274478,0.27
B,-0.0788,0.7526,22.3274478,0.27
B,0.1,0.1746,3730,99.21
B,0.099,0.2827,1990,112.22
B,-0.0103,0.1448,6609,25.27
B,0.09486,0.1563,6771,33.61
B,0.0431,0.4304,87,18.93
B,NA,0.628101,0,41.616933860503
B,0.3159,0.1597,125.6,7.08
B,0.3614,0.0651,436.7,634.47
B,0.1536,0.0732,0,1240.58
B,0.0199,0.2718,70.36,217.21
B,0.0176,0.3796,56.6,95.91
B,0.0304,0.3027,187,71.61
R,0.1016,0.1768,530.12,110.15
R,0.1948,0.1827,149,158.73
B,0.0611,0.1745,179,33.61
R,-0.0701,0.3179,33.8,21.74
B,-0.024,0.14719426914548867,451.3,20.05
B,-0.0369,0.5587,98.6,31.24
B,0.1449,0.0612,295.8,86.39
B,0.0218,0.3943,4207,25.81
B,-0.009,0.3368,143.62,89.21
B,-0.015,0.17,53947,71.4
B,0.1415,0.2168,333.06,14.15
R,0.0531,0.0732,34,72.95
B,0.0769,0.0652,49.17,2.61
B,0.058,0.116,20308,107.8
Both R and B,0.2338,9458.38,0.3119,-43.74
R,0.0725,0.438,238.5,4.05
R,0.0661,0.03,319,92.99
B,0.022,0.06542056074766356,0,7.04
R,-0.046,0.2516,359.92,11.53
B,0.018,0.1828,917.24,1.6
B,0.0267,0.4,1531.2,-25.76
B,0.0507,0.2323,375203,19.89
B,0.2165,0.2287,486.56,45
B,0.0847,0.5253,30.42,38.89
B,0.2146,0.2545,146.49,14.88
B,0.0908,0.2039,45.33,54.57
B,0.2158,0.2581,$0.00,$67.56
B,-0.0008700000000000027,0.12820999209854286,39.21,24.696309929206762
B,0.27,0.08,497,40
B,0.2848004607,0.1192123999,825.5,39.56956167
B,0.2993,0.2876,2485.5,33.58
B,0.09390000000000001,0.0873,142,NA
B,-0.1919,0.6357,0,24.26
B,0.1887,0.0277,"¥1,781.05",¥74.00
B,0.3154,0.0289,337.0433333333333,12.67
B,0.23379999999999998,0.0022,0,210.06333069282508
B,0.322,0.269,8078,33.4
B,0.0574,0.492,1032,56.97
B,0.0249,0.4485,24273,62.83
B,0.0667,0.3,1048,91.98
B,5.7,0.8122,2.4,7.09
B,0.1431942196531792,0.04837154621854284,0,70.04
R,-0.0159,0.1372,311,32.3
B,0.0343,0.479,355.54,47.3
B,0.002445327942,0.3553677915,-2004,53.43008321
B,0.3288,0.328,79.78,42.7
B,0.3288,0.328,79.78,42.7
B,1.0118,3.96%%,60,40.26
B,0.07730000000000001,0.0599,0,51.86
B,0.0722,0.174,0,49.77
B,0.07840000000000001,0.0474,0,53
B,0.1376,0.0401,0,42.27
B,0.1295,0.0644,0,60.33
B,0.10440000000000002,0.1356,1632,123.24
B,0.0191,0.1968,0,40.22
B,0.041520477074322715,0.2596385193426198,19.5,73.40006627052567
B,0.0846,0,0,38.81
B,0.65,0.405,5987,38.5
B,0.1518,0.0941,556.17,61.96
B,0.3617,0.3644,21336,63.93
B,-0.141,0.743,290,5.2
B,0.0618,0.2419,176,34.43
R,0.0773,0.25188659280378806,178,11.72
B,0.0903,0.082,92.7,32.87
B,0.1123,0.2634,106.92,61.46
R,0.0947,0.254,170,32.68
B,0.0729,0.2657,1186,25.89
B,0.1123,0.2634,106.92,61.46
B,0.0663,0.2916,1186,36.75
B,0.0606,0.2483,170,33.61
B,0.0606,0.2483,170,33.61
B,0.0925,0.2576,165,42.81
B,0.113,0.2749,1915,37.43
R,0.1355,0.2785,282.6,16.88
B,0.1545,0,$9.20,$33.61
B,7.1393,0.3821,1037,152.39
B,-0.15499999999999997,0.0386,0,36.83
B,0.0032049000000000105,0.06823899371069182,0,47.92
B,0.026899999999999993,0.0231,7.557592592592592,NA
B,0.1834,0.042,8,9.87
