Country,GDP (in billions),Country Name,2017 (in billions)
Abu Dhabi,415,Afghanistan,20.81530022004278
Albania,13.04,Albania,13.039352743961572
Andorra (Principality of),3.01,Algeria,170.37081091797103
Angola,124.21,American Samoa,
Argentina,637.59,Andorra,3.0129141311697087
Armenia,11.54,Angola,124.20938582521978
Aruba,3,Antigua and Barbuda,1.5323975555555553
Australia,1323.42,Arab World,2591.0474611244144
Austria,416.6,Argentina,637.5904192693237
Azerbaijan,40.75,Armenia,11.53659063582675
Bahamas,12.16,Aruba,
Bahrain,35.31,Australia,1323.4210724790707
Bangladesh,249.72,Austria,416.5956663966362
Barbados,4.8,Azerbaijan,40.747792237973506
Belarus,54.44,"Bahamas, The",12.1621
Belgium,492.68,Bahrain,35.30712765957447
Belize,1.84,Bangladesh,249.7238877654196
Benin,9.27,Barbados,4.7968459808226
Bermuda,6.2,Belarus,54.44237437250945
Bolivia,37.51,Belgium,492.68128304924784
Bosnia and Herzegovina,18.17,Belize,1.838
Botswana,17.406530780715503,Benin,9.273558271647444
Brazil,2055.505502224729,Bermuda,
Bulgaria,56.831518294439654,Bhutan,2.5118529411764707
Burkina Faso,12.87311480001652,Bolivia,37.50864211287988
Cambodia,22.158209502639128,Bosnia and Herzegovina,18.168579578195228
Cameroon,34.79859648242743,Botswana,17.406530780715503
Canada,1653.042795255044,Brazil,2055.505502224729
Cayman Islands,3.2,British Virgin Islands,0
Cape Verde,1.9,Brunei Darussalam,12.128089001585778
Chile,277.07594440194083,Bulgaria,56.831518294439654
China,12237.700479375037,Burkina Faso,12.87311480001652
Colombia,309.19138283336514,Burundi,3.4775021782765725
Congo (Democratic Republic of),37.24,Cabo Verde,1.7537367116727347
Congo (Republic of),8.72,Cambodia,22.158209502639128
Cook Islands,1.2,Cameroon,34.79859648242743
Costa Rica,57.0573724680383,Canada,1653.042795255044
Côte d'Ivoire,40.388624117110865,Caribbean small states,69.33141965059599
Croatia,54.849180228871646,Cayman Islands,0
Cuba,81.6,Central African Republic,1.9494116592045347
Curacao,1,Central Europe and the Baltics,1450.7466352997606
Cyprus,21.651791751183232,Chad,9.981303726232815
Czech Republic,215.72553437237121,Channel Islands,23
Denmark,324.8719688074687,Chile,277.07594440194083
Dominican Republic,75.93165681465696,China,12237.700479375037
Ecuador,103.056619,Colombia,309.19138283336514
Egypt,235.37,Comoros,0.6489209427380523
El Salvador,24.805439600000003,"Congo, Dem. Rep.",37.24130094865899
Estonia,25.92107961233366,"Congo, Rep.",8.72255300083526
Ethiopia,80.56149613391719,Costa Rica,57.0573724680383
Fiji,5.061202767429483,Cote d'Ivoire,40.388624117110865
Finland,251.884887972766,Croatia,54.849180228871646
France,2582.5013072164156,Cuba,23
Gabon,14.622880885684218,Curacao,0
Georgia,15.159281211396696,Cyprus,21.651791751183232
Germany,3677.439129776603,Czech Republic,215.72553437237121
Ghana,47.330016342573444,Denmark,324.8719688074687
Greece,200.28827712903825,Djibouti,1.8446744345037134
Guatemala,75.6200955375005,Dominica,0.5625407407407407
Guernsey (States of),0.5,Dominican Republic,75.93165681465696
Honduras,22.97853289678163,Early-demographic dividend,11249.356756765459
Hong Kong,341.45,East Asia & Pacific,23999.250748656814
Hungary,139.13502975829,East Asia & Pacific (excluding high income),14742.323722128838
Iceland,23.9092899785861,East Asia & Pacific (IDA & IBRD countries),14713.97209735659
India,2597.491162897671,Ecuador,103.056619
Indonesia,1015.5390175365033,"Egypt, Arab Rep.",235.3691293377106
Iraq,197.71573604060913,El Salvador,24.805439600000003
Ireland,333.73076477318006,Equatorial Guinea,12.486753871277967
Isle of Man,7.4,Eritrea,0
Israel,350.8505378272806,Estonia,25.92107961233366
Italy,1934.7979374113268,Eswatini,4.408564260161112
Jamaica,14.768134912417116,Ethiopia,80.56149613391719
Japan,4872.1369455075865,Euro area,12589.497164004286
Jersey (States of),1,Europe & Central Asia,21438.51918982143
Jordan,40.0683085162755,Europe & Central Asia (excluding high income),3300.5007401869175
Kazakhstan,159.4069263591216,Europe & Central Asia (IDA & IBRD countries),3879.8594856791974
Kenya,74.93819065485582,European Union,17277.697660475027
Korea,1530.75,Faroe Islands,23
Kuwait,120.12627761292451,Fiji,5.061202767429483
Kyrgyzstan,7.564738836041221,Finland,251.884887972766
Latvia,30.264454641800356,Fragile and conflict affected situations,830.7268107146233
Lebanon,51.84448774202321,France,2582.5013072164156
Liechtenstein,6.7,French Polynesia,0
Lithuania,47.168303744132935,Gabon,14.622880885684218
Luxembourg,62.404461274663575,"Gambia, The",1.014621519858663
Macao,62.404461274663575,Georgia,15.159281211396696
Macedonia,50.36120109643659,Germany,3677.439129776603
Malaysia,314.5002790438099,Ghana,47.330016342573444
Maldives,4.597083303506934,Gibraltar,0
Malta,12.5377507324769,Greece,200.28827712903825
Mauritius,13.338147523012408,Greenland,23
Mexico,1149.9187947657313,Grenada,1.1188166794074073
Moldova,8.12849343207741,Guam,23
Mongolia,11.48804688104307,Guatemala,75.6200955375005
Montenegro,4.774086094207799,Guinea,10.49605673254604
Montserrat,1.5,Guinea-Bissau,1.346933490235771
Morocco,109.13948400742879,Guyana,3.67563196125908
Mozambique,12.333859926276988,Haiti,8.408150517976843
Namibia,13.244597345431874,Heavily indebted poor countries (HIPC),728.7740363666364
Netherlands,826.2002825011269,High income,51475.41439594965
New Zealand,205.85283825471217,Honduras,22.97853289678163
Nicaragua,13.814261535543384,"Hong Kong SAR, China",341.4493404506493
Nigeria,375.7707137427634,Hungary,139.13502975829
Norway,398.83195647793656,IBRD only,28648.5170741359
Oman,72.64265279583874,Iceland,23.9092899785861
Pakistan,304.95181849406555,IDA & IBRD total,30741.796092143395
Panama,61.838175799999995,IDA blend,915.3423298734348
Papua New Guinea,21.088758484748524,IDA only,1186.0150130194097
Paraguay,29.7348952489053,IDA total,2099.6172589147823
Peru,211.38927224215658,India,2597.491162897671
Philippines,313.5952087372693,Indonesia,1015.5390175365033
Poland,524.5095652634086,"Iran, Islamic Rep.",439.5135116205906
Portugal,217.57108304599035,Iraq,197.71573604060913
Qatar,167.60521978021978,Ireland,333.73076477318006
Ras Al Khaimah (Emirate of),5.2,Isle of Man,23
Romania,211.80328192473783,Israel,350.8505378272806
Russia,1577.5241459631695,Italy,1934.7979374113268
Rwanda,9.136689514094794,Jamaica,14.768134912417116
Saudi Arabia,683.827144288536,Japan,4872.1369455075865
Senegal,16.374743753473073,Jordan,40.0683085162755
Serbia,41.43164880116632,Kazakhstan,159.4069263591216
Sharjah,5,Kenya,74.93819065485582
Singapore,323.9072344123398,Kiribati,0.1961500613120785
Slovakia,95.76903198013622,"Korea, Dem. People’s Rep.",0
Slovenia,48.76965547923881,"Korea, Rep.",1530.7509231487
Solomon Islands,1.3034536161197352,Kosovo,7.128690556682444
South Africa,349.4193436140886,Kuwait,120.12627761292451
Spain,1311.3200155159884,Kyrgyz Republic,7.564738836041221
Sri Lanka,87.1746822004324,Lao PDR,16.853079615351916
St. Maarten,1.5,Late-demographic dividend,20452.8799641433
St. Vincent & the Grenadines,0.77,Latin America & Caribbean,5954.67113308638
Suriname,3.3243853252667708,Latin America & Caribbean (excluding high income),4723.050473503121
Swaziland,3.72,Latin America & the Caribbean (IDA & IBRD countries),5704.712973686917
Sweden,538.0404582169965,Latvia,30.264454641800356
Switzerland,678.8873368482518,Least developed countries: UN classification,1062.6429226810048
Taiwan,970.9,Lebanon,51.84448774202321
Tajikistan,7.145701018749196,Lesotho,2.6393862914276656
Tanzania,52.09032032547359,Liberia,2.158
Thailand,455.2209205711289,Libya,50.98436247849725
Trinidad and Tobago,22.10477582846004,Liechtenstein,23
Tunisia,40.25667520872944,Lithuania,47.168303744132935
Turkey,851.1024111181163,Low & middle income,29236.806913807955
Turks and Caicos Islands,1.5,Low income,549.653601217708
Uganda,25.89105894619358,Lower middle income,6504.155258937751
Ukraine,112.1541851214065,Luxembourg,62.404461274663575
