Country,GDP (in billions) in 2018,GDP in 2017,Country Name,GDP in 2018
Abu Dhabi,253,42,Afghanistan,19.36296958236435
Albania,15.102500898237972,13.04,Albania,15.102500898237972
Andorra (Principality of),3.2365439093484416,3.01,Algeria,173.75795282424966
Angola,105.7509876186299,124.21,American Samoa,0.636
Argentina,519.871519807795,637.59,Andorra (Principality of),3.2365439093484416
Armenia,12.43308991904594,11.54,Angola,105.7509876186299
Aruba,2.7005586592178767,3,Antigua and Barbuda,1.610574074074074
Australia,1433.9043485001162,1323.42,Arab World,2774.314967156431
Austria,455.28581803512486,416.6,Argentina,519.871519807795
Azerbaijan,46.93952941176471,40.75,Armenia,12.43308991904594
Bahamas,12.424499999999998,12.16,Aruba,2.7005586592178767
Bahrain,37.74619680851063,35.31,Australia,1433.9043485001162
Bangladesh,274.02495896589176,249.72,Austria,455.28581803512486
Barbados,5.145,4.8,Azerbaijan,46.93952941176471
Belarus,59.66249509226541,54.44,Bahamas,12.424499999999998
Belgium,542.7610921034685,492.68,Bahrain,37.74619680851063
Belize,1.871203164082745,1.84,Bangladesh,274.02495896589176
Benin,10.354274634910833,9.27,Barbados,5.145
Bermuda,5.57371,6.2,Belarus,59.66249509226541
Bolivia,40.287647756874094,37.51,Belgium,542.7610921034685
Bosnia and Herzegovina,20.16186541943271,18.17,Belize,1.871203164082745
Botswana,18.616018903443408,17.406530780715503,Benin,10.354274634910833
Brazil,1868.6260879084787,2055.505502224729,Bermuda,5.57371
Bulgaria,65.13295111647555,56.831518294439654,Bhutan,2.534965162780836
Burkina Faso,14.124775068568976,12.87311480001652,Bolivia,40.287647756874094
Cambodia,24.542474061242604,22.158209502639128,Bosnia and Herzegovina,20.16186541943271
Cameroon,38.67520529304622,34.79859648242743,Botswana,18.616018903443408
Canada,1713.3417048770118,1653.042795255044,Brazil,1868.6260879084787
Cape Verde,1.9,1.9,British Virgin Islands,0
Cayman Islands,5.141833913356533,3.2,Brunei Darussalam,13.567351175031508
Chile,298.2311335327486,277.07594440194083,Bulgaria,65.13295111647555
China,13608.151864637854,12237.700479375037,Burkina Faso,14.124775068568976
Colombia,331.0470400878775,309.19138283336514,Burundi,3.036931818181818
Congo (Democratic Republic of),47.22753529092183,37.24,Cabo Verde,1.9768142765079173
Congo (Republic of),11.26368269403926,8.72,Cambodia,24.542474061242604
Cook Islands,1.2,1.2,Cameroon,38.67520529304622
Costa Rica,60.130106115629424,60.130106115629424,Canada,1713.3417048770118
Côte d'Ivoire,43.007047821754135,43.007047821754135,Caribbean small states,73.52353815468115
Croatia,60.971699315177574,60.971699315177574,Cayman Islands,5.141833913356533
Cuba,100.023,81.6,Central African Republic,2.219894701951242
Curacao,3.1279080378591844,1,Central Europe and the Baltics,1632.9128220800235
Cyprus,24.961988663202643,24.961988663202643,Chad,11.273115239425477
Czech Republic,245.22588290337018,245.22588290337018,Channel Islands,11.514605842336936
Denmark,355.67532908595155,355.67532908595155,Chile,298.2311335327486
Dominican Republic,85.55539038703552,85.55539038703552,China,13608.151864637854
Ecuador,108.398058,108.398058,Colombia,331.0470400878775
Egypt,250.89476035123232,235.37,Comoros,1.1779550486529855
El Salvador,26.057,26.057,Congo (Democratic Republic of),47.22753529092183
Estonia,30.73214452897952,30.73214452897952,Congo (Republic of),11.26368269403926
Ethiopia,84.35560475252986,84.35560475252986,Costa Rica,60.130106115629424
Fiji,5.536759658870125,5.536759658870125,Côte d'Ivoire,43.007047821754135
Finland,276.74312051576396,276.74312051576396,Croatia,60.971699315177574
France,2777.535239277975,2777.535239277975,Cuba,100.023
Gabon,16.853589311413938,16.853589311413938,Curacao,3.1279080378591844
Georgia,17.599660629020164,17.599660629020164,Cyprus,24.961988663202643
Germany,3947.6201625029566,3947.6201625029566,Czech Republic,245.22588290337018
Ghana,65.55646404815387,65.55646404815387,Denmark,355.67532908595155
Greece,218.03184458399377,218.03184458399377,Djibouti,2.955912228224173
Guatemala,78.4604479199915,78.4604479199915,Dominica,0.5508925925925926
Guernsey (States of),0.5,0.5,Dominican Republic,85.55539038703552
Honduras,23.969890430788155,23.969890430788155,Early-demographic dividend,11638.154660763312
Hong Kong,362.6820182432864,341.45,East Asia & Pacific,25942.41343736003
Hungary,157.8829127782539,157.8829127782539,East Asia & Pacific (excluding high income),16284.459791798243
Iceland,25.878475760113137,25.878475760113137,East Asia & Pacific (IDA & IBRD countries),16253.261537421355
India,2718.7322312575707,2718.7322312575707,Ecuador,108.398058
Indonesia,1042.1733006255529,1042.1733006255529,Egypt,250.89476035123232
Iraq,224.22801047788917,224.22801047788917,El Salvador,26.057
Ireland,382.4874905324787,382.4874905324787,Equatorial Guinea,13.43237704954021
Isle of Man,6.770532818532817,7.4,Eritrea,2.6077398373983742
Israel,370.5879771535832,370.5879771535832,Estonia,30.73214452897952
Italy,2083.8642596226487,2083.8642596226487,Eswatini,4.710618471931666
Jamaica,15.713908816146317,15.713908816146317,Ethiopia,84.35560475252986
Japan,4971.32307977187,4971.32307977187,Euro area,13646.587749131011
Jersey (States of),1,1,Europe & Central Asia,23068.402795298516
Jordan,42.23129577464789,42.23129577464789,Europe & Central Asia (excluding high income),3410.6950540293155
Kazakhstan,179.33999485938446,179.33999485938446,Europe & Central Asia (IDA & IBRD countries),4057.3305681685374
Kenya,87.90826251991636,87.90826251991636,European Union,18768.076076357273
Korea,1619.42,1530.75,Faroe Islands,2.6891572708231206
Kuwait,140.64536423841062,140.64536423841062,Fiji,5.536759658870125
Kyrgyzstan,8.092836608788748,8.092836608788748,Finland,276.74312051576396
Latvia,34.409229177910504,34.409229177910504,Fragile and conflict affected situations,841.432963671601
Lebanon,56.63915555555555,56.63915555555555,France,2777.535239277975
Liechtenstein,6.2146336513091125,6.7,French Polynesia,0
Lithuania,53.429066429125086,53.429066429125086,Gabon,16.853589311413938
Luxembourg,70.88532588309408,70.88532588309408,"Gambia, The",1.6328231989582838
Macao,55.08405078971818,55.08405078971818,Georgia,17.599660629020164
Macedonia,12.67,55.08405078971818,Germany,3947.6201625029566
Malaysia,358.5819434462591,358.5819434462591,Ghana,65.55646404815387
Maldives,5.32745714972581,5.32745714972581,Gibraltar,0
Mali,17.163432832095715,15.29,Greece,218.03184458399377
Malta,14.553422928883089,14.553422928883089,Greenland,2.7071467831305616
Mauritius,14.220348672733275,14.220348672733275,Grenada,1.1859259259259258
Mexico,1220.6994798459802,1220.6994798459802,Guam,5.92
Moldova,11.443671435902417,11.443671435902417,Guatemala,78.4604479199915
Mongolia,13.066749138326108,13.066749138326108,Guinea,10.907214993568733
Montenegro,5.504166666666667,5.504166666666667,Guinea-Bissau,1.4581560261637634
Montserrat,1.5,1.5,Guyana,3.8786626207714643
Morocco,117.92139440236093,117.92139440236093,Haiti,9.658721168868492
Mozambique,14.717223206900039,14.717223206900039,Heavily indebted poor countries (HIPC),729.217800806705
Namibia,14.521711633953341,14.521711633953341,High income,54205.74138766496
Netherlands,913.6584657091249,913.6584657091249,Honduras,23.969890430788155
New Zealand,204.92391786935485,204.92391786935485,Hong Kong,362.6820182432864
Nicaragua,13.117845416629692,13.117845416629692,Hungary,157.8829127782539
Niger,9.290938457288304,,IBRD only,30473.23707003215
Nigeria,397.2696160809077,397.2696160809077,Iceland,25.878475760113137
Norway,434.166615431909,434.166615431909,IDA & IBRD total,32694.494483535196
Oman,79.27672301690508,79.27672301690508,IDA blend,993.7779870341228
Pakistan,314.58821050106275,314.58821050106275,IDA only,1235.9000684694172
Panama,65.0551,65.0551,IDA total,2229.559648296879
Papua New Guinea,23.49760769011784,23.49760769011784,India,2718.7322312575707
Paraguay,40.49695377907096,40.49695377907096,Indonesia,1042.1733006255529
Peru,222.04497048621676,222.04497048621676,"Iran, Islamic Rep.",454.01276872358886
Philippines,330.91034361095603,330.91034361095603,Iraq,224.22801047788917
Poland,585.663814824044,585.663814824044,Ireland,382.4874905324787
Portugal,240.67452446424036,240.67452446424036,Isle of Man,6.770532818532817
Qatar,191.3620879120879,191.3620879120879,Israel,370.5879771535832
Ras Al Khaimah (Emirate of),5.2,5.2,Italy,2083.8642596226487
Romania,239.55251674446922,239.55251674446922,Jamaica,15.713908816146317
Russia,1657.5546471498735,1657.5546471498735,Japan,4971.32307977187
Rwanda,9.5087155964368,9.5087155964368,Jordan,42.23129577464789
Saudi Arabia,786.5218315719573,786.5218315719573,Kazakhstan,179.33999485938446
Senegal,24.129599551786896,24.129599551786896,Kenya,87.90826251991636
Serbia,50.59728914670413,50.59728914670413,Kiribati,0.18828451882845187
Sharjah,5,5,"Korea, Dem. People’s Rep.",0
Singapore,364.1566577698695,364.1566577698695,"Korea, Rep.",1619.4237011696343
Slovakia,105.90463215575471,105.90463215575471,Kosovo,7.938990793201134
Slovenia,54.00797210646285,54.00797210646285,Kuwait,140.64536423841062
Solomon Islands,1.395608472013254,1.395608472013254,Kyrgyzstan,8.092836608788748
South Africa,368.2889397683223,368.2889397683223,Lao PDR,17.953786416143096
Spain,1419.0419499098234,1419.0419499098234,Late-demographic dividend,22183.244483370687
Sri Lanka,88.90077085763505,88.90077085763505,Latin America & Caribbean,5800.575821179992
St. Maarten,1.5,1.5,Latin America & Caribbean (excluding high income),5204.644664482807
St. Vincent & the Grenadines,0.92,0.77,Latin America & the Caribbean (IDA & IBRD countries),5559.757932431599
Suriname,3.590753768844221,3.590753768844221,Latvia,34.409229177910504
Swaziland,4.71,3.72,Least developed countries: UN classification,1064.7289692497147
Sweden,556.0864889365588,556.0864889365588,Lebanon,56.63915555555555
Switzerland,705.1403541663119,705.1403541663119,Lesotho,2.738786277793921
Taiwan,646,970.9,Liberia,3.2640000000000007
Tajikistan,7.522947810123263,7.522947810123263,Libya,48.36420857142858
Tanzania,58.001200572396456,58.001200572396456,Liechtenstein,6.2146336513091125
Thailand,504.99275770499713,504.99275770499713,Lithuania,53.429066429125086
Togo,5.358722982708933,4.81,Low & middle income,31735.694332002495
Trinidad and Tobago,23.808146747799373,23.808146747799373,Low income,588.230486530751
Tunisia,39.871132267936076,39.871132267936076,Lower middle income,6702.152996184071
Turkey,771.3503304552668,771.3503304552668,Luxembourg,70.88532588309408
Turks and Caicos Islands,1.02231201,1.5,Macao,55.08405078971818
Uganda,27.461440192354868,27.461440192354868,Madagascar,13.853432868227037
Ukraine,130.83237440488224,130.83237440488224,Malawi,7.064971176344079
United Arab Emirates,414.1789425924793,414.1789425924793,Malaysia,358.5819434462591
