Country,GDP (in billions) in 2019,Country,2019.0
Afghanistan,915,Afghanistan,19.1
Albania,15.3,Albania,15.3
Algeria,3.2,Algeria,170
American Samoa,94.6,American Samoa,0.6
Andorra (Principality of),449.7,Andorra (Principality of),3.2
Angola,13.7,Angola,94.6
Antigua and Barbuda,3.1,Antigua and Barbuda,1.7
Argentina,1392.7,Argentina,449.7
Armenia,446.3,Armenia,13.7
Aruba,48,Aruba,3.1
Australia,12.8,Australia,1392.7
Austria,38.6,Austria,446.3
Azerbaijan,302.6,Azerbaijan,48
Bahamas,5.2,Bahamas,12.8
Bahrain,63.1,Bahrain,38.6
Bangladesh,529.6,Bangladesh,302.6
Barbados,1.9,Barbados,5.2
Belarus,14.4,Belarus,63.1
Belgium,5.7,Belgium,529.6
Belize,40.9,Belize,1.9
Benin,20,Benin,14.4
Bermuda,18.3,Bermuda,5.7
Bhutan,1839.8,Bhutan,2.4
Bolivia,67.9,Bolivia,40.9
Bosnia and Herzegovina,15.7,Bosnia and Herzegovina,20
Botswana,27.1,Botswana,18.3
Brazil,38.8,Brazil,1839.8
Brunei Darussalam,1736.4,Brunei Darussalam,13.5
Bulgaria,2,Bulgaria,67.9
Burkina Faso,5.5,Burkina Faso,15.7
Burundi,282.3,Burundi,3
Cape Verde,14342.9,Cape Verde,2
Cambodia,323.8,Cambodia,27.1
Cameroon,47.3,Cameroon,38.8
Canada,10.8,Canada,1736.4
Cayman Islands,1.2,Cayman Islands,5.5
Central African Republic,61.8,Central African Republic,2.2
Chad,58.8,Chad,11.3
Channel Islands,60.4,Channel Islands,..
Chile,100,Chile,282.3
China,3.1,China,14342.9
Colombia,24.6,Colombia,323.8
Comoros,246.5,Comoros,1.2
Congo (Democratic Republic of),348.1,Congo (Democratic Republic of),47.3
Congo (Republic of),88.9,Congo (Republic of),10.8
Costa Rica,107.4,Costa Rica,61.8
Côte d'Ivoire,303.2,Côte d'Ivoire,58.8
Croatia,27,Croatia,60.4
Cuba,31.4,Cuba,100
Curacao,96.1,Curacao,3.1
Cyprus,5.5,Cyprus,24.6
Czech Republic,268.8,Czech Republic,246.5
Denmark,2715.5,Denmark,348.1
Djibouti,16.7,Djibouti,3.3
Dominica,17.7,Dominica,0.6
Dominican Republic,3845.6,Dominican Republic,88.9
Ecuador,67,Ecuador,107.4
Egypt,209.9,Egypt,303.2
El Salvador,76.7,El Salvador,27
Equatorial Guinea,2.5,Equatorial Guinea,11
Eritrea,25.1,Eritrea,..
Estonia,366,Estonia,31.4
Eswatini,161,Eswatini,4.4
Ethiopia,24.2,Ethiopia,96.1
Faroe Islands,2875.1,Faroe Islands,2.8
Fiji,1119.2,Fiji,5.5
Finland,234.1,Finland,268.8
France,388.7,France,2715.5
French Polynesia,6.8,French Polynesia,..
Gabon,395.1,Gabon,16.7
"Gambia, The",2001.2,"Gambia, The",1.8
Georgia,16.5,Georgia,17.7
Germany,5081.8,Germany,3845.6
Ghana,1,Ghana,67
Greece,43.7,Greece,209.9
Greenland,180.2,Greenland,3.1
Grenada,95.5,Grenada,1.2
Guam,1642.4,Guam,5.9
Guatemala,134.8,Guatemala,76.7
Guinea,8.5,Guinea,13.6
Guinea-Bissau,18.2,Guinea-Bissau,1.3
Guyana,34.1,Guyana,4.3
Haiti,53.4,Haiti,8.5
Honduras,6.6,Honduras,25.1
Hong Kong,54.2,Hong Kong,366
Hungary,71.1,Hungary,161
Iceland,53.9,Iceland,24.2
India,12.7,India,2875.1
Indonesia,364.7,Indonesia,1119.2
"Iran, Islamic Rep.",5.7,"Iran, Islamic Rep.",445.3
Iraq,17.5,Iraq,234.1
Ireland,14.8,Ireland,388.7
Isle of Man,14.2,Isle of Man,6.8
Israel,1258.3,Israel,395.1
Italy,12,Italy,2001.2
Jamaica,13.9,Jamaica,16.5
Japan,5.5,Japan,5081.8
Jordan,1.5,Jordan,43.7
Kazakhstan,118.7,Kazakhstan,180.2
Kenya,14.9,Kenya,95.5
Kiribati,12.4,Kiribati,0.2
"Korea, Dem. People’s Rep.",909.1,"Korea, Dem. People’s Rep.",..
Korea,206.9,Korea,1642.4
Kosovo,12.5,Kosovo,7.9
Kuwait,12.9,Kuwait,134.8
Kyrgyzstan,448.1,Kyrgyzstan,8.5
Laos,403.3,Laos,18.2
Latvia,77,Latvia,34.1
Lebanon,278.2,Lebanon,53.4
Lesotho,66.8,Lesotho,2.5
Liberia,25,Liberia,3.1
Libya,38.1,Libya,52.1
Liechtenstein,226.8,Liechtenstein,6.6
Lithuania,376.8,Lithuania,54.2
Luxembourg,592.2,Luxembourg,71.1
Macao,237.7,Macao,53.9
Madagascar,183.5,Madagascar,14.1
Malawi,5.2,Malawi,7.7
Malaysia,250.1,Malaysia,364.7
Maldives,1699.9,Maldives,5.7
Mali,10.1,Mali,17.5
Malta,793,Malta,14.8
Marshall Islands,23.6,Marshall Islands,0.2
Mauritania,51.4,Mauritania,7.6
Mauritius,5,Mauritius,14.2
Mexico,372.1,Mexico,1258.3
"Micronesia, Fed. Sts.",105.4,"Micronesia, Fed. Sts.",0.4
Moldova,53.7,Moldova,12
Monaco,1.4,Monaco,7.2
Mongolia,351.4,Mongolia,13.9
Montenegro,1394.1,Montenegro,5.5
Morocco,84,Morocco,118.7
Mozambique,1.5,Mozambique,14.9
Myanmar,0.8,Myanmar,76.1
Namibia,4,Namibia,12.4
Nepal,4.4,Nepal,30.6
Netherlands,530.8,Netherlands,909.1
New Caledonia,703.1,New Caledonia,..
New Zealand,985,New Zealand,206.9
Nicaragua,8.1,Nicaragua,12.5
Niger,63.2,Niger,12.9
Nigeria,543.6,Nigeria,448.1
North Macedonia,5.5,North Macedonia,12.7
Northern Mariana Islands,24.1,Northern Mariana Islands,1.3
Norway,38.8,Norway,403.3
Oman,754.4,Oman,77
Pakistan,1,Pakistan,278.2
Palau,34.4,Palau,0.3
Panama,153.8,Panama,66.8
Papua New Guinea,421.1,Papua New Guinea,25
Paraguay,2827.1,Paraguay,38.1
Peru,21374.4,Peru,226.8
Philippines,56,Philippines,376.8
Poland,57.9,Poland,592.2
Portugal,220,Portugal,237.7
Puerto Rico,261.9,Puerto Rico,105
Qatar,23.1,Qatar,183.5
Romania,,Romania,250.1
Russia,,Russia,1699.9
Rwanda,,Rwanda,10.1
Samoa,,Samoa,0.9
San Marino,,San Marino,1.6
Sao Tome and Principe,,Sao Tome and Principe,0.4
Saudi Arabia,,Saudi Arabia,793
Senegal,,Senegal,23.6
Serbia,,Serbia,51.4
Seychelles,,Seychelles,1.7
Sierra Leone,,Sierra Leone,3.9
Singapore,,Singapore,372.1
Sint Maarten (Dutch part),,Sint Maarten (Dutch part),..
Slovakia,,Slovakia,105.4
Slovenia,,Slovenia,53.7
Solomon Islands,,Solomon Islands,1.4
Somalia,,Somalia,..
South Africa,,South Africa,351.4
South Sudan,,South Sudan,..
Spain,,Spain,1394.1
Sri Lanka,,Sri Lanka,84
St. Kitts and Nevis,,St. Kitts and Nevis,1.1
St. Lucia,,St. Lucia,2.1
St. Martin (French part),,St. Martin (French part),..
St. Vincent and the Grenadines,,St. Vincent and the Grenadines,0.8
Sudan,,Sudan,18.9
Suriname,,Suriname,4
Sweden,,Sweden,530.8
Switzerland,,Switzerland,703.1
Syrian Arab Republic,,Syrian Arab Republic,..
Tajikistan,,Tajikistan,8.1
Tanzania,,Tanzania,63.2
Thailand,,Thailand,543.6
Timor-Leste,,Timor-Leste,1.7
Togo,,Togo,5.5
Tonga,,Tonga,0.5
Trinidad and Tobago,,Trinidad and Tobago,24.1
Tunisia,,Tunisia,38.8
Turkey,,Turkey,754.4
