Country,GDP (in billions) in 2020,Country,GDP in billions
Afghanistan,268,Afghanistan,19.807
Albania,14.8,Albania,14.8
Algeria,3.16,Algeria,145.164
American Samoa,62.307,American Samoa,0.638
Andorra,383.067,Andorra,3.155
Angola,12.645,Angola,62.307
Antigua and Barbuda,3.202,Antigua and Barbuda,1.415
Argentina,1330.901,Argentina,383.067
Armenia,428.965,Armenia,12.645
Aruba,42.607,Aruba,3.202
Australia,11.25,Australia,1330.901
Austria,38.475,Austria,428.965
Azerbaijan,324.239,Azerbaijan,42.607
"Bahamas, The",4.366,"Bahamas, The",11.25
Bahrain,60.258,Bahrain,38.475
Bangladesh,515.332,Bangladesh,324.239
Barbados,1.764,Barbados,4.366
Belarus,15.652,Belarus,60.258
Belgium,7.484,Belgium,515.332
Belize,36.689,Belize,1.764
Benin,19.788,Benin,15.652
Bermuda,15.782,Bermuda,7.484
Bhutan,1444.733,Bhutan,2.409
Bolivia,69.105,Bolivia,36.689
Bosnia and Herzegovina,17.369,Bosnia and Herzegovina,19.788
Botswana,25.291,Botswana,15.782
Brazil,39.802,Brazil,1444.733
Brunei Darussalam,1643.408,Brunei Darussalam,12.016
Bulgaria,1.7,Bulgaria,69.105
Burkina Faso,5.936,Burkina Faso,17.369
Burundi,252.94,Burundi,3.258
Cabo Verde,14722.731,Cabo Verde,1.704
Cambodia,271.347,Cambodia,25.291
Cameroon,49.87,Cameroon,39.802
Canada,10.89,Canada,1643.408
Cayman Islands,0.384,Cayman Islands,5.936
Central African Republic,61.521,Central African Republic,2.303
Chad,61.349,Chad,10.093
Chile,55.967,Chile,252.94
China,103.131,China,14722.731
Colombia,3.1,Colombia,271.347
Comoros,23.804,Comoros,1.22
"Congo, Dem. Rep.",243.53,"Congo, Dem. Rep.",49.869
"Congo, Rep.",355.184,"Congo, Rep.",10.885
Costa Rica,78.845,Costa Rica,61.521
Côte d'Ivoire,98.808,Côte d'Ivoire,61.349
Croatia,363.09,Croatia,55.967
Cuba,24.639,Cuba,103.131
Curaçao,31.03,Curaçao,3.102
Cyprus,107.645,Cyprus,23.804
Czech Republic,4.376,Czech Republic,243.53
Denmark,271.234,Denmark,355.184
Djibouti,2603.004,Djibouti,3.384
Dominica,15.593,Dominica,0.47
Dominican Republic,15.892,Dominican Republic,78.845
Ecuador,3806.06,Ecuador,98.808
"Egypt, Arab Rep.",72.354,"Egypt, Arab Rep.",363.069
El Salvador,189.41,El Salvador,24.639
Equatorial Guinea,77.605,Equatorial Guinea,10.022
Estonia,3.18,Estonia,31.03
Eswatini,23.828,Eswatini,3.962
Ethiopia,346.6,Ethiopia,107.645
Faroe Islands,155.013,Faroe Islands,3.126
Fiji,21.715,Fiji,4.376
Finland,2622.984,Finland,271.234
France,1058.424,France,2603.004
Gabon,167.224,Gabon,15.593
"Gambia, The",418.622,"Gambia, The",1.902
Georgia,7.492,Georgia,15.892
Germany,401.954,Germany,3806.06
Ghana,1886.445,Ghana,72.354
Greece,13.812,Greece,189.41
Greenland,5064.873,Greenland,3.052
Grenada,4.89,Grenada,1.089
Guam,43.698,Guam,6.311
Guatemala,169.835,Guatemala,77.605
Guinea,98.843,Guinea,15.681
Guinea-Bissau,1630.53,Guinea-Bissau,1.432
Guyana,136.197,Guyana,5.471
Haiti,7.74,Haiti,13.418
Honduras,19.14,Honduras,23.828
"Hong Kong SAR, China",33.505,"Hong Kong SAR, China",346.586
Hungary,33.383,Hungary,155.013
Iceland,6.839,Iceland,21.715
India,55.887,India,2622.984
Indonesia,73.264,Indonesia,1058.424
"Iran, Islamic Rep.",55.15,"Iran, Islamic Rep.",191.718
Iraq,12.27,Iraq,167.224
Ireland,336.664,Ireland,418.622
Isle of Man,4.03,Isle of Man,7.492
Israel,17.394,Israel,401.954
Italy,14.647,Italy,1886.445
Jamaica,10.914,Jamaica,13.812
Japan,1076.163,Japan,5064.873
Jordan,11.914,Jordan,43.698
Kazakhstan,13.137,Kazakhstan,169.835
Kenya,4.779,Kenya,98.843
Kiribati,0.25,Kiribati,0.2
"Korea, Rep.",112.871,"Korea, Rep.",1630.525
Kosovo,14.021,Kosovo,7.611
Kuwait,10.7,Kuwait,136.197
Kyrgyz Republic,912.242,Kyrgyz Republic,7.736
Lao PDR,212.482,Lao PDR,19.136
Latvia,12.621,Latvia,33.505
Lebanon,13.678,Lebanon,33.383
Lesotho,432.294,Lesotho,1.845
Liberia,362.009,Liberia,2.95
Libya,76.332,Libya,25.418
Liechtenstein,263.687,Liechtenstein,6.839
Lithuania,52.938,Lithuania,55.887
Luxembourg,23.592,Luxembourg,73.264
"Macao SAR, China",35.304,"Macao SAR, China",55.154
Madagascar,202.014,Madagascar,13.721
Malawi,361.489,Malawi,11.962
Malaysia,594.165,Malaysia,336.664
Maldives,231.256,Maldives,4.03
Mali,146.374,Mali,17.394
Malta,3.52,Malta,14.647
Marshall Islands,248.716,Marshall Islands,0.239
Mauritania,1483.5,Mauritania,7.779
Mauritius,10.334,Mauritius,10.914
Mexico,700.118,Mexico,1076.163
"Micronesia, Fed. Sts.",24.911,"Micronesia, Fed. Sts.",0.408
Moldova,52.96,Moldova,11.914
Monaco,24.8,Monaco,7.424
Mongolia,339.998,Mongolia,13.137
Montenegro,104.57,Montenegro,4.779
Morocco,52.88,Morocco,112.871
Mozambique,1.551,Mozambique,14.021
Myanmar,301.924,Myanmar,76.186
Namibia,1281.199,Namibia,10.7
Nauru,80.707,Nauru,0.118
Nepal,1.19,Nepal,33.657
Netherlands,0.81,Netherlands,912.242
New Zealand,3.808,New Zealand,212.482
Nicaragua,3.96,Nicaragua,12.621
Niger,537.61,Niger,13.678
Nigeria,747.969,Nigeria,432.294
North Macedonia,689,North Macedonia,12.267
Northern Mariana Islands,8.194,Northern Mariana Islands,1.182
Norway,62.41,Norway,362.009
Oman,501.795,Oman,76.332
Pakistan,7.575,Pakistan,263.687
Palau,21.53,Palau,0.268
Panama,39.236,Panama,52.938
Papua New Guinea,720.101,Papua New Guinea,23.592
Paraguay,0.925,Paraguay,35.304
Peru,37.372,Peru,202.014
Philippines,155.582,Philippines,361.489
Poland,421.142,Poland,594.165
Portugal,2707.744,Portugal,231.256
Puerto Rico,20936.6,Puerto Rico,103.138
Qatar,53.629,Qatar,146.374
Romania,57.707,Romania,248.716
Russian Federation,98.4,Russian Federation,1483.498
Rwanda,271.158,Rwanda,10.334
Samoa,19.32,Samoa,0.807
San Marino,,San Marino,1.616
São Tomé and Principe,,São Tomé and Principe,0.473
Saudi Arabia,,Saudi Arabia,700.118
Senegal,,Senegal,24.911
Serbia,,Serbia,52.96
Seychelles,,Seychelles,1.125
Sierra Leone,,Sierra Leone,3.865
Singapore,,Singapore,339.998
Sint Maarten (Dutch part),,Sint Maarten (Dutch part),1.185
Slovak Republic,,Slovak Republic,104.574
Slovenia,,Slovenia,52.88
Solomon Islands,,Solomon Islands,1.551
Somalia,,Somalia,4.918
South Africa,,South Africa,301.924
Spain,,Spain,1281.199
Sri Lanka,,Sri Lanka,80.707
St. Kitts and Nevis,,St. Kitts and Nevis,0.927
St. Lucia,,St. Lucia,1.703
St. Vincent and the Grenadines,,St. Vincent and the Grenadines,0.81
Sudan,,Sudan,26.111
Suriname,,Suriname,3.808
Sweden,,Sweden,537.61
Switzerland,,Switzerland,747.969
Tajikistan,,Tajikistan,8.194
Tanzania,,Tanzania,62.41
Thailand,,Thailand,501.795
Timor-Leste,,Timor-Leste,1.821
Togo,,Togo,7.575
Tonga,,Tonga,0.512
Trinidad and Tobago,,Trinidad and Tobago,21.53
Tunisia,,Tunisia,39.236
Turkey,,Turkey,720.101
Turkmenistan,,Turkmenistan,45.231
Turks and Caicos Islands,,Turks and Caicos Islands,0.925
Tuvalu,,Tuvalu,0.049
Uganda,,Uganda,37.372
Ukraine,,Ukraine,155.582
United Arab Emirates,,United Arab Emirates,421.142
