Country,GDP (in millions) in 2021,Economy,US dollars)
Abu Dhabi,446000,Afghanistan,20116.1373258206
Albania,18260.0434998068,Albania,18260.0434998068
Andorra (Principality of),3.33,Algeria,167983.141738311
Angola,72546.98570857069,American Samoa,709
Argentina,491492.700657012,Andorra,3329.91072376078
Armenia,13861.1838735931,Angola,72546.98570857069
Aruba,2496.64804469274,Antigua and Barbuda,1471.12592592593
Australia,1542659.89999254,Argentina,491492.700657012
Austria,477082.46745429497,Armenia,13861.1838735931
Azerbaijan,54622.1764705882,Aruba,2496.64804469274
Bahamas,11.209,Australia,1542659.89999254
Bahrain,38868.663031914904,Austria,477082.46745429497
Bangladesh,416264.942893326,Azerbaijan,54622.1764705882
Barbados,4900.8,"Bahamas, The",11208.6
Belarus,68218.8164841226,Bahrain,38868.663031914904
Belgium,599879.02537751,Bangladesh,416264.942893326
Belize,1789.92326403,Barbados,4900.8
Benin,17785.640079119097,Belarus,68218.8164841226
Bermuda,7080.9,Belgium,599879.02537751
Bolivia,40408.208523878406,Belize,1789.92326403
Bosnia and Herzegovina,22571.512867281603,Benin,17785.640079119097
Botswana,17613.8464729916,Bermuda,7080.9
Brazil,1608981.2208121999,Bhutan,2315.43630329988
Bulgaria,80271.1194261076,Bolivia,40408.208523878406
Burkina Faso,19737.6151143661,Bosnia and Herzegovina,22571.512867281603
Cambodia,26961.0611197957,Botswana,17613.8464729916
Cameroon,45238.613479830805,Brazil,1608981.2208121999
Canada,1990761.60966523,Brunei Darussalam,14006.56957568
Cape Verde,1.7,Bulgaria,80271.1194261076
Cayman Islands,5608.9891955292,Burkina Faso,19737.6151143661
Chile,317058.50865176,Burundi,2902.02938582592
China,17734062.6453714,Cabo Verde,1936.17404345293
Colombia,314322.45322829497,Cambodia,26961.0611197957
Congo (Democratic Republic of),53958.5736930513,Cameroon,45238.613479830805
Congo (Republic of),12523.9616772966,Canada,1990761.60966523
Cook Islands,0.384,Cayman Islands,5608.9891955292
Costa Rica,64282.438666739,Central African Republic,2516.49829901212
Côte d'Ivoire,69764.8274674423,Chad,11779.9808017843
Croatia,67837.7885435852,Chile,317058.50865176
Cuba,107352,China,17734062.6453714
Curacao,3.1,Colombia,314322.45322829497
Cyprus,27719.3376700177,Comoros,1327.9642493264898
Czech Republic,282340.849856614,"Congo, Dem. Rep.",53958.5736930513
Denmark,397104.343478301,"Congo, Rep.",12523.9616772966
Dominican Republic,94243.4539374462,Costa Rica,64282.438666739
Ecuador,106165.866,Côte d'Ivoire,69764.8274674423
Egypt,404142.766093053,Croatia,67837.7885435852
