Year,Std Dev (BMI),CV (Spread),REL VOL,Estimation note: There were wild swings in the relative volatility numbers in 2020 and 2021. Rather than compute one ratio for the entire five-year period. I have broken down the relative volatilties by year and used the average across the five years. You can see why many analysts ignore the relative volatility number entirely in computing country risk premiums.
2018,0.14609025955602986,0.08372792231916389,1.744821267619014,
2019,0.10679253698365292,0.08975386284756519,1.189837780742937,
2020,0.22918086105991806,0.17254711231965128,1.32822194459766,
2021,0.14287884625137667,0.04174590698548354,3.4225833517297986,
2022,0.18670507814633716,0.1876068969838819,0.9951930400638618,
Average Relative Volatility,0.16232951639946294,0.11507634029114915,1.410624599190075,
Index:,ICE BofA Public Sector Issuers Emerg Mkts Index Option-Adjusted Spread,,,
Source:,FRED (Federal Reserve St. Louis Datasets),,,
,https://fred.stlouisfed.org/series/BAMLEMPBPUBSICRPIEY,,,
Period,Five years,"(Jan 1, 2018 - Dec 30, 2022)",,
Interval,Daily,,,
DATE,VALUE,,,
2017-12-31 00:00:00,3.75,,,
2018-01-01 00:00:00,3.75,,,
2018-01-02 00:00:00,3.75,,,
2018-01-03 00:00:00,3.74,,,
2018-01-04 00:00:00,3.74,,,
2018-01-05 00:00:00,3.74,,,
2018-01-08 00:00:00,3.74,,,
2018-01-09 00:00:00,3.76,,,
2018-01-10 00:00:00,3.78,,,
2018-01-11 00:00:00,3.77,,,
2018-01-12 00:00:00,3.78,,,
2018-01-15 00:00:00,3.78,,,
2018-01-16 00:00:00,3.77,,,
2018-01-17 00:00:00,3.78,,,
2018-01-18 00:00:00,3.8,,,
2018-01-19 00:00:00,3.82,,,
2018-01-22 00:00:00,3.83,,,
2018-01-23 00:00:00,3.81,,,
2018-01-24 00:00:00,3.81,,,
2018-01-25 00:00:00,3.8,,,
2018-01-26 00:00:00,3.81,,,
2018-01-29 00:00:00,3.85,,,
2018-01-30 00:00:00,3.86,,,
2018-01-31 00:00:00,3.88,,,
2018-02-01 00:00:00,3.91,,,
2018-02-02 00:00:00,3.94,,,
2018-02-05 00:00:00,3.96,,,
2018-02-06 00:00:00,3.95,,,
2018-02-07 00:00:00,3.95,,,
2018-02-08 00:00:00,4.01,,,
2018-02-09 00:00:00,4.07,,,
2018-02-12 00:00:00,4.05,,,
2018-02-13 00:00:00,4.05,,,
2018-02-14 00:00:00,4.08,,,
2018-02-15 00:00:00,4.09,,,
2018-02-16 00:00:00,4.06,,,
2018-02-19 00:00:00,4.06,,,
2018-02-20 00:00:00,4.09,,,
