Country,GDP (in millions) in 2022,Country Name,GDP in 2022
Abu Dhabi,299500,Afghanistan,14266.499429874573
Albania,18916.37886054883,Africa Eastern and Southern,1185137.7036509912
Andorra (Principality of),3330,Africa Western and Central,875393.6936580845
Angola,106782.77071461857,Albania,18916.37886054883
Argentina,631133.3844399444,Algeria,194998.44976908513
Armenia,19513.474648242936,American Samoa,871
Aruba,3544.7077880566426,Andorra,3352.031094229143
Australia,1692956.6468557017,Angola,106782.77071461857
Austria,470941.92675074114,Antigua and Barbuda,1867.7333333333333
Azerbaijan,78721.0588235294,Arab World,3543339.785306036
Bahamas,11210,Argentina,631133.3844399444
Bahrain,44383.29787234042,Armenia,19513.474648242936
Bangladesh,460201.2655279773,Aruba,3544.7077880566426
Barbados,5699.95,Australia,1692956.6468557017
Belarus,72793.45758843666,Austria,470941.92675074114
Belgium,583435.5955799634,Azerbaijan,78721.0588235294
Belize,2830.507575684095,"Bahamas, The",12897.4
Benin,17396.7926995489,Bahrain,44383.29787234042
Bermuda,7546,Bangladesh,460201.2655279773
Bolivia,44008.28287796064,Barbados,5699.95
Bosnia and Herzegovina,24473.906673708643,Belarus,72793.45758843666
Botswana,20355.54196285122,Belgium,583435.5955799634
Brazil,1920095.7790227288,Belize,2830.507575684095
Bulgaria,90346.16991493486,Benin,17396.7926995489
Burkina Faso,18820.06479783791,Bermuda,7546
Cambodia,29504.829319316876,Bhutan,2768.0038725406534
Cameroon,43644.06831085101,Bolivia,44008.28287796064
Canada,2137939.2200749093,Bosnia and Herzegovina,24473.906673708643
Cape Verde,1936,Botswana,20355.54196285122
Cayman Islands,6844.827379309517,Brazil,1920095.7790227288
Chile,301024.7249119234,British Virgin Islands,NA
China,17963171.47920533,Brunei Darussalam,16681.5364667183
Colombia,343622.11456040916,Bulgaria,90346.16991493486
Congo (Democratic Republic of),64718.64122121604,Burkina Faso,18820.06479783791
Congo (Republic of),14616,Burundi,3338.7228276624137
Cook Islands,1414,Cabo Verde,2226.862134087868
Costa Rica,69243.62602866962,Cambodia,29504.829319316876
Côte d'Ivoire,70019,Cameroon,43644.06831085101
Croatia,71600.04965019498,Canada,2137939.2200749093
Cuba,633442.3,Caribbean small states,94867.02497191292
Curacao,3075.180834724167,Cayman Islands,6844.827379309517
Cyprus,29250.52441808547,Central African Republic,2382.618615016939
Czech Republic,290527.55062722095,Central Europe and the Baltics,1944160.092868979
Denmark,400167.1969487074,Chad,12704.149840228298
Dominican Republic,113537.3681761303,Channel Islands,11735.662219777198
Ecuador,115049.476,Chile,301024.7249119234
Egypt,476747.72036474163,China,17963171.47920533
El Salvador,32488.72,Colombia,343622.11456040916
Estonia,38100.8129585196,Comoros,1242.5194072781496
Ethiopia,126783.4715976715,"Congo, Dem. Rep.",64718.64122121604
Fiji,4979.9795460123,"Congo, Rep.",15816.99665457879
Finland,282896.2513910517,Costa Rica,69243.62602866962
France,2779092.236505847,Cote d'Ivoire,70018.71501682934
Gabon,21071.73922489183,Croatia,71600.04965019498
Georgia,24780.79106371305,Cuba,633442.3
Germany,4082469.4907976813,Curacao,3075.180834724167
Ghana,73766.05245152555,Cyprus,29250.52441808547
Greece,217581.32451205922,Czechia,290527.55062722095
Guatemala,95003.33031587544,Denmark,400167.1969487074
Guernsey (States of),3446,Djibouti,3515.108859954648
Honduras,31717.6997643621,Dominica,607.4407407407407
Hong Kong,359838.58349006315,Dominican Republic,113537.3681761303
Hungary,177337.436677365,Early-demographic dividend,14148420.366433008
Iceland,28064.52985130985,East Asia & Pacific,30688235.798301037
India,3416645.826052874,East Asia & Pacific (excluding high income),21193771.56230424
Indonesia,1319100.2204077167,East Asia & Pacific (IDA & IBRD countries),21167325.456079353
Iraq,264182.17379310343,Ecuador,115049.476
Ireland,533140.0118382764,"Egypt, Arab Rep.",476747.72036474163
Isle of Man,6684.229268505448,El Salvador,32488.72
Israel,525002.4476527735,Equatorial Guinea,12029.633746519048
Italy,2049737.1654079845,Eritrea,NA
Jamaica,17097.760723920146,Estonia,38100.8129585196
Japan,4232173.916086674,Eswatini,4790.922065610098
Jersey (States of),4890,Ethiopia,126783.4715976715
Jordan,48653.38178063972,Euro area,14136240.266478756
Kazakhstan,225496.3289254941,Europe & Central Asia,25329956.337827034
Kenya,113420.00817879318,Europe & Central Asia (excluding high income),4129330.109662657
Korea,1673916.4690265576,Europe & Central Asia (IDA & IBRD countries),5189746.524698229
Kuwait,175363.26530612243,European Union,16746223.63045911
Kyrgyzstan,11543.966558842048,Faroe Islands,3555.9298330505053
Laos,15468.785203753174,Fiji,4979.9795460123
Latvia,40932.03004956436,Finland,282896.2513910517
Lebanon,23131.941556784346,Fragile and conflict affected situations,1906134.0568054456
Liechtenstein,7710.380085922573,France,2779092.236505847
Lithuania,70974.49045049444,French Polynesia,5814.661208905444
Luxembourg,81641.80786575908,Gabon,21071.73922489183
Macao,24042.287326572936,"Gambia, The",2187.1945634860535
Macedonia,13563.132102166315,Georgia,24780.79106371305
Malaysia,407027.451714616,Germany,4082469.4907976813
Maldives,6170.6387469650035,Ghana,73766.05245152555
Mali,18827.176529698252,Gibraltar,NA
Malta,18125.564514266385,Greece,217581.32451205922
Mauritius,12948.726653810985,Greenland,3235.8095042987143
Mexico,1465854.0892864685,Grenada,1215.379155672822
Moldova,14508.333280423281,Guam,6123
Mongolia,17146.471626396327,Guatemala,95003.33031587544
Montenegro,6229.8015807915735,Guinea,20999.229260495544
Montserrat,16199,Guinea-Bissau,1633.559092088606
Morocco,130912.55882983979,Guyana,14718.388489208633
Mozambique,18406.835954669532,Haiti,20253.551884605487
Namibia,12914.932655685012,Heavily indebted poor countries (HIPC),980688.3712425721
Netherlands,1009398.7190330778,High income,61667467.133645326
New Zealand,248101.70554139902,Honduras,31717.6997643621
Nicaragua,15671.583939988886,"Hong Kong SAR, China",359838.58349006315
Niger,15342.278919400891,Hungary,177337.436677365
Nigeria,472624.5974028978,IBRD only,37752366.42836997
Norway,579422.4495102711,Iceland,28064.52985130985
Oman,114667.36020806243,IDA & IBRD total,40573962.1636075
Pakistan,374697.366359244,IDA blend,1175091.8145281216
Panama,76522.5118,IDA only,1647744.3715502273
Papua New Guinea,31603.619041790265,IDA total,2822821.7793260487
Paraguay,41722.295229227944,India,3416645.826052874
Peru,242631.57332078982,Indonesia,1319100.2204077167
Philippines,404284.3261104627,"Iran, Islamic Rep.",413493.2073492653
Poland,688125.0105205204,Iraq,264182.17379310343
Portugal,255196.66098742705,Ireland,533140.0118382764
Qatar,236258.30283965328,Isle of Man,6684.229268505448
Ras Al Khaimah (Emirate of),11000,Israel,525002.4476527735
Romania,300691.3548648547,Italy,2049737.1654079845
Russia,2240422.427458579,Jamaica,17097.760723920146
Rwanda,13311.487445068627,Japan,4232173.916086674
Saudi Arabia,1108571.5172853814,Jordan,48653.38178063972
Senegal,27684.264748232432,Kazakhstan,225496.3289254941
Serbia,63563.401043504426,Kenya,113420.00817879318
Sharjah,24800,Kiribati,223.35301429459292
Singapore,466788.4267919664,"Korea, Dem. People's Rep.",0
Slovakia,115461.71168896543,"Korea, Rep.",1673916.4690265576
Slovenia,60063.47546634459,Kosovo,9409.473517953038
Solomon Islands,1597.2043406290234,Kuwait,175363.26530612243
South Africa,405270.8500993871,Kyrgyz Republic,11543.966558842048
Spain,1417800.4662626514,Lao PDR,15468.785203753174
Sri Lanka,74403.57836343547,Late-demographic dividend,28075737.913541492
St. Maarten,11900,Latin America & Caribbean,6820032.324993655
St. Vincent & the Grenadines,8100,Latin America & Caribbean (excluding high income),5844139.513999469
Suriname,3620.987993326366,Latin America & the Caribbean (IDA & IBRD countries),6001569.526439768
Swaziland,4790.922065610098,Latvia,40932.03004956436
Sweden,591188.5947765514,Least developed countries: UN classification,1427108.9291987366
Switzerland,818426.5502064498,Lebanon,23131.941556784346
Taiwan,761690,Lesotho,2236.5021241695613
Tajikistan,10492.12338779312,Liberia,4001.04697
Tanzania,75732.31166603902,Libya,45752.33603598456
Thailand,495423.3430496215,Liechtenstein,7710.380085922573
Togo,8341.225241456936,Lithuania,70974.49045049444
Trinidad and Tobago,30053.575132141956,Low & middle income,39309792.04829513
Tunisia,46303.55244935424,Low income,528124.562231918
Turkey,907118.4359526879,Lower middle income,8171521.483867565
Turks and Caicos Islands,1138.8088811,Luxembourg,81641.80786575908
Uganda,45567.30460847645,"Macao SAR, China",24042.287326572936
Ukraine,160502.73725104667,Madagascar,15297.192798977121
United Arab Emirates,507063.9682733125,Malawi,13164.6676269363
United Kingdom,3089072.722400136,Malaysia,407027.451714616
United States of America,25439700,Maldives,6170.6387469650035
Uruguay,71177.14619749512,Mali,18827.176529698252
Uzbekistan,80391.8538874049,Malta,18125.564514266385
Venezuela,98400,Marshall Islands,258.774475097656
Vietnam,408802,Mauritania,9780.863578976881
Zambia,29163.78213834149,Mauritius,12948.726653810985
,,Mexico,1465854.0892864685
,,"Micronesia, Fed. Sts.",424
Algeria,194998.44976908513,Middle East & North Africa,4426622.170626184
Brunei,14010,Middle East & North Africa (excluding high income),1696713.423184709
Gambia,2038,Middle East & North Africa (IDA & IBRD countries),1677609.7839466755
Guinea,20999.229260495544,Middle income,38780979.64537551
Guinea-Bissau,1633.559092088606,Moldova,14508.333280423281
Guyana,14718.388489208633,Monaco,8784.002931686646
Haiti,20253.551884605487,Mongolia,17146.471626396327
Iran,413493.2073492653,Montenegro,6229.8015807915735
"Korea, D.P.R.",28500,Morocco,130912.55882983979
Liberia,4001.04697,Mozambique,18406.835954669532
Libya,45752.33603598456,Myanmar,62263.46626373751
Madagascar,15297.192798977121,Namibia,12914.932655685012
Malawi,13164.6676269363,Nauru,151.64784612895292
Myanmar,62263.46626373751,Nepal,40828.247303533746
Sierra Leone,4094.5638594355637,Netherlands,1009398.7190330778
Somalia,10419.541202038166,New Caledonia,9623.318718314595
Sudan,51662.24177506288,New Zealand,248101.70554139902
Syria,8969.512933388261,Nicaragua,15671.583939988886
"Yemen, Republic",21610,Niger,15342.278919400891
Zimbabwe,27366.627153085246,Nigeria,472624.5974028978
,,North America,27585185.220074907
,,North Macedonia,13563.132102166315
,,Northern Mariana Islands,858
,,Norway,579422.4495102711
,,Not classified,NA
,,OECD members,59787849.61504311
,,Oman,114667.36020806243
,,Other small states,530807.1581644141
,,Pacific island small states,10324.33223178023
,,Pakistan,374697.366359244
,,Palau,232.903015625
,,Panama,76522.5118
,,Papua New Guinea,31603.619041790265
,,Paraguay,41722.295229227944
,,Peru,242631.57332078982
,,Philippines,404284.3261104627
,,Poland,688125.0105205204
,,Portugal,255196.66098742705
,,Post-demographic dividend,56661681.23627753
,,Pre-demographic dividend,1617245.6416055914
,,Puerto Rico,113434.8
,,Qatar,236258.30283965328
,,Romania,300691.3548648547
,,Russian Federation,2240422.427458579
,,Rwanda,13311.487445068627
,,Samoa,832.9452056371847
,,San Marino,1855.3828331164991
,,Sao Tome and Principe,542.6869764575872
,,Saudi Arabia,1108571.5172853814
,,Senegal,27684.264748232432
,,Serbia,63563.401043504426
,,Seychelles,1588.4381443768475
,,Sierra Leone,4094.5638594355637
,,Singapore,466788.4267919664
,,Sint Maarten (Dutch part),1537.0887244612625
,,Slovak Republic,115461.71168896543
,,Slovenia,60063.47546634459
,,Small states,636018.280142001
,,Solomon Islands,1597.2043406290234
,,Somalia,10419.541202038166
,,South Africa,405270.8500993871
,,South Asia,4390347.563465912
,,South Asia (IDA & IBRD),4390347.563465913
,,South Sudan,11997.800760224181
,,Spain,1417800.4662626514
,,Sri Lanka,74403.57836343547
,,St. Kitts and Nevis,965.6388649218667
,,St. Lucia,2343.7037037037035
,,St. Martin (French part),649.2062628475188
,,St. Vincent and the Grenadines,948.5592592592592
,,Sub-Saharan Africa,2060531.3973090753
,,Sub-Saharan Africa (excluding high income),2058942.9591646981
,,Sub-Saharan Africa (IDA & IBRD countries),2060531.3973090756
,,Sudan,51662.24177506288
,,Suriname,3620.987993326366
,,Sweden,591188.5947765514
,,Switzerland,818426.5502064498
,,Syrian Arab Republic,8969.512933388261
,,Tajikistan,10492.12338779312
,,Tanzania,75732.31166603902
,,Thailand,495423.3430496215
,,Timor-Leste,3204.753
,,Togo,8341.225241456936
,,Tonga,469.2282196657909
,,Trinidad and Tobago,30053.575132141956
,,Tunisia,46303.55244935424
,,Turkiye,907118.4359526879
,,Turkmenistan,56542.85714285714
,,Turks and Caicos Islands,1138.8088811
,,Tuvalu,59.065979022767934
,,Uganda,45567.30460847645
,,Ukraine,160502.73725104667
,,United Arab Emirates,507063.9682733125
,,United Kingdom,3089072.722400136
,,United States,25439700
,,Upper middle income,30609458.16150794
,,Uruguay,71177.14619749512
,,Uzbekistan,80391.8538874049
,,Vanuatu,1055.8117237475283
,,"Venezuela, RB",482359.31876770314
,,Viet Nam,408802.3789048379
,,Virgin Islands (U.S.),4444
,,West Bank and Gaza,19111.9
,,World,101325686.72463019
,,"Yemen, Rep.",21606.16077717191
,,Zambia,29163.78213834149
,,Zimbabwe,27366.627153085246
