Company Name,Exchange:Ticker,Industry Classifications,Market Cap Class,Enterprise Value,Market Cap,Invested Capital,PE,PBV,EV/EBITDAR,EV/EBITDA,EV/EBIT,EV/Sales,EV/Invested Capital,ROE,ROIC,R&D/Sales,Operating Margin adjusted for R&D,Dividend Payout Rate,(Dividends + Buybacks)/ Net Income,Revenue Growth Rate (last 5 years),Expcted growth in EPS,Operating Margin,R&D Effect on Earnings,EBITDAR
"Mistral Ventures, Inc. (OTCPK:MILV)",OTCPK:MILV,Pharmaceuticals (Primary),1,0.001,0.001,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Allon Therapeutics, Inc. (OTCPK:NPCU.F)",OTCPK:NPCU.F,Biotechnology (Primary),1,0.001,0.001,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.0329999999999995,0
"Neuro-Hitech, Inc. (OTCPK:NHPI)",OTCPK:NHPI,Pharmaceuticals (Primary),1,0.003,0.003,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.8429,0
Panacos Pharmaceuticals Inc. (OTCPK:PANC),OTCPK:PANC,Biotechnology (Primary),1,0.005,0.005,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.7,0
Puramed Bioscience Inc (OTCPK:PMBS),OTCPK:PMBS,Pharmaceuticals (Primary),1,1.411,0.02,-3.7489999999999997,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,-0.0299,0
ReGen Biologics Inc. (OTCPK:RGBO.Q),OTCPK:RGBO.Q,Biotechnology (Primary),1,0.026,0.026,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.233,0
"Tengion, Inc. (OTCPK:TNGN.Q)",OTCPK:TNGN.Q,Biotechnology (Primary),1,5.532,0.032,-11.399999999999999,NA,NA,NA,NA,NA,NA,NA,3.8106508875739653,NA,NA,NA,NA,NA,NA,NA,NA,-1.727999999999998,-8.129999999999999
Genitope Corp. (OTCPK:GTOP.Q),OTCPK:GTOP.Q,Biotechnology (Primary),1,0.034,0.034,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10.91,0
"Manzo Pharmaceuticals, Inc. (OTCPK:MNZO)",OTCPK:MNZO,Pharmaceuticals (Primary),1,0.039,0.039,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Curaxis Pharmaceutical Corporation (OTCPK:CURX.Q),OTCPK:CURX.Q,Pharmaceuticals (Primary),1,0.042,0.042,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.4478,0
Neurologix Inc. (OTCPK:NRGX.Q),OTCPK:NRGX.Q,Biotechnology (Primary),1,0.042,0.042,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.852,0
Unigene Laboratories Inc. (OTCPK:UGNE.Q),OTCPK:UGNE.Q,Biotechnology (Primary),1,0.048,0.048,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.493,0
"SOHM, Inc. (OTCPK:SHMN)",OTCPK:SHMN,Pharmaceuticals (Primary),1,0.05,0.05,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Integrated Pharmaceuticals, Inc. (OTCPK:INTP)",OTCPK:INTP,Pharmaceuticals (Primary),1,0.052,0.052,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0698,0
"Thomas Pharmaceuticals, Ltd. (OTCPK:TPHM)",OTCPK:TPHM,Pharmaceuticals (Primary),1,0.054,0.054,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Nanobac Pharmaceuticals, Incorporated (OTCPK:NNBP)",OTCPK:NNBP,Biotechnology (Primary),1,0.055,0.055,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.434,0
"Bionovo, Inc. (OTCPK:BNVI.Q)",OTCPK:BNVI.Q,Biotechnology (Primary),1,0.056,0.056,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.45,0
Duravest Inc. (OTCPK:DUVT),OTCPK:DUVT,Biotechnology (Primary),1,0.056,0.056,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Proteonomix, Inc. (OTCPK:PROT)",OTCPK:PROT,Biotechnology (Primary),1,0.059,0.059,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.1243,0
"DNAPrint Genomics, Inc. (OTCPK:DNAG)",OTCPK:DNAG,Biotechnology (Primary),1,0.064,0.064,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.8550000000000001,0
"Advanced Life Sciences Holdings, Inc. (OTCPK:ADLS)",OTCPK:ADLS,Biotechnology (Primary),1,0.065,0.065,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.797999999999999,0
Protect Pharmaceutical Corporation (OTCPK:PRTT),OTCPK:PRTT,Pharmaceuticals (Primary),1,0.066,0.067,-0.122,0.14660831509846828,NA,NA,NA,NA,NA,NA,-3.7768595041322315,NA,NA,NA,0,0,NA,NA,NA,-0.1351,0
"Premier Biomedical, Inc. (OTCPK:BIEI)",OTCPK:BIEI,Biotechnology (Primary),1,-0.013999999999999999,0.074,-0.156,NA,NA,NA,NA,NA,NA,NA,45.588235294117645,NA,NA,NA,NA,NA,NA,NA,NA,0.2659,-2.6750000000000003
"VIA Pharmaceuticals, Inc. (OTCPK:VIAP)",OTCPK:VIAP,Biotechnology (Primary),1,0.082,0.082,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.206999999999999,0
Bell Rose Capital Inc. (OTCPK:BELR),OTCPK:BELR,Pharmaceuticals (Primary),1,0.089,0.089,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"ARYx Therapeutics, Inc. (OTCPK:ARYX)",OTCPK:ARYX,Pharmaceuticals (Primary),1,0.09,0.09,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-13.23,0
Cellcyte Genetics Corporation (OTCPK:CCYG),OTCPK:CCYG,Biotechnology (Primary),1,0.091,0.091,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.1297,0
"Therapy Cells, Inc. (OTCPK:TCEL)",OTCPK:TCEL,Biotechnology (Primary),1,0.096,0.096,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Protein Polymer Technologies Inc. (OTCPK:PPTI.Q),OTCPK:PPTI.Q,Biotechnology (Primary),1,0.102,0.102,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Immunotech Laboratories, Inc. (OTCPK:IMMB)",OTCPK:IMMB,Biotechnology (Primary),1,0.106,0.106,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Mera Pharmaceuticals, Inc. (OTCPK:MRPI)",OTCPK:MRPI,Biotechnology (Primary),1,0.111,0.111,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.1445,0
AtheroNova Inc. (OTCPK:AHRO.Q),OTCPK:AHRO.Q,Pharmaceuticals (Primary),1,0.615,0.128,-2.013,NA,NA,NA,NA,NA,NA,NA,4.24,NA,NA,NA,NA,NA,NA,NA,NA,4.4688,-1.9900000000000002
"MabCure, Inc. (OTCPK:MBCI)",OTCPK:MBCI,Biotechnology (Primary),1,0.129,0.129,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.1259,0
