Company Name,Exchange:Ticker,Geographic Locations,Market Cap,PE,PBV,EV/Invested Capital,EV/Sales,EV/EBITDA,EV/EBITDAR,Expected growth in EPS - Next 5 years,CAGR- Revenues,Beta,Standard devaition in stock price,ROE,ROIC,Operating Margin,EBITDAR/Sales,Net Margin,Debt/Capital (Book),Debt/Capital (Market),Invested Capital,Capitalized R&D,Std Dev in EBITDAR (Last 10 years),Average EBIT (Last 10 years),CV in EBIT,"Market Capitalization [My Setting] [Latest] ($USDmm, Historical rate)","Total Debt [Latest Annual] ($USDmm, Historical rate)","Total Cash & ST Investments [Latest Annual] ($USDmm, Historical rate)","EBITDA [LTM] ($USDmm, Historical rate)","Total Revenue [LTM] ($USDmm, Historical rate)","EBIT [LTM] ($USDmm, Historical rate)","Total Equity [Latest Annual] ($USDmm, Historical rate)","Common Dividends Paid [LTM] ($USDmm, Historical rate)","Repurchase of Common Stock [LTM] ($USDmm, Historical rate)","Issuance of Common Stock [LTM] ($USDmm, Historical rate)",Primary Industry,Primary Sector,"Total Enterprise Value [My Setting] [Latest] ($USDmm, Historical rate)",Float % [Latest],"Daily Value Traded [Latest - 1 Year(s)] ($USDmm, Historical rate)","Net Income [LTM] ($USDmm, Historical rate)",LT EPS Growth Rate - Capital IQ [Latest] (%),"Total Revenues, 5 Yr CAGR % [LTM] (%)","EBITDA, 5 Yr CAGR % [LTM] (%)","Net Income, 5 Yr CAGR % [LTM] (%)",Effective Tax Rate [LTM] (%),"R&D Expense [LTM - 40] ($USDmm, Historical rate)","R&D Expense [LTM - 36] ($USDmm, Historical rate)","R&D Expense [LTM - 32] ($USDmm, Historical rate)","R&D Expense [LTM - 28] ($USDmm, Historical rate)","R&D Expense [LTM - 24] ($USDmm, Historical rate)","R&D Expense [LTM - 20] ($USDmm, Historical rate)","R&D Expense [LTM - 16] ($USDmm, Historical rate)","R&D Expense [LTM - 12] ($USDmm, Historical rate)","R&D Expense [LTM - 8] ($USDmm, Historical rate)","R&D Expense [LTM - 4] ($USDmm, Historical rate)","R&D Expense [LTM] ($USDmm, Historical rate)",2 Year Beta R-Squared [Latest],2 Year Beta [Latest],"Day Close Price [Latest] ($USD, Historical rate)","52 Week Low Price [Latest] ($USD, Historical rate)","52 Week High Price [Latest] ($USD, Historical rate)","EBITDAR (Excl. SBC and Incl. Equity Inc. from Affiliates) [LTM - 40] ($USDmm, Historical rate)","EBITDAR (Excl. SBC and Incl. Equity Inc. from Affiliates) [LTM - 36] ($USDmm, Historical rate)","EBITDAR (Excl. SBC and Incl. Equity Inc. from Affiliates) [LTM - 32] ($USDmm, Historical rate)","EBITDAR (Excl. SBC and Incl. Equity Inc. from Affiliates) [LTM - 28] ($USDmm, Historical rate)","EBITDAR (Excl. SBC and Incl. Equity Inc. from Affiliates) [LTM - 24] ($USDmm, Historical rate)","EBITDAR (Excl. SBC and Incl. Equity Inc. from Affiliates) [LTM - 20] ($USDmm, Historical rate)","EBITDAR (Excl. SBC and Incl. Equity Inc. from Affiliates) [LTM - 16] ($USDmm, Historical rate)","EBITDAR (Excl. SBC and Incl. Equity Inc. from Affiliates) [LTM - 12] ($USDmm, Historical rate)","EBITDAR (Excl. SBC and Incl. Equity Inc. from Affiliates) [LTM - 8] ($USDmm, Historical rate)","EBITDAR (Excl. SBC and Incl. Equity Inc. from Affiliates) [LTM - 4] ($USDmm, Historical rate)","EBITDAR (Excl. SBC and Incl. Equity Inc. from Affiliates) [LTM] ($USDmm, Historical rate)","EBIT [LTM - 36] ($USDmm, Historical rate)","EBIT [LTM - 32] ($USDmm, Historical rate)","EBIT [LTM - 28] ($USDmm, Historical rate)","EBIT [LTM - 24] ($USDmm, Historical rate)","EBIT [LTM - 20] ($USDmm, Historical rate)","EBIT [LTM - 16] ($USDmm, Historical rate)","EBIT [LTM - 12] ($USDmm, Historical rate)","EBIT [LTM - 8] ($USDmm, Historical rate)","EBIT [LTM - 4] ($USDmm, Historical rate)","EBIT [LTM] ($USDmm, Historical rate)"
Johnson & Johnson (NYSE:JNJ),NYSE:JNJ,United States of America (Primary),317213.8,19.89924095100684,4.458380885453267,2.854666338806083,4.175316712060898,12.578657689880075,3.694438539684109,0.0635,0.021400000000000002,0.696,0.22675115040618052,0.22404778636683065,0.3141287168041159,0.2319625253160137,0.4620993086109365,0.22265521335288777,0.2202910621137071,0.05959400656595393,169202.5,116334.5,1982.5262251312902,17642.3,0.11237345613277692,317213.8,20102,38384,23765,71595,20033,71150,-8523,-8850,1857,Pharmaceuticals,Healthcare,303718.8,100,,15941,6.35,2.14,4.08,6.94,17.1,7093,7398,7797,6881,7075,7375,7489,8103,8270,8817,9319,0.456,0.696,116.6,94.3,126.07,0,0,0,0,0,0,0,0,0,0,0,14972,16306,16303,16595,16378,16973,18748,21265,18850,20033
Pfizer Inc. (NYSE:PFE),NYSE:PFE,United States of America (Primary),196493.3,31.7796053695617,3.023066863595803,2.5931925318288114,3.9877223296959223,10.627605365902491,3.483426030746009,0.0747,-0.0434,0.776,0.314855103268824,0.09512600387704237,0.15497850859285103,0.23525774280187067,0.5199932385477903,0.11612794170125651,0.3757095519377611,0.1660241508966289,193764.6,112941.6,1896.917604958104,16355.2,0.11598253796701379,196493.3,39117,23292,19978,53243,14548,64998,0,-5000,1044,Pharmaceuticals,Healthcare,226465.3,99.9,,6183,7.47,-4.34,-3.38,-11.6,13.9,7156,8241,7902,7335,9403,9289,8048,6913,6995,8551,7708,0.294,0.776,32.38,28.3,37.39,0,0,0,0,0,0,0,0,0,0,0,14472,15045,17145,20278,16201,18233,17201,15913,14516,14548
"Merck & Co., Inc. (NYSE:MRK)",NYSE:MRK,United States of America (Primary),175160.9,31.89382738528769,3.9127236580516898,2.8988157849269154,4.717766306662991,12.42554778247096,4.009709502917749,0.0852,-0.0356,0.83,0.3183485119738866,0.12267965242254339,0.1333659594319085,0.19342358483474076,0.5562683238529581,0.137619966421931,0.3721758642451441,0.13157235859987337,154666.66,96788.66,2237.8772470555386,8455.18,0.26467529337702317,175160.9,26538,13427,15152,39907,9565,44767,-5116,-3599,841,Pharmaceuticals,Healthcare,187450.9,94.5,,5492,8.52,-3.56,-4.13,5.37,19.3,4171.9,4461.5,4475.4,5260.1,8307.5,8080,7943,7604,6681,7114,7047,0.329,0.83,63.53,48,65.46,0,0,0,0,0,0,0,0,0,0,0,6052.4,6191.8,6287.8,6315.8,12130,11461,8900,9399,8249,9565
Bristol-Myers Squibb Company (NYSE:BMY),NYSE:BMY,United States of America (Primary),94524.8,28.08223410576352,6.553300055463117,5.0323600973236005,5.248865789616155,16.991202243252715,4.079261160432533,0.156,-0.024399999999999998,0.854,0.4287754754336275,0.2333610648918469,0.23967313512551183,0.21865259054734448,0.595636403010124,0.18223160630177035,0.31707778987737323,0.06616163711769599,82373.29999999999,65522.299999999996,1373.0656737550626,4619.3,0.2972453994663829,94524.8,6697,4270,5706,18471,5218,14424,-2530,-231,179,Pharmaceuticals,Healthcare,95958.8,91.7,,3366,15.6,-2.44,-5.56,0.155,22.6,3021,3083,3331,3609,3664,3803,3830,3714,3959,5193,5296,0.192,0.854,56.56,49,77.12,0,0,0,0,0,0,0,0,0,0,0,2505,4671,4770,6087,6877,5432,2873,3708,4052,5218
Eli Lilly and Company (NYSE:LLY),NYSE:LLY,United States of America (Primary),81276.7,33.25288437934703,5.57059827419587,4.717068674313091,4.069827040101356,16.77058160460379,3.2523403912604936,0.13699999999999998,-0.0313,0.618,0.3714144163286024,0.16752225793849337,0.1641342300771634,0.1427104169466147,0.4940299080490661,0.11729982915170943,0.3535304751608387,0.08939383075123578,81933.92,63816.52000000001,1243.3887465757043,5136.020000000001,0.24209188176364266,81276.7,7978.9,4451.8,5056.7,20837.2,3561.3,14590.3,-2150.7,-553,0,Pharmaceuticals,Healthcare,86419.5,87.8,,2444.2,13.7,-3.13,-8.77,-12.1,16.5,3081.2,3391.1,3735.2,4169.1,4662.8,5103.6,5170.3,5519,5023.3,4537.9,5237.5,0.134,0.618,77.02,67.9,88.16,0,0,0,0,0,0,0,0,0,0,0,4653,5283.2,6546.3,6577.1,6609.7,4983,5823.3,3439.4,3883.9,3561.3
Zoetis Inc. (NYSE:ZTS),NYSE:ZTS,United States of America (Primary),24177.9,35.091291727140785,22.161228230980754,2.7784391259105097,5.7097031729785055,17.13261670761671,5.300627137970354,0.125,0,0.797,0.32786721045616585,0.6315307057745188,0.18788178980228928,0.18480491299897647,0.4104401228249744,0.14104401228249744,0.8169155898640712,0.16759680367969318,9636.4,4831.4,348.4396169591894,1003.1666666666666,0.3473397078842227,24177.9,4868,1154,1628,4885,1404,1091,-182,-278,31,Pharmaceuticals,Healthcare,28010.9,100,,689,12.5,,,,35.7,,,,,,411,407,399,393,379,377,0.286,0.797,48.96,38.3,53.14,,,,,,628,0,0,0,0,0,,,,,408,871,957,1150,1229,1404
"Valeant Pharmaceuticals International, Inc. (NYSE:VRX)",NYSE:VRX,Canada (Primary),6101.6,NA,1.0119075259544263,1.9316351956714601,3.6506045732072305,8.609119141727838,3.5024167998698275,0.122,0.344,0.293,1.176873201892767,-0.37817174698994993,0.036631581253217374,0.13346502254678957,0.46634941537970387,-0.22749311624566027,0.8376191976560374,0.8360027415301502,40053.49,3533.0899999999997,886.17159869482,985.53,0.8991827734262985,6101.6,31103.9,613.3,4250.4,10023.6,1337.8,6029.8,0,-22.4,33.3,Pharmaceuticals,Healthcare,35993.6,86.9,,-2280.3,12.2,34.4,32.2,,0,93.4,117.2,106,60,53.7,66.8,75.7,117.5,246.4,297.6,424.1,0.003,0.293,17.55,13.8,119.87,0,0,0,0,0,0,0,0,0,0,0,375.8,229.3,229.6,274,515.5,850.5,1097,2122.1,2823.7,1337.8
"Catalent, Inc. (NYSE:CTLT)",NYSE:CTLT,United States of America (Primary),3151.1,30.240882917466408,4.955338889762541,1.9963971583220566,2.6133990253306916,13.439823740016523,2.5407403550788774,0.0882,0,1.06,0.6492824900903955,0.1638622424909577,0.07188049729364004,0.09103143576286618,0.22304932255127724,0.05580249558185616,0.7452731933984938,0.3712387261553196,2992.1800000000003,627.3800000000001,26.324814022768212,248.875,0.10577524469218769,3151.1,1860.5,131.6,363.1,1867.3,222.2,635.9,0,-8.7,0,Pharmaceuticals,Healthcare,4948.5,99.6,,104.2,8.82,,,,23.5,,,,,,,,49.2,52.3,55.3,53.4,0.129,1.06,25.26,18.9,32.24,,,,,,,,0,0,0,0,,,,,,,230.4,269.6,273.3,222.2
Indivior PLC (LSE:INDV),LSE:INDV,United States of America (Primary),3117,NA,NA,NA,3.108882521489971,17.13157894736842,2.7329974811083124,0.0030399999999999997,0,0.517,0.6358259294020653,0.021505376344086023,0.11049645390070918,-0.014880611270296079,0.31900668576886343,-0.0057306590257879654,1.8558282208588956,0.16254701773240193,1369.2,1510.2,231.27472840758023,408,0.566849824528383,3117,605,467,190,1047,164,-279,-92,0,0,Pharmaceuticals,Healthcare,3078.7,86.3,,-6,0.304,,,,109.5,,,,,,,,,99,143,144,0.032,0.517,4.33,1.58,4.69,,,,,,,,,0,0,0,,,,,,,,624,436,164
"Akorn, Inc. (NasdaqGS:AKRX)",NasdaqGS:AKRX,United States of America (Primary),2875.5,15.576923076923077,4.625965250965251,1.853055514213425,3.2318541142651815,7.732000859660435,3.1143524930747923,0.095,0.5660000000000001,1.14,1.0504856019955722,0.29697554697554696,0.19036761422830778,0.22980237154150193,0.45571325907294286,0.1658282429033417,0.6334905660377359,0.27200688625028485,1767.936,424.13599999999997,139.0163531907108,89.499,1.5532726979151812,2875.5,1074.4,352.2,465.3,1113.2,376.2,621.6,0,-25,8.89,Pharmaceuticals,Healthcare,3509,65.1,,184.6,9.5,56.6,71.7,24.8,32,7.12,11.3,6.29,5.74,6.19,9.64,13.6,21.9,26.8,36.2,42,0.057,1.14,22.96,17.6,39.46,0,0,0,0,0,0,0,0,0,0,0,-21.1,-10.7,-12.9,7.59,26.3,69.9,84.7,67.8,307.2,376.2
