Company Name,Price,DCF Model,DCF Value,Multiple used,Relative Value,Option Value,Recommendation,% Under or over,% Under or Over: Relative
1-800-Flowers.com,7.87,FCFF,8.71,PBV,8.2,,Hold to Buy,-0.09644087256027567,-0.040243902439024315
Accenture,105.3,FCFE,111.01,P/E,118.64,,Buy,-0.05143680749482038,-0.11244099797707352
"Activision Blizzard, Inc.",37.22,FCFF,23.79,VS,26.18,,Sell,0.564522908785204,0.42169595110771585
Ajanta Pharma Ltd.,1262.4,FCFF,1379.6,PS,1188.68,,Buy,-0.08495216004639017,0.06201837332166771
Amazon,640.15,FCFF,195.61,VS,210.34,,Sell,2.2725832012678286,2.0434059142340972
Amazon,640.15,FCFF,253.32,Price/Sales,183.9,,Sell,1.5270408968893099,2.480967917346384
Amazon,640.15,FCFF,229.96,EV/Sales,406.21,,Sell,1.7837449991302834,0.5759090125797002
Amazon,640.15,FCFF,259.87,VS,304.85,,Sell,1.4633470581444565,1.099885189437428
Amazon (AMZN),640.15,FCFF,158.55,PBV,464.2,,Sell,3.037527593818984,0.37903920723825935
Angie's List,9.38,FCFF,6.79,P/BV ,-1.59,,Sell,0.38144329896907236,1
Anheuser-Busch InBev SA,122.6,FCFF,106.57,EV/EBITDA,201.94,,Buy,0.15041756591911426,-0.39288897692383884
AquaChile S.A.,0.28,FCFF,0.21,EV/Sales,0.12,,Sell,0.3333333333333335,1.3333333333333335
ArcelorMittal,3.95,FCFF,5.05,Normalized PE,21.85,,Hold,-0.2178217821782178,-0.8192219679633868
"Ariad pharmaceutical, Inc",6.97,FCFF,4.91,PBV,0,5.3,Sell,0.4195519348268839,1
Asos,33.28,FCFF,14.69,P/BV ,32.69,,Sell,1.2654867256637168,0.018048332823493496
ASOS,34.78,FCFF,35.7,VEBITDA,41.19,,Buy,-0.02577030812324932,-0.15562029618839512
Astoria Bank,15.84,Dividends,13.33,P/E,10.36,,Sell,0.18829707426856723,0.528957528957529
AT&T,$33.42,FCFF,$33.35,EV/EBITDA,$31.53,,Hold,0.0020989505247377416,0.05994291151284492
BAE Systems PLC,4.9,FCFF,4.12,VEBITDA,4.28,,Sell,0.1893203883495147,0.1448598130841121
Balkrishna Industries Limited,651.95,FCFF,710.46,VEBITDA,670.03,,Buy,-0.08235509388283646,-0.026983866394041933
"Barracuda Networks, Inc.",17.22,FCFF,19.5,EV/Sales,20.06,,Buy,-0.11692307692307702,-0.14157527417746762
Biosev,1.26,FCFF,1.2,EV/Sales,0.55,0.48,Sell,0.050000000000000044,1.2909090909090906
Blackberry Limited,7.68,FCFF,10.79,PBV,13.79,,Buy,-0.2882298424467099,-0.4430746918056563
BlackBerry Limited,7.68,FCFF,6.34,VS,6.51,,HOLD,0.21135646687697163,0.17972350230414746
BlackRock,322.78,Dividends,303.74,P/E,315.42,,Sell,0.06268519128201744,0.02333396740853444
BMW,97.27,FCFF,105.84,PB,121.96,,Buy,-0.08097127739984888,-0.20244342407346672
Box,13.13,FCFF,12.98,EV/Sales,12.73,,Sell,0.011556240369799742,0.03142183817753352
