Company Name,Exchange:Ticker,Geographic Region,Trailing PE,Expected growth rate,Emerging Market Dummy,ROE,Debt/Equity Ratio,Payout Ratio,"Market Capitalization [Latest] ($USDmm, Historical rate)"
Usher Agro Limited (BSE:532765),BSE:532765,Asia / Pacific,2.125,0.14,1,0.138,7.34640522875817,0,15.3
Gujarat Ambuja Exports Limited (BSE:524226),BSE:524226,Asia / Pacific,2.9375,0.41,1,0.18600000000000003,0.553191489361702,0.0956,61.1
Dean Foods Company (NYSE:DF),NYSE:DF,United States and Canada,3.7031780931441136,0.136,0,0.141,1.7260754574404922,0,1852.7
Chordia Food Products Limited (BSE:519475),BSE:519475,Asia / Pacific,3.839285714285714,0.11,1,0.08539999999999999,0.3738372093023256,0,1.72
China Minzhong Food Corporation Limited (SGX:K2N),SGX:K2N,Asia / Pacific,4.762408462164361,0.2,1,0.18100000000000002,0.176832393644285,0,585.3
Sino Grandness Food Industry Group Limited (SGX:T4B),SGX:T4B,Asia / Pacific,6.434535104364326,0.24,1,0.35600000000000004,0.1781185491005603,0,339.1
Avanti Feeds Ltd. (BSE:512573),BSE:512573,Asia / Pacific,6.492805755395684,0.27,1,0.284,0.31024930747922436,0.196,36.1
MHP S.A. (LSE:MHPC),LSE:MHPC,Europe,7.759063790729693,0.158,0,0.205,0.6917253208730112,0.354,1690.7
Kernel Holding S.A. (WSE:KER),WSE:KER,Europe,8.273338312173262,0.04,0,0.121,0.6838779563098033,0,1107.8
Honeywell Flour Mills Plc (NGSE:HONYFLOUR),NGSE:HONYFLOUR,Africa / Middle East,8.29050279329609,0.16,1,0.161,1.320754716981132,0.418,148.4
La Doria SpA (BIT:LD),BIT:LD,Europe,8.467391304347828,0.23199999999999998,0,0.14800000000000002,1.164313222079589,0.131,155.8
Premier Foods plc (LSE:PFD),LSE:PFD,Europe,9.094193548387096,0.016,0,0.11,2.3593927355278095,0,704.8
McLeod Russel India Limited (BSE:532654),BSE:532654,Asia / Pacific,10.051485148514852,0.18,1,0.15,0.09022852639873916,0.182,507.6
First Resources Ltd. (SGX:EB5),SGX:EB5,Asia / Pacific,10.132020117351216,0.115,1,0.22,0.22262668045501552,0.21600000000000003,2417.5
TS Corporation (KOSE:A001790),KOSE:A001790,Asia / Pacific,10.461538461538463,0.07200000000000001,1,0.043899999999999995,2.5073529411764706,0.237,176.8
KTG Agrar AG (DB:7KT),DB:7KT,Europe,10.813953488372093,0.061,0,0.10300000000000001,3.171326164874552,0.10300000000000001,139.5
Khon Kaen Sugar Industry Public Company Limited (SET:KSL),SET:KSL,Asia / Pacific,10.919811320754716,0.1,1,0.151,0.6580273578113751,0.408,694.5
Bonduelle SA (ENXTPA:BON),ENXTPA:BON,Europe,11.076809453471196,0.0895,0,0.102,1.1009467929057208,0.215,749.9
Kaveri Seed Company Limited (BSE:532899),BSE:532899,Asia / Pacific,11.10062893081761,0.489,1,NA,0.001611898016997167,0,353
Ros Agro PLC (LSE:AGRO),LSE:AGRO,Europe,11.522022838499185,0.10800000000000001,0,0.07,2.2501769786209826,0.00010999999999999999,706.3
ORIOR AG (SWX:ORON),SWX:ORON,Europe,11.831541218637994,0.028999999999999998,0,0.139,0.3571644956073917,0.43700000000000006,330.1
Dangote Sugar Refinery Plc (NGSE:DANGSUGAR),NGSE:DANGSUGAR,Africa / Middle East,11.851063829787234,0.066,1,NA,0,0,835.5
Labixiaoxin Snacks Group Limited (SEHK:1262),SEHK:1262,Asia / Pacific,11.862626262626264,0.195,1,0.183,0.020435967302452316,0.237,587.2
HKScan Oyj (HLSE:HKSAV),HLSE:HKSAV,Europe,12.091346153846153,0.18600000000000003,0,0.043,2.61948310139165,0.344,251.5
Tongaat Hulett Limited (JSE:TON),JSE:TON,Africa / Middle East,12.094991364421416,0.14400000000000002,1,0.133,0.5021419391689276,0.465,1400.6
C.P. Pokphand Co. Ltd. (SEHK:43),SEHK:43,Asia / Pacific,12.205334987593053,0.192,1,0.158,0.2753748411689962,0.746,1967.5
Shenguan Holdings (Group) Ltd. (SEHK:829),SEHK:829,Asia / Pacific,12.346058091286308,0.15,1,0.33299999999999996,0.024467298514485446,0.401,1487.7
Ingredion Incorporated (NYSE:INGR),NYSE:INGR,United States and Canada,12.515911730545877,0.078,0,0.183,0.3340695235797405,0.21100000000000002,5388.1
Wilmar International Limited (SGX:F34),SGX:F34,Asia / Pacific,12.656170573284383,0.09179999999999999,1,0.09949999999999999,1.2409378451651771,0.182,17926.2
Apetit Oyj (HLSE:APETI),HLSE:APETI,Europe,12.818897637795278,0.157,0,0.0717,0.29484029484029484,0.5710000000000001,162.8
"New Hope Liuhe Co., Ltd. (SZSE:000876)",SZSE:000876,Asia / Pacific,13.150906225374309,0.2,1,0.14,0.30104563022440606,0.434,3337.7
PT Astra Agro Lestari Tbk (JKSE:AALI),JKSE:AALI,Asia / Pacific,13.57254004576659,0.14800000000000002,1,0.259,0.034023469112489886,0.49700000000000005,2965.6
"Natra, S.A. (CATS:NAT)",CATS:NAT,Europe,13.715596330275229,0.49200000000000005,0,0.12,1.4695652173913043,0,149.5
China Agri-Industries Holdings Limited (SEHK:606),SEHK:606,Asia / Pacific,13.723964165733483,0.1,1,0.064,1.7052751825710906,0.18100000000000002,2451.1
Dairy Crest Group plc (LSE:DCG),LSE:DCG,Europe,13.93719806763285,0.157,0,NA,0.4629116117850954,0.503,1154
Tate & Lyle plc (LSE:TATE),LSE:TATE,Europe,14.125772705658582,0.0666,0,0.248,0.23154865096864322,0.42200000000000004,5941.3
Origin Enterprises Plc (ISE:OIZ),ISE:OIZ,Europe,14.187822497420019,0.08900000000000001,0,0.282,0.15173116089613034,0.284,1374.8
"Warabeya Nichiyo Co., Ltd. (TSE:2918)",TSE:2918,Asia / Pacific,14.223684210526315,0.145,1,0.0613,0.29509713228492135,0.235,324.3
"Tyson Foods, Inc. (NYSE:TSN)",NYSE:TSN,United States and Canada,14.264102564102563,0.085,0,0.124,0.24287454810553857,0.142,10013.4
Presco Plc (NGSE:PRESCO),NGSE:PRESCO,Africa / Middle East,14.397350993377485,0.08900000000000001,1,NA,0.06117755289788409,0,217.4
Goodman Fielder Ltd. (ASX:GFF),ASX:GFF,Asia / Pacific,14.659914712153517,0.0898,1,0.062,0.573921896589339,0,1375.1
PT Perusahaan Perkebunan London Sumatra Indonesia Tbk (JKSE:LSIP),JKSE:LSIP,Asia / Pacific,14.683812405446295,0.21600000000000003,1,0.111,0,3e-05,970.6
Astral Foods Limited (JSE:ARL),JSE:ARL,Africa / Middle East,14.7890625,0.13699999999999998,1,0.151,0.04173269941891178,1.075,378.6
Tassal Group Limited (ASX:TGR),ASX:TGR,Asia / Pacific,14.977124183006536,0.147,1,0.11,0.1464106480471307,0.37200000000000005,458.3
PT Tiga Pilar Sejahtera Food Tbk (JKSE:AISA),JKSE:AISA,Asia / Pacific,15.042194092827005,0.19,1,0.14,0.45413744740532963,0,356.5
Atria Oyj (HLSE:ATRAV),HLSE:ATRAV,Europe,15.123152709359605,0.48700000000000004,0,0.0382,1.6205211726384365,0.39899999999999997,307
