Company Name,Exchange:Ticker,Geographic Region,Actual PE,Predicted PE,% Under or Over value,Expected growth rate,Emerging Market Dummy
Gujarat Ambuja Exports Limited (BSE:524226),BSE:524226,Asia / Pacific,2.9375,54.977892999999995,-0.9465694329173364,0.41,1
Usher Agro Limited (BSE:532765),BSE:532765,Asia / Pacific,2.125,21.621472,-0.9017180698890437,0.14,1
Dean Foods Company (NYSE:DF),NYSE:DF,United States and Canada,3.7031780931441136,25.7027528,-0.8559228997002954,0.136,0
China Minzhong Food Corporation Limited (SGX:K2N),SGX:K2N,Asia / Pacific,4.762408462164361,29.03401,-0.8359713845189017,0.2,1
Kaveri Seed Company Limited (BSE:532899),BSE:532899,Asia / Pacific,11.10062893081761,64.73773469999999,-0.8285292344216423,0.489,1
Avanti Feeds Ltd. (BSE:512573),BSE:512573,Asia / Pacific,6.492805755395684,37.681971000000004,-0.8276946353099289,0.27,1
Sino Grandness Food Industry Group Limited (SGX:T4B),SGX:T4B,Asia / Pacific,6.434535104364326,33.975702,-0.8106136231014645,0.24,1
"Natra, S.A. (CATS:NAT)",CATS:NAT,Europe,13.715596330275229,69.6838116,-0.8031738503484038,0.49200000000000005,0
Chordia Food Products Limited (BSE:519475),BSE:519475,Asia / Pacific,3.839285714285714,17.915203,-0.7856967786362391,0.11,1
Atria Oyj (HLSE:ATRAV),HLSE:ATRAV,Europe,15.123152709359605,69.0661001,-0.7810336375231414,0.48700000000000004,0
La Doria SpA (BIT:LD),BIT:LD,Europe,8.467391304347828,37.5628136,-0.7745804828542495,0.23199999999999998,0
Marine Harvest ASA (OB:MHG),OB:MHG,Europe,28.48185231539424,116.2592587,-0.7550143306100898,0.8690000000000001,0
MHP S.A. (LSE:MHPC),LSE:MHPC,Europe,7.759063790729693,28.420683399999998,-0.726992356885771,0.158,0
Tata Coffee Ltd. (BSE:532301),BSE:532301,Asia / Pacific,15.194444444444443,48.800777999999994,-0.6886433973564019,0.36,1
Honeywell Flour Mills Plc (NGSE:HONYFLOUR),NGSE:HONYFLOUR,Africa / Middle East,8.29050279329609,24.092318,-0.6558860466105383,0.16,1
Thorntons PLC (LSE:THT),LSE:THT,Europe,21.263157894736842,61.406477499999994,-0.6537310270771215,0.425,0
"Dalian Keybridge Marine Seeds Co., Ltd. (SZSE:002447)",SZSE:002447,Asia / Pacific,31.913857677902623,89.56973699999999,-0.6436982093862503,0.69,1
"Gansu Yasheng Industrial (Group) Co., Ltd. (SHSE:600108)",SHSE:600108,Asia / Pacific,39.800261096605745,105.63023599999998,-0.6232114723609464,0.82,1
McLeod Russel India Limited (BSE:532654),BSE:532654,Asia / Pacific,10.051485148514852,26.563163999999997,-0.6216006064445164,0.18,1
