Company Name,Exchange:Ticker,Company Type,Industry Classifications,"Market Capitalization [Latest] ($USDmm, Historical rate)","Net Income [LTM] ($USDmm, Historical rate)",LT EPS Growth Rate - Capital IQ [Latest] (%),"Total Debt [Latest Annual] ($USDmm, Historical rate)",Return on Equity % [LTM],Payout Ratio [LTM] (%),2 Year Beta [Latest],"Basic EPS [LTM] ($USD, Historical rate)","Basic EPS Excl. Extra Items [LTM] ($USD, Historical rate)",Weighted Avg Shares Outstanding [LTM],Weighted Avg. Diluted Shares Out. [LTM],Geographic Region,"Day Close Price [Latest] ($USD, Historical rate)"
RCL Foods Limited (JSE:RCL),JSE:RCL,Public Company,Food Products (Primary),1085.9,2.67,119.5,593.3,-0.179,356.2,0.109,0.007,0.003,391.1,392.2,Africa / Middle East,1.74
"Lontrue Co., Ltd. (SZSE:300175)",SZSE:300175,Public Company,Food Products (Primary),395.3,2.2,87,14.8,1.87,2.91,0.003,0.005,0.005,466.8,466.8,Asia / Pacific,0.84
Marine Harvest ASA (OB:MHG),OB:MHG,Public Company,Food Products (Primary),4551.4,159.8,86.9,1107.6,8.46,35.7,0.801,0.042,0.042,3791.8,4135.5,Europe,1.21
"Gansu Yasheng Industrial (Group) Co., Ltd. (SHSE:600108)",SHSE:600108,Public Company,Food Products (Primary),3048.7,76.6,82,138.8,11.2,12.7,0.518,0.039,0.039,1964,1964.1,Asia / Pacific,1.57
"Yuan Longping High-tech Agriculture Co.,Ltd. (SZSE:000998)",SZSE:000998,Public Company,Food Products (Primary),1759.9,20.1,75,134,14.3,98.6,0.282,0.049,0.049,407.8,409.3,Asia / Pacific,4.23
"Dalian Keybridge Marine Seeds Co., Ltd. (SZSE:002447)",SZSE:002447,Public Company,Food Products (Primary),852.1,26.7,69,81.3,17.6,31.2,-0.008,0.099,0.099,268,268.5,Asia / Pacific,3.18
Warrnambool Cheese And Butter Factory Company Holdings Limited (ASX:WCB),ASX:WCB,Public Company,Food Products (Primary),471.2,6.86,53.2,72.6,4.64,80.3,0.256,0.125,0.125,55.1,55.1,Asia / Pacific,8.42
Henan Shuanghui Investment & Development Co. Ltd. (SZSE:000895),SZSE:000895,Public Company,Food Products (Primary),16788.2,578.1,51.5,60.8,-,37.9,0.295,0.263,0.263,2200.6,2202.5,Asia / Pacific,7.63
A2 Corporation Limited (NZSE:ATM),NZSE:ATM,Public Company,Food Products (Primary),384.4,3.19,50.9,0,8.47,0,0.284,0.005,0.005,588.2,627.1,Asia / Pacific,0.563
"Natra, S.A. (CATS:NAT)",CATS:NAT,Public Company,Food Products (Primary),149.5,10.9,49.2,219.7,12,0,0.913,0.209,0.217,51.7,51.7,Europe,3.17
Kaveri Seed Company Limited (BSE:532899),BSE:532899,Public Company,Food Products (Primary),353,31.8,48.9,0.569,-,0,0.214,2.32,2.31,13.7,13.8,Asia / Pacific,25.67
Atria Oyj (HLSE:ATRAV),HLSE:ATRAV,Public Company,Food Products (Primary),307,20.3,48.7,497.5,3.82,39.9,0.506,0.703,0.703,28.9,28.9,Europe,10.91
"Beijing Shunxin Agriculture Co., Ltd. (SZSE:000860)",SZSE:000860,Public Company,Food Products (Primary),1093.8,23.6,46.5,1362.9,4.95,377.5,0.401,0.054,0.054,438,438,Asia / Pacific,2.49
"Grupo Bimbo, S.A.B. de C.V. (BMV:BIMBO A)",BMV:BIMBO A,Public Company,Food Products (Primary),16060.1,241,45,3305.2,7.45,24.5,0.547,0.052,0.052,4650.5,4650.5,Latin America and Caribbean,3.41
