Industry,Number of firms,EV/EBIT(1-t),EV/EBIT,EV/EBITDA
Advanced Materials/Prd,2,92.46717976542055,112.46996261682243,17.507326904566312
Advertising Agencies,2,13.195088495575222,26.390176991150444,7.3541060419235516
Advertising Sales,6,14.151310693998573,20.09653589680271,11.706478823249158
Advertising Services,22,22.152604809424002,29.565296607477997,14.643212043030818
Aerospace/Defense,8,10.65701222750093,18.263163064994522,9.158036056438224
Aerospace/Defense-Equip,12,11.84468859439318,16.45991026747399,10.61124133193122
Agricultural Biotech,2,66.4815714970552,66.4815714970552,36.00906797506739
Agricultural Chemicals,2,9.264768365607635,15.381038209691436,8.282022511238221
Agricultural Operations,26,43.64475706499431,58.80000640923234,42.15709195731876
Airlines,14,22.5995265217319,25.65420994926187,12.410921890301431
Airport Develop/Maint,8,16.63553777730497,29.851577367197475,10.746179953101803
Apparel Manufacturers,23,11.230246125277889,15.63126189196465,10.72949847272019
Appliances,13,7.002619449373814,10.166291009197563,7.182579565949717
Applications Software,40,29.243106140423926,40.178898207219376,32.77936828862124
Athletic Equipment,3,12.082355183868138,17.14782171993775,8.642906021242878
Athletic Footwear,2,7.836976335945259,12.050397994841639,10.103532256745925
Auction House/Art Dealer,4,16.503356687060087,20.968625483844846,12.298408947668928
Audio/Video Products,7,9.689105251637518,13.108822505549512,8.862383522365858
Auto/Trk Prts&Equip-Orig,22,8.736881024126243,12.912485306755972,6.301671868794501
Auto/Trk Prts&Equip-Repl,3,17.8611228108185,21.466835636575258,9.082706458134188
Auto-Cars/Light Trucks,10,11.224434545242818,18.548185648587655,9.229129275460608
Auto-Med&Heavy Duty Trks,6,11.449913606047216,21.979614037715418,10.423792075034685
B2B/E-Commerce,2,7,7,65.76303508771929
Batteries/Battery Sys,3,29.92330182982827,36.31615578683798,9.382651670352542
Beverages-Non-alcoholic,8,9.452404466347886,13.106041063950759,7.4638426649891825
Beverages-Wine/Spirits,26,13.059350611353373,16.940733218339954,12.523413863863064
Bicycle Manufacturing,2,7.882643595787511,12.361053153187253,11.307646210482321
Bldg Prod-Air&Heating,7,10.746774026820649,15.886180298970421,9.388430981219102
Bldg Prod-Cement/Aggreg,32,10.30109903683868,14.127362809864003,9.281777337816587
Bldg Prod-Doors&Windows,4,10.434431880448974,13.43042363220256,15.93641222568672
Bldg Prod-Wood,5,46.11461970161563,60.68351892517059,24.747234779613795
Bldg&Construct Prod-Misc,32,14.909476903700126,22.368863885076305,10.210101969398263
Bldg-Mobil Home/Mfd Hous,5,7.280626026190748,9.736060478992709,6.224990449677139
Bldg-Residential/Commer,18,5.010760781208005,7.259166671636091,6.881314733397973
Brewery,39,16.44332630739701,22.307591798566953,13.85090560264031
Broadcast Serv/Program,11,52.95682019920677,64.97117101364887,12.70973037322362
Building&Construct-Misc,33,12.330926597056573,17.568228444621948,10.473874073561591
Building-Heavy Construct,42,12.674969101775858,17.183458593834988,11.861044351507864
Building-Maint&Service,2,16.149724927776393,24.997639389793967,19.318207537207535
Cable TV,3,39.531125863331845,44.471960696739615,33.091413451955134
Casino Hotels,6,44.11693319393662,51.64103148067028,22.258691125769015
Casino Services,1,10.973711850706716,18.90064045936396,15.790055350553505
Cellular Telecom,11,15.836681177530796,19.075742203722953,9.981872219203384
Central Bank,3,6.4261376787302105,10.173305032290571,10.173305032290571
Ceramic Products,5,14.425235714858077,19.23262187997717,12.594120771266441
Chemicals-Diversified,21,13.353788467923243,18.22971688582848,9.292286317374058
Chemicals-Fibers,3,40.38811298394647,45.47357438612851,9.506844377647639
Chemicals-Other,2,14.431947597532766,18.67971472629144,9.974306298888433
Chemicals-Plastics,11,19.36762012262862,24.360393499389954,16.025046481550064
Chemicals-Specialty,20,13.198294764166024,19.971544081781968,8.495906906472952
Closed-end Funds,2,100.66868847058824,101.1949019607843,101.1949019607843
Coal,3,7,7,4.4861998361998365
Coatings/Paint,3,6.473432778529737,10.918867837394137,7.319845594573839
Coffee,1,4.505533165969316,7.170990237099024,7.170990237099024
Commer Banks Non-US,165,43.41876903749838,58.39342725158663,43.28838969954072
Commercial Serv-Finance,1,7,7,7
Commercial Services,28,22.065258503565897,30.567499250433908,17.566554630046518
Communications Software,8,43.24704237925252,62.53865352554502,46.42901241585905
Computer Aided Design,3,6.794824933770951,15.925370938525663,23.037649793770708
Computer Data Security,10,28.663468126372187,36.36572967060668,31.08605107881688
Computer Services,66,22.17489394161868,30.005391999073993,16.005281700830345
Computer Software,13,25.93154264077694,30.715338471850448,28.59333584609228
Computers,7,14.474199919015264,17.882944637574678,11.359836049676343
Computers-Integrated Sys,13,20.284763518294316,28.033117078903143,17.372806591279506
Computers-Memory Devices,7,24.373991641990774,25.97438480885646,22.96338826323178
Computers-Other,1,7,7,7
Computers-Peripher Equip,5,53.46290647426258,65.37725796598339,18.364248243223006
Consulting Services,27,16.59753433942022,22.983912316034505,13.557313123576641
Consumer Products-Misc,2,7.232421288888889,8.191665294924555,6.50514596949891
Containers-Metal/Glass,9,8.279927059501878,10.7602945007533,8.086993884093374
Containers-Paper/Plastic,16,11.19187647087202,15.141293654469782,7.290284841868951
Cooperative Banks,3,60.79605625993368,119.02902093571824,46.1390869814798
Cosmetics&Toiletries,18,8.881679748070782,13.411707476827072,10.23905512302363
Cruise Lines,5,10.597377944162758,12.99271485479226,6.517769089861103
Crystal&Giftware,1,0,88.16188541666668,12.464714285714287
Data Processing/Mgmt,7,12.045816836748365,14.717969289633373,16.93885625367301
Decision Support Softwar,5,35.71136369826456,42.09855672450672,12.304421031208154
Diagnostic Equipment,2,13.36847767610294,16.5872295751634,12.625748172697824
Diagnostic Kits,2,12.66466705687694,14.673464322647364,11.93375946173255
Direct Marketing,2,32.01689050000001,35.893375000000006,30.332429577464794
Disposable Medical Prod,1,7,7,7
Distribution/Wholesale,34,10.930850625582263,16.635658166549405,10.526530359731137
Divers Oper/Commer Serv,13,10.26196979743953,14.284173219555205,9.916344752491367
Diversified Finan Serv,19,32.41943593107925,40.75730873814808,31.702746570858928
Diversified Manufact Op,34,20.024705499632773,27.985859379624888,11.871343076639791
Diversified Minerals,21,14.811150727343517,17.136679776212596,12.455641424540017
Diversified Operations,47,31.65159355853715,41.28209041201606,22.043189453510056
Drug Delivery Systems,2,7,7,7
E-Commerce/Products,5,135.0226552868217,143.82472868217053,83.49872827947526
E-Commerce/Services,3,200,200,49.7551819132182
Educational Software,2,15.363608151607542,26.707706478239967,16.11527062691201
Electric Products-Misc,24,16.522362641875457,22.82659172130597,10.912482867782751
Electric-Distribution,9,14.860442082574183,20.09404870012585,13.020618671543662
Electric-Generation,3,17.420604194661774,22.348433861015746,15.12296554179332
Electric-Integrated,48,15.542770438300753,20.60253953938744,11.93597427065896
Electric-Transmission,2,8.837230411382409,13.97853592436319,8.820865852470025
Electronic Compo-Misc,28,24.95906706296097,32.999828958229585,11.721059631457571
Electronic Compo-Semicon,24,24.68512376230851,32.96771192045833,11.99819987538971
Electronic Forms,1,7.847233730769229,10.733461538461537,6.294812030075187
Electronic Measur Instr,12,16.51931627901235,26.116119749703333,12.366102235515035
Electronic Parts Distrib,4,8.028832740759468,12.574522695003083,8.941035639207513
Electronic Secur Devices,7,24.411180534626446,38.74790561051817,20.93975902819557
Electronics-Military,1,11.5120206185567,17.47422680412371,11.822765662422789
Energy-Alternate Sources,10,48.06002260668323,54.13505891851949,39.646410780885425
Engineering/R&D Services,19,16.52824799504919,24.09513487907303,11.667660141344268
Enterprise Software/Serv,26,32.06868696835629,41.623527884805185,22.404629786196683
Entertainment Software,7,20.62207012525501,22.580086168744735,12.188342764799154
Environ Consulting&Eng,3,14.414554738959609,20.5794813767091,13.382511775299024
Environ Monitoring&Det,2,8.94789098692033,14.631495359202566,7.594663562951617
E-Services/Consulting,10,32.681105047758,52.77018786675171,23.439685809273552
Explosives,1,19.91661254612546,19.91661254612546,2.962350164654226
Film Processing,2,4.752090922122041,8.544620915440154,5.720937421571124
Filtration/Separat Prod,4,8.930110568266628,15.493577216684669,10.834892374261944
Finance-Commercial,2,55.12298103128621,61.04427578215527,33.55491082802548
Finance-Consumer Loans,4,8.676970684680153,11.944346733677683,11.004570232214526
Finance-Invest Bnkr/Brkr,39,10.527464463530839,14.984620671096287,19.22335669515956
Finance-Leasing Compan,6,11.667789697467859,20.568438766249606,13.958586881383098
Finance-Mtge Loan/Banker,3,26.584601845598137,36.67684779801996,26.496914207569194
Finance-Other Services,25,46.083709914994735,55.215993514314185,51.24844652038509
Financial Guarantee Ins,1,8.941816614620006,14.350532201283912,14.350532201283912
Fisheries,13,24.01315300365989,29.88826657292559,17.74216133322992
Food-Baking,8,25.405206882498018,33.58644507130437,27.71663100243831
Food-Catering,4,8.140254970542786,13.290754676587266,7.68034443864755
Food-Confectionery,11,14.168601636836637,18.169532747931054,13.335338294665254
Food-Dairy Products,16,8.3058380061907,12.39931777967971,8.15306485053758
Food-Flour&Grain,2,32.72123190562436,41.659216889202824,22.740934322591816
Food-Meat Products,10,7.9688569725146365,11.512029372908376,7.458080199449225
Food-Misc/Diversified,50,11.896509475680096,16.083232131126394,11.061716121585158
Food-Retail,24,11.438098861722457,15.456542233358428,7.867836753176119
Food-Wholesale/Distrib,17,9.625438833077515,14.1966892671691,9.54991214389927
Footwear&Related Apparel,3,15.754071505469676,23.234951337893435,16.316677393203644
Forestry,2,37.18786658838808,43.09388329380391,21.31843895852504
Funeral Serv&Rel Items,2,11.452144771882741,14.239533443435176,9.202319945251393
Gambling (Non-Hotel),10,40.32362055306432,59.99645968317858,34.43748448431042
Gas-Distribution,9,11.204606056357822,16.363193812325832,11.200532444442175
Gas-Transportation,2,7.05173799515677,10.37096550504709,8.01069922621763
Gold Mining,8,10.742321142058575,12.491434218504697,9.370578915415651
Hazardous Waste Disposal,1,24.025688834419817,28.554419817470663,11.600233050847455
Home Decoration Products,3,7.811224733461403,11.42883056983233,7.952182566983015
Home Furnishings,7,8.744491603193536,12.245962033080874,9.323736451581425
Hotels&Motels,27,21.132336974978042,30.339788596487686,22.22749086967999
Housewares,2,13.319977556109725,26.63995511221945,18.679818178151983
Human Resources,27,28.34829873704653,40.63668037675303,28.007480588300453
Identification Sys/Dev,2,11.904278949448527,17.40646139705882,10.422801320858555
Industr Audio&Video Prod,1,12.09433517120281,21.96972783143108,16.09229581993569
Industrial Automat/Robot,9,10.154703376617741,16.200866905899396,17.139526180427506
Industrial Gases,4,16.26507672595767,22.80177580479819,13.437870218611598
Instruments-Controls,6,11.093665944912207,16.82005298296142,10.769223916740748
Instruments-Scientific,5,11.948372669178083,13.519623287671234,20.8751694263294
Insurance Brokers,4,5.243910799988243,8.066314105504143,6.751533009328767
Interior Design/Architec,3,10.80671632275238,13.762426866008887,9.9217265655234
Internet Applic Sftwr,8,21.287931043897327,27.76430139897596,18.081130128093218
Internet Brokers,2,90.26358104424779,113.01312262958281,109.17904405207776
Internet Connectiv Svcs,4,23.45922062527625,27.5318729281768,26.319074855220816
Internet Content-Entmnt,6,78.67388075482792,86.06390105910289,73.05178882236908
Internet Content-Info/Ne,4,11.200399395381865,17.692057647801388,32.0721429747112
Internet Financial Svcs,4,15.141817490494672,19.51516624628776,26.483838920086768
Internet Gambling,3,130.62201984372902,132.34694164989938,40.905740049751245
Internet Incubators,1,7,7,7
Internet Infrastr Equip,1,7,7,51.06094736842107
Internet Infrastr Sftwr,2,46.72621501124062,67.19329164688038,29.646447637015616
Internet Investment,3,87.43538366235018,94.2970668968798,83.15738393558142
Internet Security,2,100.88716874576274,110.1388305084746,92.83130000000003
Intimate Apparel,1,7,7,35.67715563506262
Invest Comp - Resources,2,32.51732468927789,33.73516411378555,23.465707762557074
Invest Mgmnt/Advis Serv,23,43.56799628690877,55.10296308550872,28.799931425251778
Investment Companies,92,43.70123642115735,50.31755771695705,36.0326617760102
Lasers-Syst/Components,4,38.202000305357146,50.56853571428572,25.064412665066026
Leisure&Rec Products,12,8.067317819128126,13.052504291545882,9.754420860457634
Leisure&Rec/Games,1,7,7,7
Life/Health Insurance,20,22.999464610085745,32.85849034593045,27.09870905754993
Lighting Products&Sys,4,6.537132579442459,11.880835257290126,7.96484352485028
Lottery Services,2,23.244225500312844,23.244225500312844,10.909551582993904
Mach Tools&Rel Products,13,24.486381708871114,34.79852225887932,14.879937855196282
Machinery-Constr&Mining,9,29.548634084648253,39.50997738219766,33.05613354756206
Machinery-Electrical,9,13.981036631000896,18.877986269242367,11.404940806041974
Machinery-Farm,3,6.304922163272395,9.735326825784748,7.204420130593605
Machinery-General Indust,47,12.900018192200402,17.673575812432958,11.896359582126767
Machinery-Material Handl,4,12.93338119777134,17.320139539685076,9.740269578455969
Machinery-Print Trade,6,24.078026167747574,28.888431483630036,8.35152786386943
Machinery-Pumps,6,41.36322401079309,70.65402951225832,16.028690962734984
Machinery-Therml Process,1,7,7,7
Marine Services,4,15.050287195795013,18.73207691305621,10.161959275376807
Medical Imaging Systems,3,15.69648284417324,20.02272664874552,11.677925940286364
Medical Information Sys,2,16.87192170216159,27.857544294826365,109.46700264932562
Medical Instruments,11,26.919343195865483,30.979324484696217,17.598679913324197
Medical Labs&Testing Srv,4,10.638008771788064,17.29757523867978,9.492255994176471
Medical Laser Systems,3,8.324880397881747,14.670254460552895,10.978360041134998
Medical Products,38,29.17797493806354,36.23065290042494,24.986002164948832
Medical-Biomedical/Gene,33,27.59735883739643,29.394711855003266,25.989856958275066
Medical-Drugs,52,17.964425203678054,21.764153410091886,23.491126666127684
Medical-Generic Drugs,4,33.761441032750355,39.782526403995,21.978782549299456
Medical-Hospitals,9,14.852805832411761,30.427763928732098,25.166114536728003
Medical-Nursing Homes,3,11.355847585194176,20.95819302096741,17.734706444747925
Medical-Whsle Drug Dist,9,10.486458387476892,16.98976156386895,12.974869649317771
Metal Processors&Fabrica,15,11.637231469297229,19.067009507313866,8.949526345701969
Metal Products-Distrib,3,10.028588299818546,12.715876965112274,11.422391353321379
Metal Products-Fasteners,7,19.186347003211125,31.32391758150897,14.114839823215743
Metal-Aluminum,4,12.716396414325105,18.245780062163867,16.828612747123906
Metal-Copper,2,17.380228970063694,25.903910828025477,25.903910828025477
Metal-Diversified,8,20.887183772038274,24.712346033735034,11.700025036872193
Metal-Iron,1,6.070442339832868,7.98217270194986,4.906849315068493
Miscellaneous Manufactur,35,13.70648544813525,21.28213504477265,16.204719589284228
Mortgage Banks,16,99.44557565388375,133.91314535357773,120.52417494033213
Motion Pictures&Services,4,76.35057997933124,77.54280053759679,7.546914184875469
Multi-line Insurance,42,11.117757021235668,14.958540328418056,18.482460917033375
Multimedia,19,25.834527208384298,40.12293947582122,14.14667101175841
Music,3,32.33085661743311,43.224996591781874,24.12411555232161
Networking Products,5,7,7,8.73291572801871
Night Clubs,2,10.871743132777777,12.593238888888887,6.662110213078619
Non-Ferrous Metals,3,41.19378676590278,41.68708392569011,9.60558462744545
Non-hazardous Waste Disp,3,44.387077857126044,53.43548698690936,8.51773450287552
Office Automation&Equip,6,42.5472166071966,56.42617471446435,9.799307811079366
Office Furnishings-Orig,1,4.818321873579543,35.55957102272727,10.39615365448505
Office Supplies&Forms,5,15.422408680922675,26.57936143823706,8.250460699652036
Oil Comp-Explor&Prodtn,37,36.558382823943994,45.51177999757504,30.510445105012906
Oil Comp-Integrated,17,9.454754037486904,14.972456580495507,8.171457598356742
Oil Field Mach&Equip,4,26.3910890724217,31.556964094728805,18.48922140068521
Oil Refining&Marketing,7,23.54042134708719,30.802854312399116,11.833175958808594
Oil&Gas Drilling,4,7,7,80.45477321814255
Oil-Field Services,19,21.216005247369978,26.004199574236658,21.835969966500507
Optical Recognition Equi,2,20.75741070057091,24.08890646462912,16.79958437935007
Optical Supplies,4,29.62544077840917,38.799608117882485,12.557324213891635
Paper&Related Products,37,21.37218306671303,28.029489951771833,10.81100866278125
Petrochemicals,1,7,7,7
Photo Equipment&Supplies,4,6.4442688146321,12.12354212140363,6.862980653442422
Phys Practice Mgmnt,1,7.014101618440411,10.3148553212359,6.147907044723764
Phys Therapy/Rehab Cntrs,1,32.141581868640145,32.141581868640145,12.945249627421756
Pipelines,1,12.206191711267605,17.979366197183097,10.932541561712844
Platinum,1,3.351496585423729,5.49155593220339,4.655198275862069
Pollution Control,1,12.146192667087014,16.90493064312737,11.433356076759063
Poultry,1,5.497456347024749,9.629455853958223,5.491942136349985
Power Conv/Supply Equip,7,14.061245764148085,18.552903765863682,48.15461216490172
Precious Metals,3,8.83897839485628,9.933668683812407,7.973472981177901
Printing-Commercial,11,18.220912983499584,30.48875748315238,11.259095410682779
Professional Sports,12,13.12072381170408,15.434178559639355,11.56694449796574
