Bloomberg Symbol,Primary Exchange,0.00me,Industry 0.00me,FCFF,FCFE,Market Capitalization,Firm Value,Enterprise Value,Cash & near Cash,Invested Capital,Total Debt,Book Equity,Revenues,Net Cap Ex,EBIT,EBITDA,EBIT (1-t),Chg in non-cash WC,Reinvestment,Tax Rate,Net Income,Standard deviation in stock prices,Beta,Geo growth in earnings per share,Cash/Firm Value,Payout Ratio,Reinvestment Rate,Net Margin,After-tax Margin,PE,PBV,PS,EV/EBITDA,EV/EBIT,Firm Value/BV,EV/Sales,ROE,ROIC,Market Debt to Capital,Market Debt to Equity,Book Debt to Equity,Interest Coverage Ratio,Geometric Growth-EPS Before XO,Volatility 90 Day Calc,Raw Beta,Current Market Cap,Operating Income (Losses),Effective Tax Rate,Capital Expenditures,Depreciation & Amortization,Cash Flow Net Income,Total Debt (ST & LT Debt),Interest Expense,Sales/Revenue/Turnover,Changes in Non-Cash Work Cap,Industry Subgroup,IBES Est Growth,Dividends Paid,Total Common Equity,Cash&Near Cash Items,Adj Beta
UUU GR Equity     ,Xetra,3U TELECOM AG,Telephone-Integrated,11.651203999999998,11.618445850006454,61.36333,66.36332999999999,30.533329999999992,35.83,41.64,5,72.47,64.68,7.250000000000001,1.46,5.67,1.091204,-17.81,-10.559999999999999,0.2526,1.74,0.6847799999999999,1.1059506531204646,0.00,0.5399066020345875,0,-9.67738388055762,0.026901669758812613,0.016870810142238714,35.2662816091954,0.8467411342624535,0.9487218614718613,5.385067019400352,20.913239726027392,0.8566326319865754,0.4720675633889918,0.02400993514557748,0.02620566762728146,0.07534281356887909,0.08148188828735338,0.06899406651028012,0.00,,68.478,0.762,61363330,1.46,25.26,-11.46,4.21,1.74,5,,64.68,17.81,Telephone-Integrated,,,72.47,35.83,1.1059506531204646
ASE GR Equity     ,Dusseldorf,AACHENER STRASSEN UND ENERGI,Electric-Integrated,-17.62,-21.220000000000002,16.3464,21.1764,16.9964,4.18,7.23,4.83,6.58,48.01,0,-17.62,-17.62,-17.62,0,0,0,-21.220000000000002,1.03578,0.11901306240928884,0.00,0.19738954685404506,0.00,0.00,0,-0.3670068735680067,0,2.484255319148936,0.3404790668610706,0,0,1.8559509202453988,0.3540179129348053,-1,-1,0.22808409361364537,0.2954779033915725,0.7340425531914894,0.00,,103.578,0.082,16346400,-17.62,0,,,,4.83,3.6,48.01,,Electric-Integrated,,,6.58,4.18,0.11901306240928884
AAQ GR Equity     ,Frankfurt,AAP IMPLANTATE,Medical Products,0.2400000000000002,-3.2246330672800454,25.27286,36.11286,36.022859999999994,0.09,17.3,10.84,6.55,11.53,-2.4400000000000004,-4.51,-0.14999999999999947,-3.980977,-2.31,-4.75,0.1173,-5.013736,0.59931,0.45718432510885343,0.00,0.002492186993774517,0.00,0.00,-1,-0.34527120555073726,0,3.858451908396947,2.191921942758023,0,0,2.076645198389879,3.124272333044232,-0.7654558778625954,-0.2301142774566474,0.3001700779168418,0.42891861071520987,1.6549618320610686,0.00,,59.931,0.315,25272860,-4.51,11.73,-1.92,4.36,-15.41,10.84,1.17,11.53,2.31,Medical Products,,,6.55,0.09,0.45718432510885343
AT9 GR Equity     ,Xetra,ABIT AG,Applications Software,3.84,3.284367112810707,41.26937,45.189370000000004,36.34937000000001,8.84,17.31,3.92,22.23,20.63,-1.8,0,1.97,0,-2.04,-3.84,1,0.02,0.29264,0.7547169811320755,0.00,0.1956212268504739,0,0.00,0.0009694619486185168,0,200,1.856471884840306,2.000454192922928,18.451456852791882,0,1.7280829827915873,1.761966553562773,0.000899685110211426,0,0.08674606439523276,0.09498570004824401,0.1763382816014395,0.00,,29.264,0.52,41269370,0,127.91,-0.17,1.97,0.02,3.92,,20.63,2.04,Applications Software,,,22.23,8.84,0.7547169811320755
ACV GR Equity     ,Xetra,AC SERVICE AG,Computer Software,5.974995000000001,5.096984126984128,32.18399,35.98399,24.933989999999998,11.05,19.19,3.8,26.44,44.5,-2.21,1.55,7.97,1.414995,-2.35,-4.5600000000000005,0.08710000000000001,1.11,0.32652000000000003,0.2902757619738752,0.00,0.30708101019370004,0,-3.2226262283612312,0.024943820224719103,0.031797640449438204,28.994585585585586,1.2172462178517398,0.7232357303370787,3.1284805520702634,16.08644516129032,1.1899467592592592,0.5603143820224719,0.041981845688350984,0.07373606044815008,0.10560251934262987,0.11807112791173499,0.1437216338880484,8.157894736842106,,32.652,0.2,32183990,1.55,8.71,-4.21,6.42,1.11,3.8,0.19,44.5,2.35,Computer Software,,0,26.44,11.05,0.2902757619738752
NXI GR Equity     ,Frankfurt,ACTIVA RESOURCES AG,Oil&Gas Drilling,-0.01,-0.01,15.66602,15.66602,15.58602,0.08,0.61,0,0.69,0.03,-0.01,-0.02,-0.01,-0.02,0,-0.01,0,-0.02,1.95097,0.00,0.00,0.005106593761529731,0.00,0.00,-0.6666666666666667,-0.6666666666666667,0,20,20,0,0,20,20,-0.028985507246376815,-0.03278688524590164,0,0,0,0.00,,195.097,,15666020,-0.02,0,,0.01,-0.02,0,,0.03,0,Oil&Gas Drilling,,,0.69,0.08,0.00
HNG GR Equity     ,Frankfurt,ACTRIS AG,Brewery,3.7566590000000004,2.059009397024276,118.4518,124.3818,116.1118,8.27,17.27,5.93,19.61,149.25,-3.3900000000000006,1.57,16.28,1.426659,1.06,-2.3300000000000005,0.0913,0.27,0.27103,0.632801161103048,0.00,0.066488827143521,0.037037037037037035,-1.6331863465621432,0.0018090452261306535,0.009558854271356783,200,6.0403773584905665,0.7936469011725293,7.132174447174447,73.95656050955414,4.87007830853563,0.7779685092127303,0.013768485466598675,0.08260909090909091,0.047675785364096675,0.05006255709073226,0.3023967363590005,0.9573170731707318,,27.103,0.436,118451800,1.57,9.13,-11.32,14.71,0.27,5.93,1.64,149.25,-1.06,Brewery,,-0.01,19.61,8.27,0.632801161103048
ADC GR Equity     ,Frankfurt,ADCAPITAL AG,Electric Products-Misc,0.9072850000000003,12.395435891490843,126,153.98,109.95999999999998,44.02,128.49999999999997,27.98,144.54,181.69,-3.7800000000000002,2.65,8.93,2.297285,5.17,1.3899999999999997,0.1331,13.56,0.18236999999999998,0.8809869375907112,0.00,0.28588128328354334,0,0.6050620623910398,0.07463261599427597,0.012643981506962408,9.292035398230087,0.8717310087173101,0.6934889096813254,12.313549832026874,41.494339622641505,0.892534198933457,0.6052066707028454,0.09381486093814861,0.017877704280155646,0.18171191063774517,0.22206349206349207,0.19357963193579633,0.6206088992974239,,18.237,0.607,126000000,2.65,13.31,-2.5,6.28,13.56,27.98,4.27,181.69,-5.17,Electric Products-Misc,,0,144.54,44.02,0.8809869375907112
ADS GR Equity     ,Xetra,ADIDAS-SALOMON AG,Athletic Footwear,460.97008099999994,376.37992383634713,6017.688,7066.368,6870.368,196,2481.13,1048.68,1628.45,6478.07,-45.64,576.99,739.39,358.83008099999995,-56.5,-102.14,0.37810000000000005,314.25,0.20857,0.7997097242380262,0.065,0.027737021338260334,0.14463007159904537,-0.2846472617773648,0.04850981851076015,0.05539151028006798,19.149365155131264,3.6953471092142833,0.9289322282716921,9.291940653782172,11.90725662489818,2.639531139690639,1.0605578513353515,0.19297491479627865,0.14462365172320674,0.14840438539289208,0.1742662630565094,0.6439743314194479,8.086755430974073,6.5,20.857,0.551,6017688000,576.99,37.81,-116.76,162.4,314.25,1048.68,71.35,6478.07,56.5,Athletic Footwear,10.333,-45.45,1628.45,196,0.7997097242380262
LKI GR Equity     ,Frankfurt,ADLINK INTERNET MEDIA AG,Advertising Services,-3.54,-3.5373541963015644,79.5675,79.80749999999999,74.27749999999999,5.53,22.589999999999996,0.24,27.88,44.87,-0.86,-3.23,-2.2,-3.23,1.17,0.30999999999999994,0,-3.23,0.65827,1.1132075471698115,0.00,0.06929173323309214,0.00,0.00,-0.08870069088477825,-0.07198573657232003,0,2.8539275466284075,1.7732895030086917,0,0,2.8381045519203414,1.6553933585914864,-0.11585365853658537,-0.1429836210712705,0.0030072361620148485,0.003016306909228014,0.00860832137733142,0.00,,65.827,0.767,79567500,-3.23,-0.12,-0.17,1.03,-3.98,0.24,,44.87,-1.17,Advertising Services,,,27.88,5.53,1.1132075471698115
