Industry,Number of firms,Aggregate Market Cap/ Aggregate Earnings,Average PE across cos with PE ratios,IBES Estimate of Growth - Next 5 years
Advanced Materials/Prd,2,NA,38.088605341246286,NA
Advertising Agencies,2,NA,7,NA
Advertising Sales,6,24.03081671415005,22.874770243995112,0.0835075
Advertising Services,22,29.96308602850258,37.20880225839301,0.080783
Aerospace/Defense,8,21.864986580188795,25.506712759589533,0.10473999999999999
Aerospace/Defense-Equip,12,106.4088049078555,28.219076364383984,0.16848833333333332
Agricultural Biotech,2,60.77202083333333,65.3943947368421,NA
Agricultural Chemicals,2,11.849325985838295,24.566266773043687,NA
Agricultural Operations,26,10.265781949923811,36.41548917297356,0.0832
Airlines,14,NA,18.30736363700991,0.11975249999999998
Airport Develop/Maint,8,17.79685692660735,76.20082727566563,0.07874249999999999
Apparel Manufacturers,23,43.00626225621124,25.41442540754014,0.07707499999999999
Appliances,13,9.639026647400495,16.12675100183403,0.05437
Applications Software,40,35.985503941984994,55.04426545668838,0.11624799999999999
Athletic Equipment,3,17.236676263135166,15.794607367048606,0.04
Athletic Footwear,2,19.18468855965954,18.960471930143854,0.116365
Auction House/Art Dealer,4,NA,89.6783249601276,NA
Audio/Video Products,7,34.88385784487334,48.78653683436576,0.0909
Auto/Trk Prts&Equip-Orig,22,23.13227962980468,28.11432559044462,0.09664500000000001
Auto/Trk Prts&Equip-Repl,3,28.997358497414027,30.262653171105757,NA
Auto-Cars/Light Trucks,10,21.96826082451182,21.49054990635168,0.09718000000000002
Auto-Med&Heavy Duty Trks,6,52.87387534531264,77.66670726865713,0.0425
B2B/E-Commerce,2,NA,183.94203846153846,NA
Batteries/Battery Sys,3,NA,56.94113574879228,NA
Beverages-Non-alcoholic,8,17.428486872726083,18.426363979950548,0.11
Beverages-Wine/Spirits,26,12.696161487013512,20.090584002113697,0.06255166666666667
Bicycle Manufacturing,2,15.60746611151134,14.165107843137253,NA
Bldg Prod-Air&Heating,7,26.41830466773971,23.919338697387023,0.1
Bldg Prod-Cement/Aggreg,32,14.845983562981264,13.74646619287141,0.08699125
Bldg Prod-Doors&Windows,4,11.12457686815802,16.245203615489388,0.102315
Bldg Prod-Wood,5,30.921549387802322,19.202179498816843,0.1116
Bldg&Construct Prod-Misc,32,151.91711546958277,31.428013855196586,0.10612444444444444
Bldg-Mobil Home/Mfd Hous,5,6.750600511367563,13.077817657105204,NA
Bldg-Residential/Commer,18,4.675920931538364,5.35228417928212,0.09891666666666668
Brewery,39,15.864114728911318,28.335359527276406,0.08455
Broadcast Serv/Program,11,94.12505527120197,60.44973605909578,0.09
Building&Construct-Misc,33,21.41043839544031,22.05461843509165,0.092254375
Building-Heavy Construct,42,17.471853694349132,26.01085691171138,0.09945285714285713
Building-Maint&Service,2,24.36862269641125,24.778191896458964,NA
Cable TV,3,NA,7,0.09
Casino Hotels,6,643.645505952381,56.1564526779703,0.02
Casino Services,1,12.316045272969374,12.316045272969374,NA
Cellular Telecom,11,NA,22.90304744183867,0.11277142857142854
Central Bank,3,7.821517228155185,7,NA
Ceramic Products,5,26.538529946929497,21.40644721311262,0.25
Chemicals-Diversified,21,31.076884032292337,18.634347125024487,0.07628818181818181
Chemicals-Fibers,3,27.575761473223352,11.74516400336417,NA
Chemicals-Other,2,57.39947336065573,48.181536885245905,NA
Chemicals-Plastics,11,29.193613126055638,23.693488369603763,0.095385
Chemicals-Specialty,20,57.29185767964774,35.651446571881245,0.0776681818181818
Closed-end Funds,2,175.01505856991136,7,NA
Coal,3,NA,7,NA
Coatings/Paint,3,21.122645175633618,23.40731656697964,0.1072
Coffee,1,11.095566075816881,7,0.054900000000000004
Commer Banks Non-US,165,18.95585359950993,21.026704625375277,0.09761878787878789
Commercial Serv-Finance,1,NA,7,NA
