Bloomberg symbol,Primary Exchange,me,Industry me,Country,Country Premium,$/Local currency,Market Cap in $,FCFF,FCFE,Market Capitalization,Firm Value,Enterprise Value,Cash & near Cash,Invested Capital,Total Debt,Book Equity,Revenues,Net Cap Ex,EBIT,EBITDA,EBIT (1-t),Chg in non-cash WC,Reinvestment,Tax Rate,Net Income,Standard deviation in stock prices,Beta,Geo growth in earnings per share,Cash/Firm Value,Payout Ratio,Reinvestment Rate,Net Margin,After-tax Margin,PE,PBV,PS,EV/EBITDA,EV/EBIT,Firm Value/BV,EV/Sales,ROE,ROIC,Market Debt to Capital,Market Debt to Equity,Book Debt to Equity,Interest Coverage Ratio
BL3M IN Equity     ,Bombay,3M INDIA LTD,Diversified Operations,India,0.02,0.0221,109.24279730000002,300.206375,407.06622355293956,4943.113,4978.323,4918.523,59.8,820.26,35.21,844.85,2100.34,-34.73,318.53,377.48,187.136375,-78.34,-113.07,0.4125,298.52,0.32646000000000003,0.627,0.4391,0.012012077159316499,0,-0.6042117680221176,0.1421293695306474,0.08909813411162001,16.55873308321051,5.850876486950346,2.3534822933429824,13.02989032531525,15.441317929237437,5.656799536395246,2.341774665054229,0.35334082973308867,0.22814275351717744,0.007072662822400233,0.007123041694575867,0.04167603716636089,15.447623666343354
ARTO IN Equity     ,Bombay,AARTI INDUSTRIES,Chemicals-Diversified,India,0.02,0.0221,52.18808920000001,-221.24659600000007,104.10289968959432,2361.452,3932.9320000000002,3907.202,25.73,2931.69,1571.48,1385.94,4730.31,117.92,514.76,689.94,354.10340399999995,457.43,575.35,0.3121,373.73,0.53716,1.035,,0.006542192949178882,0,1.6248078767409988,0.07900750690758111,0.07485839279032451,6.318604340031574,1.7038630820959062,0.49921717604131655,5.663104038032293,7.590337244541146,1.3298523713236539,0.8259927996262402,0.2696581381589391,0.1207847364489424,0.3995695832015402,0.6654719215126964,1.1338730392369079,3.634540704652969
ABAN IN Equity     ,Bombay,ABAN LOYD CHILES OFFSHORE,Diversified Operations,India,0.02,0.0221,68.1820581,-449.10655,176.3341181935275,3085.161,6181.201,6020.411,160.79,4295.63,3096.04,1360.38,2684.09,844.86,659.34,1070.71,176.37345,-219.38,625.48,0.7325,367.27,0.4077,0.719,-0.2823,0.026012744125292156,0.08026792278160481,3.546338748830961,0.13683222246645976,0.0657107064219158,8.400253219702128,2.267867066554933,1.1494253173328763,5.622821305488881,9.130965814299147,1.3870328649454047,2.2429989307363014,0.26997603610755816,0.041058808603161814,0.5008800069759906,1.0035262341252207,2.275864096796483,1.78026784749973
ABB IN Equity     ,Bombay,ABB LTD INDIA,Engineering/R&D Services,India,0.02,0.0221,644.217652,1401.64125,1786.8565854069793,29150.12,30907.99,29754.73,1153.26,5726.33,1757.87,5121.72,11757.58,9.13,987.5,1170.72,653.23125,-757.54,-748.41,0.3385,1229.68,0.36603,0.733,0.0403,0.03731268193111231,0.1717113395354889,-1.145704526536353,0.10458614782974048,0.055558307917105386,23.705451824865005,5.691470834016697,2.4792618889261226,25.415752699193657,30.131372151898734,4.4927081410374745,2.5306848858353503,0.2400912193559976,0.1140750271116055,0.05687429043428576,0.060304039914758495,0.3432186843482267,165.4103852596315
BOOT IN Equity     ,Bombay,ABBOTT INDIA LTD,Medical-Drugs,India,0.02,0.0221,140.938109,478.524998,885.1942654360068,6377.29,6452.07,6338.54,113.53,1687.13,74.78,1725.88,3549.69,11.49,687.98,741.14,474.774998,-15.24,-3.749999999999991,0.3099,881.6,0.34781,0.562,0.19030000000000002,0.017595903330249053,0.1837568058076225,-0.007898478259800848,0.2483597159188549,0.13375111573123286,7.233768148820326,3.6950946763390267,1.7965766024638772,8.552419246026393,9.213262013430622,3.583169504515011,1.7856601562389955,0.5108118756808121,0.28140984867793234,0.01159007884291398,0.011725983921069922,0.0433286207615825,546.015873015873
ABIN IN Equity     ,Bombay,ABHISHEK INDUSTRIES LTD,Textile-Products,India,0.02,0.0221,68.03115930000001,385.57764299999997,375.5210635043236,3078.333,4665.383,4646.563,18.82,3955.87,1587.05,2387.64,3064.13,-190.92,500.03,780.49,294.06764300000003,99.41,-91.51,0.4119,320.55,0.71923,0.342,,0.0040339667718598884,0,-0.31118690606841076,0.10461370764295248,0.09597100743114685,9.603284978942442,1.28927853445243,1.0046352471990418,5.953392099834719,9.292568445893247,1.1737727973753929,1.5164379448652636,0.13425390762426498,0.07433703407847075,0.34017571547716446,0.5155550098056317,0.6646940074718132,2.6300757416368605
ADX IN Equity     ,Bombay,ADANI EXPORTS,Distribution/Wholesale,India,0.02,0.0221,163.78824930000002,594.9897920000001,990.6990768971195,7411.233,11788.233,11542.123,246.11,10185.23,4377,6054.34,44838.71,21.19,960.62,1002.96,904.519792,288.34,309.53,0.0584,1170.35,0.69894,1.163,0.1241,0.02087759887338501,0.06892809843209297,0.3422036783911523,0.02610133074747244,0.02017274341746228,6.33249284402102,1.2241190616978894,0.16528649017779504,11.508059144931003,12.015284920155732,1.130078494229888,0.25741425210493346,0.19330761073874278,0.08880700700916917,0.37130246746904305,0.5905899868483422,0.7229524605489616,2.0356862828201487
ADLF IN Equity     ,Bombay,ADLABS FILMS LTD,Motion Pictures&Services,India,0.02,0.0221,56.949379500000006,-189.71430000000004,-37.69751926745522,2576.895,2692.985,2680.065,12.92,1035.48,116.09,932.31,739,-11.14,249,291.51,154.20569999999998,355.06,343.92,0.3807,268.14,0.6674800000000001,1.315,,0.004797650191144771,0.10024614007607967,2.2302677527484396,0.3628416779431664,0.20866806495263868,9.610259565898412,2.7639894455706795,3.487002706359946,9.193732633528867,10.763313253012049,2.5686617703166736,3.6266102841677945,0.2876081989896065,0.14892194924093174,0.04310829804102139,0.045050341593274076,0.12451866868316333,23.782234957020055
ABM IN Equity     ,Bombay,AFTEK INFOSYS LIMITED,Decision Support Softwar,India,0.02,0.0221,96.46650000000001,-106.12214399999999,-99.9462578897606,4365,4373.03,3512.29,860.74,1487.24,8.03,2339.95,962.54,352.77,451.68,499.33,424.21785600000004,177.57,530.34,0.0608,428.58,0.7537699999999999,1.121,,0.1968292008058486,0.048135703952587615,1.2501595406677082,0.4452594177904295,0.4407275084671806,10.184796304073918,1.865424474881942,4.534876472666071,7.034005567460397,7.776058271342543,1.862464756940008,3.6489808215762465,0.18315775978119192,0.2852383314058256,0.0018362554110079282,0.0018396334478808704,0.003431697258488429,82.87706422018348
AECL IN Equity     ,Bombay,AHMEDABAD ELECTRICITY CO,Electric-Integrated,India,0.02,0.0221,148.8577324,891.406604,860.6412799765719,6735.644,7762.894,7711.814,51.08,6402.71,1027.25,5426.54,11155.18,-248.28,703.67,1771.38,465.266604,-177.86,-426.14,0.33880000000000005,502.33,0.72222,0.829,0.0207,0.006580020286248917,0.12706786375490214,-0.9159049807924751,0.04503109766045908,0.04170856983033891,13.408802978121953,1.241241011768088,0.6038131164176642,4.3535627589788755,10.959418477411287,1.2028426707407587,0.6913213412961512,0.09256911402108894,0.07266713688422557,0.1323282270761394,0.15250954474434814,0.18930110162276514,1.6701160610447867
