Company Name,Exchange:Ticker,Industry Classifications,"Market Capitalization [Latest] ($USDmm, Historical rate)","Total Debt [Latest Quarter] ($USDmm, Historical rate)","EBITDA [LTM] ($USDmm, Historical rate)","EBIT [LTM] ($USDmm, Historical rate)","Interest Expense [LTM] ($USDmm, Historical rate)","Total Common Equity [Latest Quarter] ($USDmm, Historical rate)",S&P Entity Credit Rating - Issuer Credit Rating - Foreign Currency LT [Latest] (Rating)
Exxon Mobil Corporation (NYSE:XOM),NYSE:XOM,Energy (Primary),359694.7,29121,56047,38750,-286,174399,AAA
PetroChina Co. Ltd. (SEHK:857),SEHK:857,Energy (Primary),334899.5,86976.6,55998.2,27978.6,-3759.9,189599.2,
Chevron Corporation (NYSE:CVX),NYSE:CVX,Energy (Primary),204074.7,27818,36487,19694,,155028,AA
Royal Dutch Shell plc (ENXTAM:RDSA),ENXTAM:RDSA,Energy (Primary),198999.2,45540,44378,23026,-1804,171966,AA
BP p.l.c. (LSE:BP.),LSE:BP.,Energy (Primary),123135.7,52854,27837,9555,-840,111420,A
China Petroleum & Chemical Corp. (SEHK:386),SEHK:386,Energy (Primary),120388.3,53060.3,26256.7,12301.2,-1808.8,95620.9,AA-
TOTAL S.A. (ENXTPA:FP),ENXTPA:FP,Energy (Primary),117573.8,56556,29354,16474,-748,90330,AA-
Schlumberger Limited (NYSE:SLB),NYSE:SLB,Energy (Primary),110245,13372,13584,9490,-369,37850,AA-
"Kinder Morgan, Inc. (NYSE:KMI)",NYSE:KMI,Energy (Primary),90079,43016,6525,4485,-1807,34076,BBB-
ConocoPhillips (NYSE:COP),NYSE:COP,Energy (Primary),81017.9,22565,19538,10647,-648,51911,A
Eni SpA (BIT:ENI),BIT:ENI,Energy (Primary),65272.7,31375.7,22949.8,10793.4,-863,72328.3,A
Enterprise Products Partners L.P. (NYSE:EPD),NYSE:EPD,Energy (Primary),64599.3,21363.8,4824.2,3463.7,-921,18063.2,BBB+
CNOOC Ltd. (SEHK:883),SEHK:883,Energy (Primary),64385,22019.2,21764.6,12661.7,-384.7,61207.7,AA-
China Shenhua Energy Co. Ltd. (SEHK:1088),SEHK:1088,Energy (Primary),63800.4,14669.9,13551.1,10265.2,-686.2,47927.1,AA-
Open Joint Stock Company Gazprom (MICEX:GAZP),MICEX:GAZP,Energy (Primary),61054.7,51086.2,48060.3,36592.7,-1054.5,246599,BB+
Statoil ASA (OB:STL),OB:STL,Energy (Primary),60182,30956.9,27401.4,15612.1,-507.9,50899.7,AA-
Occidental Petroleum Corporation (NYSE:OXY),NYSE:OXY,Energy (Primary),59118.3,6838,10306,-453,-77,34959,A
"EOG Resources, Inc. (NYSE:EOG)",NYSE:EOG,Energy (Primary),51703.9,5909.9,9474.8,4734.2,-201.5,17712.6,A-
Open Joint Stock Company Rosneft Oil Company (LSE:ROSN),LSE:ROSN,Energy (Primary),50457.1,55087.7,17287.2,9727.1,-1417.5,46794.4,BB+
BG Group plc (LSE:BG.),LSE:BG.,Energy (Primary),46181.6,17507,9145,6109,-108,29140,
Petróleo Brasileiro S.A. - Petrobras (BOVESPA:PETR4),BOVESPA:PETR4,Energy (Primary),45282.7,135174.2,28647.1,14697,-2501.3,142543.3,BBB-
Suncor Energy Inc. (TSX:SU),TSX:SU,Energy (Primary),45098,11509.7,10160.9,5067.9,-266,35924.4,A-
Anadarko Petroleum Corporation (NYSE:APC),NYSE:APC,Energy (Primary),44042.4,16309,9077,3223,-772,19725,BBB
Oil and Natural Gas Corp. Ltd. (BSE:500312),BSE:500312,Energy (Primary),43754,,9526.6,5636.2,-86.6,,BBB-
Reliance Industries Limited (BSE:500325),BSE:500325,Energy (Primary),43282,21042.9,5915.5,4147.3,-361.9,33237.4,BBB+
Enbridge Inc. (TSX:ENB),TSX:ENB,Energy (Primary),42398.5,31940.2,4125,2763.2,-974.9,8869.1,A-
