S&P Dow Jones Indices
"Q1 2024: 11 issues (off fiscals) have reported, with 9 beating on earnings as 3 of 10 beat on sales"
Q4 2023
Of the 498 issues (503 in the index) with full operating comparative data 
"368 beat, 106 missed, and 24 met their estimates; 331 of 497 (66.6%) beat on sales"
""
SECTOR
Energy 
Materials  
Industrials 
Consumer Discretionary
Consumer Staples
Health Care
Financials 
Information Technology  
Communication Services  
Utilities  
Real Estate
S&P 500
""
""
Historical beats
""
Q4 2023
Q3 2023
Q2 2023
Q1 2023
Q4 2022
Q3 2022
Q2 2022
Q1 2022
Q4 2021
Q3 2021
Q2 2021
Q1 2021
Q4 2020
Q3 2020
Q2 2020
Q1 2020
Q4 2019
Q3 2019
Q2 2019
Q1 2019
Q4 2018
Q3 2018
Q2 2018
Q1 2018
Q4 2017
Q3 2017
Q2 2017
Q1 2017
Q4 2016
Q3 2016
Q2 2016
Q1 2016
Q4 2015
Q3 2015
Q2 2015
Q1 2015
Q4 2014
Q3 2014
Q2 2014
Q1 2014
Q4 2013
Q3 2013
Q2 2013
Q1 2013
Q4 2012
Q3 2012
Q2 2013
AVERAGE
Q3 2023
Of the 499 issues (503 in the index) with full operating comparative data 
"397 beat, 81 missed, and 21 met their estimates; 310 of 498 (62.2%) beat on sales"
""
SECTOR
Energy 
Materials  
Industrials 
Consumer Discretionary
Consumer Staples
Health Care
Financials 
Information Technology  
Communication Services  
Utilities  
Real Estate
S&P 500
""
""
Q2 2023
Of the 499 issues (503 in the index) with full operating comparative data 
"380 beat, 88 missed, and 31 met their estimates; 315 of 496 (63.5%) beat on sales"
""
SECTOR
Energy 
Materials  
Industrials 
Consumer Discretionary
Consumer Staples
Health Care
Financials 
Information Technology  
Communication Services  
Utilities  
Real Estate
S&P 500
Q1 2023
Of the 500 issues (503 in the index) with full operating comparative data 
"383 beat, 101 missed, and 16 met their estimates; 368 of 499 (73.7%) beat on sales"
""
SECTOR
Energy 
Materials  
Industrials 
Consumer Discretionary
Consumer Staples
Health Care
Financials 
Information Technology  
Communication Services  
Utilities  
Real Estate
S&P 500
Q3 2022
Of the 496 issues (503 in the index) with full operating comparative data 
"339 beat, 126 missed, and 31 met their estimates; 350 of 495 (70.7%) beat on sales"
""
SECTOR
Energy 
Materials  
Industrials 
Consumer Discretionary
Consumer Staples
Health Care
Financials 
Information Technology  
Communication Services  
Utilities  
Real Estate
S&P 500
Q2 2022
Of the 499 issues (503 in the index) with full operating comparative data 
"372 beat, 102 missed, and 25 met their estimates; 356 of 498 (71.5%) beat on sales"
""
SECTOR
Energy 
Materials  
Industrials 
Consumer Discretionary
Consumer Staples
Health Care
Financials 
Information Technology  
Communication Services  
Utilities  
Real Estate
S&P 500
Q1 2022
Of the 500 issues (505 in the index) with full operating comparative data 
"385 beat, 101 missed, and 14 met their estimates; 361 of 497 (72.6%) beat on sales"
""
SECTOR
Energy 
Materials  
Industrials 
Consumer Discretionary
Consumer Staples
Health Care
Financials 
Information Technology  
Communication Services  
Utilities  
Real Estate
S&P 500
Q4 2021
Of the 500 issues (505 in the index) with full operating comparative data 
"378 beat, 102 missed, and 20 met their estimates; 389 of 499 (78.0%) beat on sales"
""
SECTOR
Energy 
Materials  
Industrials 
Consumer Discretionary
Consumer Staples
Health Care
Financials 
Information Technology  
Communication Services  
Utilities  
Real Estate
S&P 500
Q3 2021
Of the 500issues (505 in the index) with full operating comparative data 
"401 beat, 84 missed, and 15 met their estimates; 377 of 499 (75.6%) beat on sales"
""
SECTOR
Energy 
Materials  
Industrials 
Consumer Discretionary
Consumer Staples
Health Care
Financials 
Information Technology  
Communication Services  
Utilities  
Real Estate
S&P 500
Q2 2021
Of the 500 issues (505 in the index) with full operating comparative data 
"431 beat, 53 missed, and 16 met their estimates; 436 of 499 (87.4%) beat on sales"
""
SECTOR
Energy 
Materials  
Industrials 
Consumer Discretionary
Consumer Staples
Health Care
Financials 
Information Technology  
Communication Services  
Utilities  
Real Estate
S&P 500
Q1 2021
Of the 499 issues (505 in the index) with full operating comparative data 
"426 beat, 56 missed, and 17 met their estimates; 391 of 498 (78.5%) beat on sales"
""
SECTOR
Energy 
Materials  
Industrials 
Consumer Discretionary
Consumer Staples
Health Care
Financials 
Information Technology  
Communication Services  
Utilities  
Real Estate
S&P 500
Q4 2020
Of the 500 ssues (505 in the index) with full operating comparative data 
"384 beat, 98 missed, and 18 met their estimates; 368 of 498 (73.9%) beat on sales"
""
SECTOR
Energy 
Materials  
Industrials 
Consumer Discretionary
Consumer Staples
Health Care
Financials 
Information Technology  
Communication Services  
Utilities  
Real Estate
S&P 500
Q3 2020
Of the 499 issues (505 in the index) with full operating comparative data 
"419 beat, 64 missed, and 16 met their estimates; 386 of 498 (77.5%) beat on sales"
""
SECTOR
Energy 
Materials  
Industrials 
Consumer Discretionary
Consumer Staples
Health Care
Financials 
Information Technology  
Communication Services  
Utilities  
Real Estate
S&P 500
Q2 2020
Of the 502 issues (505 in the index) with full operating comparative data 
"413 beat, 77 missed, and 12 met their estimates; 313 of 501 (62.5%) beat on sales"
""
SECTOR
Energy 
Materials  
Industrials 
Consumer Discretionary
Consumer Staples
Health Care
Financials 
Information Technology  
Communication Services  
Utilities  
Real Estate
S&P 500
Q1 2020
Of the 500 issues (505 in the index) with full operating comparative data 
"329 beat, 150 missed, and 21 met their estimates; 295 of 496 (59.5%) beat on sales"
""
SECTOR
Energy 
Materials  
Industrials 
Consumer Discretionary
Consumer Staples
Health Care
Financials 
Information Technology  
Communication Services  
Utilities  
Real Estate
S&P 500
Q4 2019
Of the 501 issues (505 in the index) with full operating comparative data 
"348 beat, 113 missed, and 40 met their estimates; 311 of 498 (62.5%) beat on sales"
""
SECTOR
Energy 
Materials  
Industrials 
Consumer Discretionary
Consumer Staples
Health Care
Financials 
Information Technology  
Communication Services  
Utilities  
Real Estate
S&P 500
Q3 2019
Of the 498 issues (505 in the index) with full operating comparative data 
"374 beat, 91 missed, and 33 met their estimates; 291 of 495 (58.8%) beat on sales"
""
SECTOR
Energy 
Materials  
Industrials 
Consumer Discretionary
Consumer Staples
Health Care
Financials 
Information Technology  
Communication Services  
Utilities  
Real Estate
S&P 500
Q2 2019
Of the 497 issues (505 in the index) with full operating comparative data 
"366 beat, 88 missed, and 43 met their estimates; 275 of 495 (55.6%) beat on sales"
""
SECTOR
Energy 
Materials  
Industrials 
Consumer Discretionary
Consumer Staples
Health Care
Financials 
Information Technology  
Communication Services  
Utilities  
Real Estate
S&P 500
Q1 2019
Of the 501 issues (505 in the index) with full operating comparative data 
"371 beat, 95 missed, and 35 met their estimates; 281 of 499 (56.3%) beat on sales"
""
SECTOR
Energy 
Materials  
Industrials 
Consumer Discretionary
Consumer Staples
Health Care
Financials 
Information Technology  
Communication Services  
Utilities  
Real Estate
S&P 500
Q4 2018 
Of the 501 issues (505 in the index) with full operating comparative data 
"341 beat, 125 missed, and 35 met their estimates; 303 of 495 (61.2%) beat on sales"
""
SECTOR
Energy 
Materials  
Industrials 
Consumer Discretionary
Consumer Staples
Health Care
Financials 
Information Technology  
Communication Services  
Utilities  
Real Estate
S&P 500
Q3 2018 
Of the 497 issues (505 in the index) with full operating comparative data 
"382 beat, 75 missed, and 40 met their estimates; 302 of 494 (61.1%) beat on sales"
""
SECTOR
Energy 
Materials  
Industrials 
Consumer Discretionary
Consumer Staples
Health Care
Financials 
Information Technology  
Communication Services  
Utilities  
Real Estate
S&P 500
Q2 2018 
Of the 499 issues (505 in the index) with full operating comparative data 
"399 beat, 74 missed, and 26 met their estimates; 365 of 496 (73.6%) beat on sales"
""
SECTOR
Energy 
Materials  
Industrials 
Consumer Discretionary
Consumer Staples
Health Care
Financials 
Information Technology  
Communication Services  
Utilities  
Real Estate
S&P 500
Q1 2018 
