Company Name,Price,DCf Model,DCf Value,Multiple used,Relative Value,Option Value,Recommendation
 Nike Inc.,104.59,FCFF3,143.57,PEvsPOand ROE,94.71,,Buy
"8x8, Inc.",1.27,HiGrowth,1.86,VEBITDA,7.67,,Buy
Abercrombie & Fitch,83.39,FCFE2,53.76,VS,100.7,,Buy
Abercrombie & Fitch Co,82.9,FCFF3,89.97,VS,83.61,,Buy
Advance Auto Parts,41.67,FCFE3,47.8,PBV,45.53,,Buy
Allianz,165.31,FCFE2,181.69,PBV,211.04,,Buy
American Express Company,62.14,DDM3,54.03,PBV,52.02,,Sell
Apple,99.92,FCFF2,85.22,EV/EBITDA,107.48,,Buy
Apple Inc,98.18,FCFF3,107.92,EV/Sales,224.9,,Buy
Apple Inc.,90.24,FCFF2,92.18,EV/S,150.45,,Buy
AS Harju Elekter,58.2,FCFF,61,PS,73.5,,Hold
AT&T Corp (T),39.77,FCFESt,19.77257927179637,PE,11.682312921612844,,Sell
"Audible, Inc.",10.21,FCFF2,6.45,EV/S,8.52,,Sell
Avatar,74.31,FCFF3,367.1,PS,60.5,,Sell
Baidu (BIDU),99.6,FCFF3,49.73,EV/Sales,33.71,,Sell
Best Buy,47.42,FCFE3,45.45,EV/EBITDA,18.8,,Hold
Best Buy,47.74,FCFF2,52.43,VS,49.7,,Sell
BHP Billiton (ADR),48.92,FCFF2,45.91,EV/EBITDA,40.85,,Hold
Biomarin Pharmaceutical Inc.,16.22,HiGrowth,20.03,EV/Invested Capital,113.4,,Buy
Blue Foods Pvt. Ltd.,8.875,FCFF3,8.875,VS,6.064,,Buy (Private)
BMW,45.42,FCFESt,62.44,VEBITDA,124.905,,Buy
British American Tobacco,15.39,FCFF2,13.49,EV/EBITDA,15.47,,Sell
Brookfield Properties ,41.22,FCFF2,34.68,EV/FFO,32.44,,Sell
Burberry,6.99,FCFF2,3.98,VS,5.58,,Sell
Callaway Golf,18.05,FCFE2,9.25,VS,9.15,,Sell
Camden Property Trust ,71.27,FCFF2,61.34,PE,62.81,,Sell
Campbell Soup,39.2,FCFE2,30.38,PBV,40.74,,Hold
