Company Name,Price,DCF Model,DCF Value,Multiple used,Relative Value,Option Value,Recommendation
a2 Milk Company Limited,15.97,FCFF,11.18,EV/Sales,2.91,,Sell
AB InBev,85.15,FCFF,83.47,PE,55.98,,Sell
Accenture PLC,174.3,FCFF,207.42,EV/Sales,209.72,,Buy
Activision Blizzard,46.02,FCFF,49.85,EV/Sales,59.56,,Buy
Activision Blizzard,46.02,FCFF,32.66,Forward PE,30.79,,Sell
Activision Blizzard Inc.,45.52,FCFF,39.99,PE,48.57,,Hold
Adidas,248.85,FCFF,216.9,EV/EBIT,266.83,,Sell
Adidas AG,256.55,FCFF,276.89,EV/EBITDA,315.35,,Buy
Adobe,275,FCFF,265.61,EV/EBITDA,208.84,,Sell
Adobe,276.77,FCFF,223.7,EV/EBITDA,151.29,,Hold
Adobe,278.48,FCFF,145.01,EV/Sales,137.59,,Sell
Adobe,276.77,FCFF,174.08,PE,140.14,,Sell
Adobe,278.48,FCFF,183.94,EV/Sales,197.52,,Sell
Adobe ,278.48,FCFF,305,EV/EBITDA,133.48,,Buy
Adobe (ADBE),278.48,FCFF,205.47,EV/Sales,238.69,,Sell
Adobe Inc.,277.69,FCFF,269,EV/EBITDA,259.78,,Hold
Advanced Medical Solutions,3.33,FCFF,3.08,EV/EBITDA,3.27,,Hold
Advanced Micro Devices,27.96,2Stg - FCFF,20.3,TEV/Sales,25.3,,Sell
"Aeglea Bio Therapeutics, Inc.",7,FCFF,7.93,EV/Sales,10.84,,Buy
Aeroporto di Bologna,11.98,FCFF,13.59,EV/EBITDA,9.38,,Buy
AGL Limited,21.99,FCFF,22.88,EV/EBITDA,16.47,,Buy
Air France ,10.23,FCFF,16.43,EV/Sales,44.23,,Buy
Airbus,118.87,FCFF,104.27,EV/Sales,81.42,,Sell
Airbus SE,117.5,2Stg - FCFF,101.14,TEV/Sales,94.59,,Sell
Alibaba Group Holding Limited ,178,FCFF,106.98,EV/EBITDA,122.03,,Sell
Align Technologies,331.08,FCFF,131.57,EV/Sales,217.6,,Sell
Allegiant Travel Company,144.67,FCFF,166.06,PE,153.69,,Buy
Allegiant Travel Company,144.67,FCFF,166.06,PE,153.69,,Buy
Almacenes Exito S.A,14580,FCFF,15441.55,EV/Sales,62928.07,,Buy
Altria,52.11,FCFF,53.26,PBV,51.46,,Hold
Amazon ,1889.98,FCFF,1160.58,PE,1447.35,,Sell
AMC,13.82,FCFF,10.82,EV/EBITDA,8.22,,Sell
AMD,27.96,FCFF,25.48,EV/Sales,9.17,,Hold
AMD,27.96,FCFF,31.36,PBV,11.92,,HOLD
American Campus Communities,45.91,FCFF,56.29,PBV,59.63,,Buy
Amorepacific,173.16,FCFF,87.89,EV/EBITDA,126.1,,Sell
ARHT Media (Canadian dollars),0.15,FCFF,0.07,Price/Sales,0.7,,Sell
ASOS PLC,37.45,FCFF,41.48,EV/Sales,44.64,,Buy
AT&T,31.36,FCFF,35.48,EV/EBITDA,53.35,,Buy
ATN International (ATNI),62.38,FCFF,70.64,EV/EBITDA,81.16,,Buy
Autodesk,173.97,FCFF,130.99,Other,115.36,,Sell
B2W,33.8,FCFF,29.05,EV/Sales,28.24,,Sell
Badger Daylighting,43.26,FCFF,46.79,EV/EBITDA,33.4,,HOLD
BAE Systems,4.69,FCFF,7.68,EV/Sales,9.03,,Buy
BAE Systems plc,4.69,FCFF,6.29,EV/EBITDA,7.83,,Buy
BAE Systems PLC.,4.69,FCFF,4.3,EV/EBITDA,7.74,,Buy
Barnes & Noble,5.17,FCFF,2.86,EV/Sales,8.87,,Sell
Barnes & Noble,6.38,FCFF,1.16,EV/EBITDA,4.74,,Sell
Barnes & Noble,5.1,FCFF,3.36,EV/Sales,3.81,,Sell
Bed Bath and Beyond,15.76,FCFF,13.07,EV/EBITDA,50.5,,Hold
Best Buy,72.3,FCFF,79.86,EV/EBITDA,81.41,,Hold
Best Buy,71.32,FCFF,89.6,EV/EBITDA,47.1,,Hold
"Best Buy Co., Inc",71.32,FCFF,84.25,PE,103.65,,Buy
"Best Buy Co., Ltd.",71.02,FCFF,79.79,EV/Sales,89,,Buy
BExcellent (HKD),0.66,FCFF,0.69,EV/EBITDA,0.73,,Hold
Beyond Meat,66.22,FCFF,40.95,EV/Sales,22.59,,Sell
Big Lots,36.52,FCFF,62.1,EV/Sales,75.11,,Buy
BlackBerry,8.83,FCFF,6.38,EV/Sales,10.57,0.02,Sell
BlackBerry Limited,8.77,FCFF,9.18,PBV,56.21,,Hold
"Bloomin' Brands, Inc. ",20.14,FCFF,5.08,EV/Sales,12.91,,Sell
Blue Apron,0.8219,FCFF,-0.9,EV/Sales,1.01,0,Sell
Blue Apron,0.8219,FCFF,-0.9,EV/Sales,1.01,,Sell
BMW,68.87,FCFF,70.85,EV/EBITDA,87.71,,Hold
BMW AG,72.28,FCFF,92.63,EV/EBITDA,123.47,,Buy
Boeing,354.67,FCFF,347.82,PE,399.36,,Hold
Boeing,377.69,FCFF,359.79,P/Sales,426.91,,Hold
Boston Beer,335.2,FCFF,290.8700413260992,EV/Sales,452.3034289054605,,Sell
Boston Beer Company,328.86,FCFF,256.76,EV/EBITDA,266.66,,Sell
Box,20.24,FCFF,11.12,EV/Sales,27.89,9.34,Sell
"Box, Inc.",20.2,FCFF,22.04,EV/Sales,34.88,,Buy
Brown & Brown,32.19,FCFF,21.24,EV/EBITDA,31.04,,Sell
BT Group plc,2.08,FCFF,2.12,EV/Sales,4.97,,Buy
Build-a-Bear Workshop (BBW),4.92,FCFF,7,EV/Sales,8.72,,Buy
Cabot Oil and Gas,25.96,FCFF+Resource Option Value,23.28,P/BV,21.24,,Sell
Campbell Soup Company,38.74,FCFF,20.64,EV/EBITDA,58.81,25.22,HOLD
Canada Goose,51.27,FCFF,39.45,PE,59.18,,Hold
Canada Goose,68.76,FCFF,89.83,TEV/Sales,74.71,,Buy
Canada Goose Holdings Inc.,51.27,FCFF,49.24,Other,52.48,,Hold
Canadian National Railway,124.08,FCFF,121.4,EV/EBITDA,100.44,,Sell
Capgemini ,104.6,FCFF,121.9,EV/EBITDA,77.64,,Buy
Card Factory PLC,1.99,FCFF,2.14,EV/Invested Capital,2.84,,Buy
Carvana Co. ,75.23,FCFF,62.87,EV/Sales,67.43,73.29,Sell
Catapult Group,1.26,FCFF,0.7,EV/Sales,0.42,,Sell
Caterpillar,131.2,FCFF,110.26,EV/EBITDA,131.14,,Hold
Cathay Pacific,12.68,FCFF,10.19,EV/EBITDAR,7.11,,Sell
Caxton and CTP Publishers,8.27,FCFF,9.95,EV/EBITDA,15.8,,Buy
Cementos Pacasmayo,29.79,FCFF,1.09,EV/EBITDA,0.99,,Sell
Cementos Pacasmayo S.A.A,6.04,FCFF ,4.31,EV/Sales ,4.86,,Sell 
Cemex,8.78,FCFF,5.59,EV/EBITDA,8.72,,Sell
"Charter Communications, Inc",377.89,FCFF,341.36,EV/EBITDA,409,,Hold
Cheesecake Factory,44.77,FCFF,50.92,EV/Sales,42.36,,Hold
Chegg,36.7,FCFF,9.92,EV/Sales,8.29,,Sell
Chegg Inc,36.7,FCFF,16.34,EV/Sales,8.63,,Sell
Chegg Inc.,34.85,FCFF,19.9,EV/Sales,24.55,,Sell
"ChemBio, Inc. (Nasdaq: CEMI)",7.67,FCFF,43.85,EV/Sales,7.76,,Buy
Chevron,123.18,FCFF,110,EV/Inv Cap,160,,Buy
Chipotle,$706.45,FCFF,$596.95,EV/EBITDA,$314.35,,Sell
CHIPOTLE,706.45,FCFF,110.26,EV/EBITDA,307.4,,Sell
Chipotle,705.44,FCFF,589.25,EV/EBITDA,274,,Sell
Chipotle,705.44,FCFF,117.79,P/Sales,451.75,,Sell
Chipotle,679.87,FCFF,205.93,EV/EBITDA,319.58,,Sell
Chipotle Mexican Grill,705.44,FCFF,2128.55,PEG,783.62,,Buy
Chipotle Mexican Grill Inc.,689.94,FCFF,418.14,EV/Sales,406.14,,Sell
Chipotle Mexican Grill Inc.,705.44,FCFF,583.83,EV/Sales,310.83,,Sell
"Chipotle Mexican Grill, Inc.",705.44,FCFF,432.81,EV/Sales ,314.7,,Sell
"Chipotle Mexican Grill, Inc.",706.52,FCFF,488.78,EV/Sales,520.22,,Sell
Chow Tai Fook,7.81,FCFF,7.4,PE,8.24,,Buy
Chuy's,22.9,FCFF,18.98,EV/EBITDA,15.55,,Hold
Coffee Holding Co.,5.04,FCFF,7.42,PE,5.63,,Buy
Comcast ,43.15,FCFE,57.75,EV/EBITDA,46.62,,Buy
Comfort Del Gro,2.56,FCFF,2.56,EV/EBITDA,3.11,,HOLD
Community Health Systems,3.15,FCFF,-21.7,EV/EBITDA,-63.36,11.67,Sell
Comscore,12.66,FCFF,1.89,EV/Sales,15.13,,Sell
