Company,Date,Prce/Share,DCF Value/Share,Multiple,Pricing/share,Option value,Recommendation,Price/DCF,Price/RV,DCF/RV
Royal Caribbean,2022-05-06 00:00:00,69.85,80.64,P/BV,2.73,96.17,Buy,0.8661954365079364,25.586080586080584,29.53846153846154
AMC,2022-05-05 00:00:00,14.69,10.9,EV/Sales,2.16,16.43,Buy,1.3477064220183486,6.800925925925926,5.046296296296296
Ford,2022-05-07 00:00:00,14.16,19.76,EV/Sales,3.94,,Buy,0.7165991902834008,3.5939086294416245,5.0152284263959395
Lyft,2022-05-06 00:00:00,20.51,37.15,EV/Sales,5.74,,Buy,0.5520861372812921,3.573170731707317,6.472125435540069
Ferrari,2022-05-08 00:00:00,197.86,212.6,EV/EBITDA,60.61,,Buy,0.9306679209783633,3.264477808942419,3.5076720013199143
AMD,May 6 2022,95.43,122.82,PBV,30.4,,Buy,0.7769907181240842,3.1391447368421055,4.040131578947368
Snapchat,2022-05-06 00:00:00,24.92,27.89,EV/Sales,11.95,,Buy,0.8935102187163858,2.085355648535565,2.3338912133891214
Unity Software,2022-05-06 00:00:00,57.34,63.33,EV/IC,29.47,53.84,Buy,0.9054160745302385,1.9457074991516798,2.148965049202579
GrowGeneration,2022-05-06 00:00:00,5.76,6.19,EV/EBITDA,3.18,,Buy,0.9305331179321485,1.811320754716981,1.9465408805031448
Kaspi,2022-05-07 00:00:00,60.1,72.2,PBV,33.75,,Buy,0.8324099722991689,1.7807407407407407,2.1392592592592594
Snowflake,2022-05-06 00:00:00,155.27,181.35,Ev/Sales,99.23,,Buy,0.856189688447753,1.5647485639423562,1.8275723067620677
Etsy,2022-05-08 00:00:00,86.38,136.72,EV/SALES,62.29,,Buy,0.6318022235225278,1.386739444533633,2.194894846684861
Etsy,"May 7th, 2022",86.38,144.1,EV/Sales,64.49,,Buy,0.5994448299791811,1.339432470150411,2.234454954256474
Uber,2022-05-06 00:00:00,26.07,37.41,EV/Sales,19.85,,Buy,0.6968724939855654,1.3133501259445843,1.8846347607052893
Morgan Stanley,2022-05-08 00:00:00,84.23,176.04,PBV,65.54,,Buy,0.478470802090434,1.285169362221544,2.685993286542569
Hello Fresh,2022-05-07 00:00:00,35.71,44.97,EV/EBITDA,27.82,,Buy,0.794084945519235,1.283608914450036,1.6164629762760603
Peloton,2022-05-06 00:00:00,15.7,23.87,EV/Invested Capital,12.46,,Buy,0.6577293674067867,1.2600321027287318,1.9157303370786516
M&T Bank,07/55/22,170.48,210.31,PBV,139.24,,Buy,0.8106129047596404,1.224360815857512,1.5104136742315426
Yeti,2022-05-07 00:00:00,47.25,54.05,EV to Sales,39.09,,Buy,0.874190564292322,1.2087490406753645,1.3827065745715015
Zumiez,2022-05-06 00:00:00,35.56,67.02,EV/EBITDA,30.47,,Buy,0.5305878842136676,1.1670495569412538,2.1995405316704955
Walmart ,2022-05-06 00:00:00,148.76,166.16,EV/EBITDA,128.93,,Buy,0.8952816562349543,1.1538043899790582,1.2887613433646163
Upstart ,2022-05-08 00:00:00,83.89,227.57,EV/ Sales,74.77,77.37,Buy,0.3686338269543437,1.121974053764879,3.043600374481744
Bilibili,2022-04-29 00:00:00,160.28,209.32,EV/Sales,147.85,195.27,Buy,0.7657175616281292,1.0840716942847481,1.4157592154210348
Glanbia,2022-05-06 00:00:00,11.6,14.59,PBV,10.76,N/A,Buy,0.7950651130911583,1.0780669144981412,1.3559479553903346
HelloFresh,2022-05-08 00:00:00,35.71,40.48,EV/Sales,33.27,,Buy,0.8821640316205535,1.0733393447550346,1.2167117523294257
Urban Outfitters,2022-05-06 00:00:00,23.36,45.77,EV/Sales,21.81,N/A,Buy,0.5103779768407253,1.0710683172856488,2.098578633654287
Tesla,May 6 2022,865.65,1322.45,EV/Sales,818.39,N/A,Buy,0.6545805134409618,1.057747528684368,1.6159166167719548
Crowdstrike,2022-05-06 00:00:00,164.81,135.5,EV/Sales,156.31,,Buy,1.216309963099631,1.0543791184185274,0.8668671230247584
Netflix,2022-05-07 00:00:00,180.97,248.38,P/BV,174,,Buy,0.728601336661567,1.0400574712643678,1.427471264367816
Boeing,2022-05-01 00:00:00,149.25,0,TEV/Revenue,143.68,,Buy,NA,1.0387667037861914,NA
Netflix,2022-05-07 00:00:00,180.97,209.38,EV/Sales,174.92,,Buy,0.8643136880313306,1.0345872398810885,1.197004344843357
Square/Block,2022-05-07 00:00:00,96.19,128.87,EV/SALES,93.21,,Buy,0.7464111119733063,1.0319708185816974,1.3825769767192362
MercadoLibre,2022-05-08 00:00:00,927.55,1026.79,EV to Sales,903.55,,Buy,0.9033492729769476,1.026561894748492,1.1363953295335067
Apple,May 8th ,157.28,172.81,EV/EBITDA,156.02,,Buy,0.9101325154794283,1.0080758877067042,1.1076144084091784
Teladoc,2022-05-07 00:00:00,33.45,42.47,EV/Sales,33.64,,Buy,0.787614786908406,0.9943519619500595,1.2624851367419738
Shopify,2022-05-08 00:00:00,377.49,489.54,EV/Sales,380,,Buy,0.7711116558401765,0.9933947368421053,1.288263157894737
Advanced Micro Devices,2022-05-08 00:00:00,95.34,152.05,EV/EBITDA,96.09,,Buy,0.6270305820453798,0.9921948173587262,1.5823706941409097
Kroger,May 7th,53.85,68.35,EV/Sales,54.6,,Buy,0.7878566203365034,0.9862637362637363,1.2518315018315016
TJX Companies,2022-05-08 00:00:00,60.41,68.2,EV/Sales,61.26,,Buy,0.8857771260997067,0.9861247143323538,1.1132876265099576
Spotify,2022-05-08 00:00:00,99.31,111.78,EV/Invested Capital,101.83,13.42,Buy,0.8884415816782967,0.9752528724344496,1.0977118727290582
Tesco,2022-05-08 00:00:00,2.71,3.56,EV/Sales,2.78,,Buy,0.7612359550561798,0.9748201438848921,1.2805755395683454
CVS,2022-05-06 00:00:00,100.69,109.43,EV/Sales,103.91,,Buy,0.9201315909713972,0.9690116446925224,1.0531228948128188
Home Depot,2022-05-06 00:00:00,294.31,339.37,EV/EBITDA,304.6,,Buy,0.8672245631611516,0.9662179908076165,1.1141497045305317
Xpeng,2022-05-04 00:00:00,22.28,35.86,EV/Sales,23.1,,Buy,0.6213050752928054,0.9645021645021645,1.5523809523809522
Engro Fertilizers,2022-05-05 00:00:00,95.15,120.22,Price/LTM Sales,98.94,,Buy,0.7914656463150891,0.9616939559328886,1.2150798463715384
Berkshire Hathaway,2022-05-06 00:00:00,479500,517164,EV/EBITDA,501778,,Buy,0.9271720382702585,0.9556018797157309,1.030662962505331
Orange SA,May 7 2022,11.6,14.99,EV/Sales,12.21,,Buy,0.7738492328218812,0.9500409500409499,1.2276822276822277
Tencent,2022-05-07 00:00:00,349.2,356.25,PE,368.43,,BUY,0.9802105263157894,0.9478055532937056,0.9669408028662161
Public Joint Stock Company PIK-specialized homebuilder,2022-05-07 00:00:00,531,765.65,EV/Sales,564.4,,Buy,0.6935283745836871,0.9408221119773211,1.3565733522324592
LVMH,2022-05-06 00:00:00,561.9,603.68,EV/Sales,600.47,,Buy,0.9307911476278824,0.9357669825303512,1.0053458124469163
Laiyifen,May 6th,11.6,13.94,EV/Sales,12.45,,Buy,0.8321377331420373,0.9317269076305221,1.1196787148594378
Lemonade,2022-05-06 00:00:00,21.25,36,EV to Sales,22.85,,Buy,0.5902777777777778,0.9299781181619255,1.575492341356674
Alphabet Inc.,2022-05-04 00:00:00,2311,3190,EV/EBITDA,2486,,Buy,0.7244514106583072,0.9296057924376508,1.2831858407079646
Qualcomm,2022-05-06 00:00:00,142.69,175.4,EV/Sales,153.66,,Buy,0.8135119726339795,0.9286086164258753,1.1414811922426136
Bilibili,"May 6,2022",138.99,160.22,EV/Sales,150.07,,Buy,0.8674946947946575,0.9261677883654296,1.0676351036183116
Home Depot Inc,2022-05-07 00:00:00,294.31,333.81,EV/Sales,319.72,,Buy,0.8816692130253737,0.9205242086825972,1.044069811084699
Lonza,"May, 6th",573.7,622.62,EV/EBITDA,624.65,,Buy,0.9214288008737272,0.9184343232210038,0.9967501801008565
CVS,2022-05-06 00:00:00,100.69,111.45,EV/Sales,109.88,N/A,Buy,0.9034544638851503,0.916363305424099,1.0142883145249364
Netflix,2022-05-08 00:00:00,186.88,233.6,P/BV,204.93,,Buy,0.8,0.9119211438052017,1.1399014297565022
Block Inc.,2022-05-06 00:00:00,96.19,528.87,EV/Sales,106.5,,Buy,0.18187834439465275,0.9031924882629108,4.9659154929577465
TATA Motors,2022-05-06 00:00:00,409.85,564.39,PBV,464.41,,Buy,0.7261822498626836,0.8825176029801253,1.215283908615232
Spotify,2022-05-06 00:00:00,99.24,175.47,EV/Sales,112.8,,Buy,0.5655667635493247,0.8797872340425532,1.5555851063829786
Walmart,2022-05-05 00:00:00,152.74,161.24,EV/EBITDA,174.81,,Buy,0.9472835524683701,0.873748641382072,0.9223728619644186
Etsy Inc,2022-05-06 00:00:00,86.38,103.06,EV/Sales,98.87,0.4,Buy,0.8381525325053366,0.8736724992414281,1.0423788813593609
MetLife,2022-05-07 00:00:00,67.54,84.65,PE,77.46,,Buy,0.7978735971647962,0.8719339013684484,1.0928221017299253
Spotify,2022-05-06 00:00:00,108.86,138.45,EV / Sales,125.5,,Buy,0.7862766341639582,0.867410358565737,1.103187250996016
