Company,Country,Money making or losing,Date,Prce/Share,DCF Value/Share,Multiple,Pricing/share,Option value,Recommendation
3M,United States,Money losing,2024-05-05 00:00:00,97.15,92.35,EV/EBITDA,115.17,,Hold
Abercrombie & Fitch,United States,Money making,2024-05-04 00:00:00,128.76,80.41,EV/Sales,100.69,,Sell
Accenture,United States,Money making,2024-05-03 00:00:00,303.71,195.46,EV/EBITDA,293.24,,Sell
Adobe Inc.,United States,Money making,2024-05-03 00:00:00,486.18,218.31,EV/EBITDA,272.96,,Sell
Advanced Micro Devices,USA,Money making,2024-05-03 00:00:00,149.06,112.78,PBV,89.14,,Sell
AerCap Holdings,Netherlands,Money making,2024-04-30 00:00:00,84.49,100.39,EV/EBITDA,139.11,,Buy
Air Arabia,UAE,Money making,2024-05-03 00:00:00,2.66,4.43,EV/EBITDA,125.78,,Buy
Airbnb,United States,Money making,2024-05-05 00:00:00,159.71,88.28,EV/Sales,50.86,,Sell
Airbnb,USA,Money making,2024-04-30 00:00:00,158.57,101.38,EV/EBITDA,64.33,,Sell
Airbnb,United States,Money making,2024-05-03 00:00:00,159.71,97.91,EV/EBITDA,54.25,,Sell
Alibaba,China,Money making,2024-05-05 00:00:00,81.33,96.16,P/FCF,186.25,,Buy
Align Technology ,United States,Money making,2024-05-03 00:00:00,288.77,220.08,EV/Sales,119.59,,Sell
Amazon,United States,Money making,2024-05-03 00:00:00,186.24,304.2,EV/EBITDA,222.12,,Buy
AMC,United States,Money losing,2024-05-05 00:00:00,3.3,-6.61,EV/Sales,2.35,,Buy
"AMC Entertainment Holdings, Inc.",United States,Money losing,2024-05-03 00:00:00,3.3,1.15,PE,2.57,,Sell
American Express Company,United States,Money making,2024-05-06 00:00:00,230.77,167.8,PE,160.15,,Sell
Anand Rathi Wealth ,India,Money making,2024-05-04 00:00:00,4000,3605.23,P/BV,2172.8,,Sell
ANTA Sports,China,Money making,2024-05-03 00:00:00,86.66,102.98,EV/Sales,94.24,,Buy
Applied Materials,United States,Money making,2024-05-05 00:00:00,204.16,184.29,EV/Sales,311.87,,Buy
Aramco,KSA,Money making,2024-05-03 00:00:00,29.95,7.61,EV/Sales,3.16,,Sell
Aramex,United Arab Emirates,Money making,2024-05-03 00:00:00,2.54,2.17,EV/Sales,1.57,,Sell
Aritzia,Canada,Money making,2024-05-05 00:00:00,35.82,25.42,EV/Sales,19.07,,Sell
ARM Holdings PLC,United Kingdom,Money making,2024-05-04 00:00:00,101.72,41.34,EV/Inv Capital,22.2,,Sell
ASML,United States,Money making,2024-05-04 00:00:00,901.63,587.03,EV / EBITDA,526.9,,Sell
ASML,Netherlands,Money making,2024-05-05 00:00:00,901.63,444.1,EV/EBITDA,516.7,,Sell
Atlassian (NYSE: TEAM),United States,Money losing,2024-05-03 00:00:00,182.23,191.82,EV/EBIT,226.2,,Buy
Baidu,China,Money making,2024-05-05 00:00:00,818.16,948.39,EV/EBITDA,1128.91,,Buy
Bank of America,United States,Money making,2024-05-05 00:00:00,37.25,50.39,PBV,27.32,,Buy
Bent Pixels,United States,Money making,2024-05-02 00:00:00,1008.02,1008.02,EV/Sales,396.62,,Buy
Berkshire Hathaway,United States,Money making,2024-05-04 00:00:00,603000,575442,EV/Sales,762452.54,,Hold
Beyond meat,United States,Money losing,2024-05-04 00:00:00,8.23,5.81,EV/Sales,5.35,0.25,Sell
Beyond Meat,United States,Money losing,2024-05-05 00:00:00,8.23,0,EV/Sales,3.98,0.01,Sell
Beyond Meat,United States,Money losing,2024-05-05 00:00:00,8.23,0,EV/Sales,-22.08,0,Sell
Bilibili,China,Money losing,2024-05-03 00:00:00,14.83,16.49,EV/Sales,13.72,,Buy
Bilibili,China,Money losing,2024-05-05 00:00:00,14.83,16.44,EV/EBITDA,18.52,,Buy
Bill,United States,Money losing,2024-05-03 00:00:00,56.58,37.66,EV/Sales,61.32,,Hold
BMW,Germany,Money making,2024-05-03 00:00:00,102.5,126.18,EV/Sales,267.33,,Buy
Boeing,United States,Money losing,2024-05-01 00:00:00,167.7,171.47,EV/Sales,191.44,,Buy
Boeing,United States,Money losing,2024-05-03 00:00:00,179.79,190.6,EV/Sales,327.34,,Buy
Boeing,United States,Money losing,2024-05-03 00:00:00,180,172.92,EV/Sales,116.56,,Sell
Booking Holdings,United States,Money making,2024-05-05 00:00:00,3577.38,2868.55,EV/Sales,4528.11,,Sell
Build-A-Bear,United States,Money making,2024-05-03 00:00:00,30.06,48.64,EV/EBITDA,66.6,,Buy
Bumble,United States,Money losing,2024-04-30 00:00:00,10.1,15.7,EV/Sales,22.24,,Buy
