Company Name,Exchange:Ticker,Industry Group,Country,Broad Group,Sub Group,Bottom up Beta for sector,Bottom up levered beta,ERP for Country,Cost of equity in US$,Default Spread based on bond rating (if available),Total Default Spread for cost of debt (Company + Country),Pre-tax cost of debt in US $,After-tax cost of debt in US $,Cost of capital in US$,ROE - Cost of Equity,ROIC - Cost of Capital,Market Cap (in US $),PV of lease debt,Total Debt,Total Debt incl leases (in US $),Firm Value (in US $),Cash,Enterprise Value (in US $),Cash/ Firm Value,Liquidity Ratio (Annual trading volume/Shrs outs),Book Debt to capital ratio,Market Debt to capital ratio,Book Debt to Equity Ratio,Market Debt to Equity ratio,Stock price (End of most recent year)in US$,Price Change for Sub-group,Jensen's Alpha,Beta,Correlation with market,Standard deviation in stock price,HiL0 Risk Measure (Hi- lo)/ (Hi+Lo),Interest coverage ratio,Current PE,Trailing PE,Forward PE,PEG,PBV,PS,EV/EBIT,EV/EBITDA,EV/Invested Capital,EV/Sales,Payout ratio,Dividend Yield,Historical growth in Net Income - Last 3 years,Historical growth in Net Income - Last 5 years,Historical growth in Revenues - Last 3 years,Historical growth in Revenues - Last 5 years,Expected growth rate in EPS- Next 5 years,Expected growth in revenues - Next 2 years,Return on Equity,Return on Capital (ROC or ROIC),Net Profit Margin,Pre-tax Operating Margin,Marginal Tax Rate,Effective Tax Rate,% held by institutions,Net Income,Trailing Net Income,Operating Income,Trailing Operating Income (adj for leases),Revenues,Trailing Revenues,EBITDA,Trailing EBITDA (adj for leases),Trailing After-tax Operating Income,Net Debt repaid (Debt repaid - issued),Change in non-cash Working capital,Net Cap Ex,Reinvestment Rate,FCFF,FCFE,FCFE without debt,Book Value of Equity - 4 qtrs ago,Invested Capital - 4 qtre ago,Current Book Value of Equity,Current Invested Capital,Dividends,Modified 2-year beta,Modified 5-year beta,Beta adjustment factor,Coeff of variation - Op Income,Coeff of variation - Net Income,Average 10-year EBIT,Average 10-yr Net Income,Dividends + Buybacks,Only +ve Taxable Income,Only +ve Taxes,Only +'ve Net Income,Onlt +'ve Net Income Mkt cap,"Only +""ve EBITDA",Only +ve EBITDA EV,Only +ve div FCFE,Capitalized R&D,Operating Income adjusted for leases & R&D,Invested Capital Adjusted for R&D,EBITDAR&D,ROE (adj for R&D),ROIC (adj for R&D),EV/EBITDAR&D,Depreciation & Amortization (Modified),Invested Capital - 10 years ago,Normalized Operating Income,Normalized ROIC
Vale S.A. (BOVESPA:VALE3),BOVESPA:VALE3,Steel,Brazil,Emerging Markets,Latin America & Caribbean,0.7355468784984245,0.8871489456181068,0.09660348398311078,0.11070167895865238,0.016,0.05070526,0.07570526,0.05550782407312441,0.0975671814255268,0.01283389758399446,-0.0032226039748005225,102444.8,788.652744486855,31203.3,31991.952744486854,134436.75274448685,4268.5,130168.25274448685,0.031750990059338874,0.3158109209453953,0.43778623599998473,0.23797028782219543,0.7786828854655591,0.31228478892522465,8.77,121.88274572567244,-0.780020477902209,3.9964444444444442,0.523450093132096,0.45161898546141427,0.46347452424800495,5.221691761537521,25.045791262254603,25.045791262254603,4.845303867403315,1.7154651549489455,2.493502447383089,3.5229337606690647,15.255815338336683,10.530389666414818,1.980569062702753,4.47630462610944,0.41450959587316333,0.016550069891297557,3.873,-0.29100000000000004,-0.0231,-0.135,0.146,0.0345,0.12353557654264684,0.09434457745072627,0.14065971099816366,0.29341628269849546,0.34,0.35404347564280125,0.45640000000000003,4090.3,4090.3,8531.2,8532.36945110263,29079.4,29079.4,12202.3,12361.199999999999,5511.539715165794,295.89999999999964,2605.5,5214.400000000001,1.4188231245948244,-2308.360284834206,-4025.5,-3729.6000000000004,33110.3,58419.25274448686,41084.7,65722.65274448686,-1695.4686,1.97,1.45,0.45,0.6013244719410586,0.8492954333095711,13808.810000000003,8753.288888888888,-1695.4686,8303.5,2939.8,4090.3,102444.8,12361.199999999999,130168.25274448685,-4025.5,1141.3600000000001,8467.02945110263,66864.01274448686,12539.699999999999,0.1175113848496686,0.09182801626517106,10.38049177767306,114.9,39769,13808.810000000003,0.26179910240759163
"S.F. Holding Co., Ltd. (SZSE:002352)",SZSE:002352,Steel,China,Emerging Markets,China,0.7355468784984245,0.7479214481142393,0.06249199227287814,0.07173910135627487,NA,0.049482740000000004,0.07448274,0.05586205500000001,0.07139076887689837,NA,0.8408299806124794,100481.3,628.3471483239523,1625.6,2253.947148323952,102735.24714832395,996,101739.24714832395,0.009694822640198894,0.493582235819968,0.43224216489219214,0.021939375344761838,0.7613143107221348,0.022431508632192777,7.6,121.88274572567244,NA,NA,NA,NA,0.33375,10.923529411764706,166.88473675469191,166.88473675469191,57.57575757575757,NA,33.93950550564075,12.137181717157077,142.286569790475,91.65697941290446,24.16501774483485,12.289129722704251,0.4328184686929082,0.0025935174007501896,NA,NA,NA,NA,NA,NA,NA,0.9122207494893777,0.07272793158428759,0.08636886630130088,0.25,0.1983681112894596,0.00536,602.1,602.1,557.1,715.0305703352096,8278.8,8278.8,826.4,1110,573.1913065835889,174.5999999999999,-15.400000000000006,675.6,1.1517969522863352,-87.00869341641109,-232.6999999999999,-58.099999999999994,0,628.3471483239523,2960.6,4210.187148323953,-260.6,NA,NA,0.45,2.892080235108821,0.10329985529765986,32.8225,5.180000000000001,-260.6,747.6,148.3,602.1,100481.3,1110,101739.24714832395,-232.6999999999999,62.58,748.0105703352096,4272.767148323953,865.3,NA,0.8678615795136144,117.57684866326586,269.29999999999995,NA,32.8225,NA
ArcelorMittal (ENXTAM:MT),ENXTAM:MT,Steel,Luxembourg,Developed Europe,EU & Environs,0.7355468784984245,0.8152713015229617,0.0539,0.06894312315208764,0.025,0.025,0.05,0.036270000000000004,0.0646042046211806,0.001450988908691081,-0.010174380934515219,96428.1,1092.3813254668294,13674,14766.38132546683,111194.48132546684,2501,108693.48132546684,0.022492123441626204,1.7819192414582312,0.3135686596961476,0.1327977895076065,0.456809940463011,0.15313359202832813,7.58,78.90026990331205,-0.7404320351536383,5.061960784313726,0.697853852894716,0.5279042287606024,0.3998510796723753,2.64419795221843,54.2035413153457,54.2035413153457,9.74293059125964,2.092800822986321,2.9830812064965198,1.6979468577767605,34.401856243272945,17.821525057463,2.762758065564988,1.9139208910825103,0,0,NA,-0.059699999999999996,-0.106,-0.0958,0.259,0.0527,0.07039411206077872,0.054429823686665386,0.03132538606469335,0.05563423315149644,0.2922,0.3625,0.5533,1779,1779,3099,3159.523734906634,56791,56791,5820,6099,2014.1963810029793,6007,1023,2444,1.7212820123694146,-1452.8036189970207,-7695,-1688,25272,37005.38132546683,32325,39342.38132546683,0,3.07,1.59,0.51,1.015499846403469,1.0858483374035737,5842.4,2632,0,2720,986,1779,96428.1,6099,108693.48132546684,NA,683.9999999999999,3168.123734906634,40026.38132546683,6059,0.06887039605486207,0.05358747769197995,17.93917830095178,2721,63201,5842.4,0.11394982151908091
"Baoshan Iron & Steel Co., Ltd. (SHSE:600019)",SHSE:600019,Steel,China,Emerging Markets,China,0.7355468784984245,0.8008269766779028,0.06249199227287814,0.07504527323846787,0.016,0.02298274,0.04798274,0.035987055000000004,0.07091241873242385,-0.03861003614726263,-0.04026447015314479,91578,293.88191168353023,10542.9,10836.78191168353,102414.78191168353,1445.6,100969.18191168352,0.014115149913091648,0.683174453799762,0.36084618997268253,0.10581267380941681,0.5645686285704218,0.1183339001909141,0.951,121.88274572567244,-0.037873498691648896,0.5826,0.05477225575051661,0.24976148622235572,0.21144139091418965,9.056485355648535,587.0384615384615,140.19902020820575,10.931034482758621,4.226338815971645,4.770979640319253,3.6228340849750773,77.55980191304101,34.77259424585306,3.532122220731409,3.99435010331844,0.6373239436619718,0.00454585162375243,0.0341,-0.127,-0.023,-0.0451,1.389,0.22,0.03643523709120523,0.030647948579279057,0.024853984742118983,0.04953384006480962,0.25,0.3980397754305833,0.0933,156,653.2,1298.7,1301.823617663294,25278,26281.5,2290.8,2903.7000000000003,783.646037238367,-1713.6000000000004,-3498,1821.5,-2.13935874149013,2460.146037238367,4043.3,2329.7,17927.7,25569.28191168353,19194.8,28585.98191168353,-416.3,0.114,0.563,0.45,0.45111841185892365,0.3547795804394011,1591.0299999999997,1316.3000000000002,-416.3,1050.9,418.3,653.2,91578,2903.7000000000003,100969.18191168352,4043.3,1565.84,1257.543617663294,30151.82191168353,2808,0.031237014929048294,0.027897101069168092,35.95768586598416,1543.1000000000001,13686.3,1591.0299999999997,0.07527533069182428
Nippon Steel & Sumitomo Metal Corporation (TSE:5401),TSE:5401,Steel,Japan,Japan,Japan,0.7355468784984245,0.8357535940670923,0.06390261786991785,0.07840684255507985,0.016,0.02412916,0.049129160000000005,0.032887059704,0.07070936017640699,-0.0599747351203256,-0.05895606721217629,78907.7,93.56099589904994,15965.5,16059.06099589905,94966.76099589905,615,94351.76099589905,0.0064759500434742375,1.0823982772299672,0.383150795939021,0.1691019134220291,0.621141752986917,0.20351703313997305,22.69,145.01267872603594,-0.32098639112318783,1.8261904761904764,0.623698645180507,0.30784097654153564,0.23822714681440443,4.390897755610972,60.970251893061345,177.8802975653742,12.965714285714286,3.6077072126071803,3.0520381680275084,1.806664544977894,130.41237307517298,28.581915420889718,2.2846480017661874,2.1602705610164654,0.25458611361587014,0.0014312215411170265,-0.38299999999999995,0.111,-0.0547,0.0172,0.16899999999999998,0.032400000000000005,0.018432107434754246,0.011753292964230692,0.011449160154031985,0.01867296596275642,0.3306,0.33406423320005163,0.35,1294.2,443.6,704.3,723.4878008201899,43675.9,38745.2,4267.6,3301.1,481.7964034096015,0,0,-120.7,-0.2505207576184132,602.4964034096015,564.3000000000001,564.3000000000001,24066.7,40992.46099589906,25854.1,41298.160995899045,-112.9344,1.6,1.4,0.84,0.7918099695415531,0.9211762538856286,2578.9899999999993,1387.711111111111,-112.9344,775.3,259,443.6,78907.7,3301.1,94351.76099589905,564.3000000000001,1876.5400000000002,709.66780082019,43174.700995899046,4854.3,0.016566165212980342,0.011024123728883617,19.436738766845693,120.7,24251.1,2578.9899999999993,0.07868860642567271
POSCO (KOSE:A005490),KOSE:A005490,Steel,South Korea,Emerging Markets,Small Asia,0.7355468784984245,0.8711844995679918,0.06095312798519848,0.0781014203008889,0.016,0.0217321,0.0467321,0.038787643,0.0704087421352608,-0.04578563653469034,-0.036642316302123494,77923.6,0,18957,18957,96880.6,2033.1,94847.5,0.020985625605126308,1.009375,0.3323911755113778,0.19567385007937604,0.4978831365298147,0.24327674799418916,233.64,121.88274572567244,-0.40969540168394497,1.9585333333333332,0.5576737397439474,0.21109116605356104,0.22645215601908147,4.312682748538012,68.81278700105969,68.81278700105969,9.234782608695651,3.8658869101718927,2.0465709963440775,1.7672435494735028,40.19132166617229,19.04415308007389,1.7611021057654637,2.15106376705758,0.5700282585658777,0.008283754857321786,-0.00184,-0.179,-0.0492,-0.0509,0.17800000000000002,0.048,0.032315783766198564,0.033766425833137305,0.025681906321368554,0.05352060290338895,0.242,0.2684422786086372,0.5998,1132.4,1132.4,2359.9,2359.9,44093.3,44093.3,4980.4,4980.4,1726.4030667114773,2634.7999999999997,-152,1924.03,1.0264288995822017,-45.62693328852265,-3274.4299999999994,-639.6299999999999,35041.7,51127.799999999996,38075.2,53856.9,-645.5,0.981,0.679,0.45,0.33581680611039777,0.4574658014036944,3912.2400000000002,2732.644444444444,-645.5,1190.2,319.5,1132.4,77923.6,4980.4,94847.5,-3274.4299999999994,1227.8,2302.2200000000003,55084.700000000004,5349.9,0.029631508567804905,0.03216860884684014,17.728836053010337,2.73,27653.4,3912.2400000000002,0.09599375784410069
Nucor Corporation (NYSE:NUE),NYSE:NUE,Steel,United States,United States,United States,0.7355468784984245,0.7651459005261046,0.0539,0.06624136403835704,0.011,0.011,0.036000000000000004,0.0216,0.06343553574842462,0.04024717537162985,0.0630241325242199,67260.4,92.62465251151576,4418.4,4511.024652511515,71771.42465251152,2046,69725.42465251152,0.028507167161665136,2.2884012539184955,0.35337004167828584,0.0628526558355514,0.5464795392335899,0.06706806163078893,56.96,106.75164943996867,-0.15418294011677144,1.4017757009345795,0.6016643582596529,0.29717565540559654,0.20567375886524825,8.072847682119205,84.46615597136757,84.46615597136757,13.65947242206235,5.631077064757838,8.148133790446654,4.149801642388682,47.36861791844404,32.019390453945405,8.044909002572943,4.301887614989512,0.6041692829335679,0.007152797188241522,0.177,0.00461,-0.0525,-0.0414,0.15,0.0886,0.10648853940998688,0.12645966827264452,0.04912975610959952,0.09081724998597596,0.4,0.3066143066143066,0.8092,796.3,796.3,1462.8,1471.975069497697,16208.1,16208.1,2149.9,2177.6,1020.6464542101149,33.4,113.49999999999994,1079.6,1.1689650172971482,-172.4535457898849,-430.1999999999999,-396.7999999999999,7477.8,8070.924652511516,8254.7,8667.024652511514,-481.1,1.49,1.52,1.07,0.7618845818330493,0.9107703454868018,1457.3899999999999,816.7,-486.27000000000004,1298.7,398.2,796.3,67260.4,2177.6,69725.42465251152,-430.1999999999999,0,1471.975069497697,8667.024652511514,2149.9,0.10648853940998688,0.12645966827264452,32.43193853319295,687.1000000000001,5094,1457.3899999999999,0.21181416890115268
"Inner Mongolia Baotou Steel Union Co., Ltd. (SHSE:600010)",SHSE:600010,Steel,China,Emerging Markets,China,0.7355468784984245,0.7793349872713131,0.06249199227287814,0.07370219600254249,NA,0.01948274,0.04448274,0.033362055,0.07073566040556423,-0.10734090750369249,-0.10629744743526715,63957.6,664.3441995197334,4412.3,5076.644199519734,69034.24419951973,734.4,68299.84419951974,0.010638198600066795,0.7079086137583037,0.4159975263349744,0.07353805721183013,0.7123215141954754,0.07937515165546759,0.471,121.88274572567244,-0.14518763605686044,0.8509777777777777,0.12649110640673517,0.32634705452937673,0.11160714285714284,NA,NA,NA,NA,NA,8.97411216658014,18.454453645728137,NA,358.3412602283302,5.955095080448964,19.707373459768515,NA,0.0017761767170750623,NA,NA,-0.135,-0.106,NA,NA,-0.03363871150114999,-0.035561787029702925,-0.06977240019188743,-0.12056096154361352,0.25,0,0.12539999999999998,-509.3,-261.8,-550,-452.36883990394665,3465.7,3752.2,-344.3,190.6,-452.36883990394665,960.1000000000004,142.80000000000007,4497.099999999999,NA,-5092.268839903946,-5861.8,-4901.7,7782.7,12720.644199519735,7126.9,11469.144199519733,-113.6,0.344,0.462,0.45,1.2017685469480204,0.825692470332706,94.94000000000003,70.78888888888888,-113.6,NA,NA,NA,NA,190.6,68299.84419951974,-5861.8,176.82,-456.8288399039467,11645.964199519733,-290.1,-0.033451765935634314,-0.03542005101444342,NA,510.1,925.1,94.94000000000003,0.015320014431162954
ThyssenKrupp AG (XTRA:TKA),XTRA:TKA,Steel,Germany,Developed Europe,EU & Environs,0.7355468784984245,0.8166521035491155,0.0539,0.06901754838129734,0.025,0.025,0.05,0.036270000000000004,0.06457643464893914,0.027385490045869765,-0.002604831399283629,59010.3,828.070293921792,8430.3,9258.370293921791,68268.6702939218,2686.6,65582.07029392179,0.03935333716671493,0.9895741297048949,0.7281758563192204,0.13561667825169427,2.678849076682327,0.15689414041145006,23.26,78.90026990331205,-0.363389214251592,3.3168627450980397,0.7099295739719539,0.31270707424955113,0.19726339794754844,2.716929025131179,177.36789900811544,170.9452491309386,16.265734265734267,4.243251172442953,17.074245536876827,1.337098458979768,57.66034897866547,26.36465137444092,6.539979913149969,1.486006428143996,0.25984936268829667,0.0015200736142673397,NA,NA,0.0115,-0.0121,0.418,0.0282,0.0964030384271671,0.06197160324965551,0.008215859083260543,0.02707011186648138,0.2972,0.5,0.4705,332.7,345.2,983.8,1137.3859412156417,44133.1,42016.3,2262.7,2487.5,568.6929706078208,190,-742.1,1422,1.1955484508157728,-111.20702939217915,-524.6999999999999,-334.69999999999993,3580.8,9176.67029392179,3456.1,10027.870293921791,-89.7,1.85,1.37,0.51,1.1745929028238793,1.292736813356664,972.82,-284.63333333333344,-89.7,782.2,434.9,345.2,59010.3,2487.5,65582.07029392179,-524.6999999999999,2537.24,1121.5659412156415,12565.11029392179,3088.2,0.05383750351419734,0.04787325124888522,21.236341653365,1184.5000000000002,5497.500000000001,972.82,0.12532003830927765
Fortescue Metals Group Limited (ASX:FMG),ASX:FMG,Steel,Australia,"Australia, NZ and Canada",Australia & NZ,0.7355468784984245,0.7856455966267955,0.0539,0.06734629765818428,0.03,0.03,0.055,0.0385,0.06478840425669001,0.17442179971529426,0.10267485057190125,54420.9,139.21912605077236,5156,5295.2191260507725,59716.11912605078,1160,58556.11912605078,0.019425240906084894,1.5274294166827447,0.3619865877330715,0.08867319583969359,0.5673651694043472,0.09730120461166156,4.17,5.806403627311504,-0.03818841256917515,2.077872340425532,0.5486346689738081,0.4965052618885891,0.4424083769633508,6.4035087719298245,55.30579268292683,28.839904610492848,5.991379310344828,4.424463414634146,5.831018964963034,7.683312155866159,17.647185979653116,12.771236450610857,4.3477254548665,8.267135271219932,0.1875993640699523,0.0065048538337293205,-0.141,0.0462,-0.08289999999999999,0.056100000000000004,0.125,0.048,0.24176809737347854,0.16746325482859126,0.22925525452557405,0.4031291671473509,0.3,0.28969149736644095,0.607,984,1887,3285,3318.1561747898454,7083,8231,3145,4585,2356.9145440192733,3388,-235,540,0.12940647371961142,2051.9145440192733,-1806,1582,7805,14074.219126050772,9333,13468.219126050772,-354,2.27,1.31,0.9400000000000001,0.9723713988759677,1.1283546510585265,1570.2,817.9333333333333,-381,2658,770,1887,54420.9,4585,58556.11912605078,-1806,0,3318.1561747898454,13468.219126050772,3145,0.24176809737347854,0.16746325482859126,18.618797814324573,17,138.29999999999998,1570.2,0.23080113075999376
